 	ce	palmier	a	produit	deux	régimes	de	noix	</S>
a15	0.414332	0.177817	0.0861217	0.0671939	0.087284	0.0770993	0.0388937	0.0251317	0.0261264
a66	0.387929	0.15961	0.120104	0.132305	0.0914857	0.0333833	0.0236946	0.0226725	0.028816
a87	0.535959	0.257526	0.0902821	0.0420984	0.0224652	0.00954825	0.00867834	0.0124849	0.0209578
a23	0.410161	0.322166	0.144264	0.0569736	0.0222556	0.0102525	0.00815545	0.00980232	0.0159699
a50	0.231655	0.273141	0.207452	0.152445	0.0381885	0.0165092	0.0179249	0.0266771	0.0360067
a88	0.343388	0.262917	0.161808	0.107383	0.0392167	0.0242873	0.0190338	0.0212305	0.0207355
a31	0.328252	0.333923	0.168732	0.0923812	0.0304502	0.0160447	0.0113222	0.0107685	0.00812684
a21	0.172429	0.338414	0.261826	0.143744	0.040911	0.0151215	0.0100618	0.00932322	0.00817003
a5	0.135559	0.224748	0.267254	0.231093	0.0815073	0.0232397	0.013147	0.012126	0.0113254
a12	0.137745	0.209036	0.260854	0.229368	0.0854809	0.0274798	0.0168915	0.0166532	0.0164912
a18	0.138811	0.162453	0.219685	0.238018	0.128605	0.0380803	0.0233914	0.0240135	0.0269423
a56	0.0563373	0.0732914	0.122253	0.247152	0.212083	0.0829987	0.0579618	0.0651934	0.08273
a35	0.119952	0.111079	0.155766	0.209891	0.196227	0.0848239	0.0435931	0.0369821	0.0416863
a34	0.0452833	0.0456655	0.0802668	0.184382	0.26025	0.138431	0.0833099	0.073319	0.089092
a56	0.0618991	0.0521639	0.0685772	0.123197	0.228608	0.170016	0.106689	0.0885626	0.100287
a96	0.0200392	0.0150433	0.0214154	0.0481132	0.128149	0.219937	0.215258	0.160215	0.171829
a62	0.0143386	0.0106635	0.0141832	0.0314102	0.0755038	0.169619	0.226082	0.210608	0.247591
a47	0.0101459	0.00801267	0.00991993	0.0187581	0.0371851	0.105896	0.206367	0.26135	0.342364
a96	0.0120352	0.00964779	0.0115734	0.0197839	0.0358787	0.0993564	0.196305	0.254782	0.360638
a98	0.00327794	0.00235301	0.00301601	0.00542458	0.0109371	0.0419248	0.134258	0.249632	0.549176
a47	0.000456457	0.000252047	0.000440755	0.00158261	0.00619778	0.0346115	0.133404	0.262904	0.560151
a36	0.00145414	0.000758591	0.00089635	0.00166174	0.00628258	0.0433128	0.128793	0.231978	0.584862
a2	0.0148102	0.00665526	0.0053878	0.00507523	0.0185029	0.0572515	0.112202	0.228755	0.551361
a57	0.196688	0.0962318	0.0680569	0.0462799	0.0597444	0.0569917	0.0792198	0.13074	0.266048
a87	0.417651	0.190552	0.0998558	0.0596034	0.0506808	0.0439755	0.0349007	0.0391724	0.0636076
a23	0.440467	0.185324	0.0902799	0.0536652	0.0475906	0.0474803	0.0436668	0.0396609	0.0518651
a99	0.124972	0.0467721	0.0231822	0.0144982	0.0215656	0.0583727	0.144183	0.220299	0.346155
a26	0.052999	0.0261133	0.0175108	0.0125298	0.0244217	0.0794346	0.141032	0.22046	0.425499
</S>	0.0243031	0.0171905	0.0151203	0.0119938	0.0282415	0.084509	0.132375	0.21994	0.466326
