 	notre	grand-mère	sait	fabriquer	des	fils	indigènes	</S>
a66	0.45086	0.162365	0.169654	0.0817272	0.0467341	0.0375003	0.0287629	0.0223969
a87	0.391945	0.141913	0.105645	0.0776024	0.0696669	0.0776584	0.0764787	0.0590905
a23	0.604066	0.128402	0.073624	0.0491671	0.04753	0.0356591	0.0341608	0.0273909
a40	0.352175	0.0985997	0.0962468	0.0900512	0.0857686	0.0877582	0.100233	0.0891673
a73	0.448886	0.125845	0.137694	0.117901	0.0595344	0.0463603	0.0372881	0.0264916
a15	0.390119	0.245433	0.173585	0.07166	0.0392247	0.0294785	0.0291719	0.0213275
a47	0.273952	0.293525	0.184898	0.0920836	0.0511195	0.039138	0.0412061	0.0240777
a37	0.32222	0.311975	0.136621	0.0734098	0.0414695	0.035244	0.045681	0.0333799
a43	0.420912	0.278764	0.128262	0.0675959	0.0302782	0.0236692	0.0280767	0.0224426
a11	0.277806	0.31741	0.167829	0.0815502	0.0368594	0.0316883	0.0447741	0.0420825
a61	0.195594	0.251796	0.229985	0.125449	0.0562531	0.0440329	0.0493706	0.0475202
a75	0.161454	0.212983	0.219161	0.130713	0.0790895	0.0643981	0.0654626	0.0667397
a85	0.0383099	0.0656841	0.128168	0.127423	0.137006	0.164146	0.168026	0.171238
a5	0.0231317	0.0502223	0.111797	0.127185	0.137655	0.164584	0.181409	0.204016
a47	0.0278637	0.0441842	0.0914145	0.101847	0.143342	0.174777	0.190911	0.22566
a12	0.0146842	0.0277959	0.058021	0.076165	0.138793	0.193375	0.227332	0.263833
a96	0.00648736	0.0125914	0.0242477	0.0442487	0.114833	0.208947	0.273228	0.315416
a93	0.00211826	0.00481841	0.00757896	0.0164925	0.0628299	0.179791	0.288088	0.438283
a4	0.00226253	0.00542117	0.00763741	0.0156023	0.062155	0.176378	0.285063	0.445481
a13	0.00160703	0.00333555	0.00492638	0.00975781	0.0476041	0.160741	0.283917	0.488111
a11	0.00250595	0.00479434	0.00833696	0.0178246	0.0686025	0.173663	0.308147	0.416125
a62	0.00410274	0.00891252	0.0188601	0.0413695	0.113475	0.205038	0.263902	0.34434
a88	0.00228939	0.00376017	0.00898514	0.0260753	0.107432	0.209267	0.261853	0.380338
a71	0.00342684	0.00718382	0.0172042	0.0421449	0.121479	0.206683	0.253855	0.348023
a38	0.0270917	0.0541995	0.0718657	0.0986892	0.148704	0.182212	0.174785	0.242452
a10	0.0692981	0.0616412	0.0691892	0.0914552	0.126385	0.147284	0.18414	0.250606
a87	0.0931149	0.0607353	0.0570644	0.0727036	0.11749	0.142055	0.195904	0.260933
a23	0.270337	0.128434	0.0885416	0.0738816	0.0986979	0.104997	0.11338	0.121731
a10	0.0844856	0.0326872	0.0160642	0.0267345	0.091994	0.153192	0.276882	0.317961
a97	0.0171839	0.00884617	0.00627754	0.013776	0.0616752	0.127679	0.314634	0.449928
</S>	0.0639455	0.0320254	0.0449938	0.0614833	0.104319	0.134617	0.243927	0.314689
