 	inyanga	fille	de	mbossa	est	une	femme	élancée	</S>
a87	0.0785208	0.096459	0.249025	0.304666	0.137246	0.0687115	0.0300616	0.0188754	0.0164349
a23	0.497278	0.144195	0.0779698	0.0631842	0.0336759	0.0286552	0.0342325	0.0336475	0.0871618
a87	0.304518	0.215491	0.195507	0.107319	0.0299461	0.0201601	0.0174566	0.0244506	0.0851515
a10	0.343801	0.191137	0.183513	0.113599	0.0398933	0.026532	0.0261573	0.0259019	0.0494651
a50	0.374455	0.19648	0.166018	0.109135	0.0292055	0.0233385	0.0258416	0.0269256	0.0486012
a62	0.26454	0.146382	0.195808	0.148921	0.0434362	0.0251364	0.0294917	0.0444046	0.10188
a21	0.445534	0.218309	0.17483	0.0635495	0.0220736	0.0127993	0.012179	0.0155005	0.0352241
a5	0.50897	0.238575	0.133216	0.0413405	0.0167209	0.0115472	0.0114972	0.0133987	0.0247354
a12	0.391178	0.226936	0.149329	0.0541973	0.0336439	0.0256984	0.0251177	0.0338088	0.0600908
a75	0.307292	0.220864	0.177563	0.0693675	0.0469023	0.0348791	0.0294829	0.0427979	0.0708514
a85	0.176601	0.202187	0.167971	0.100571	0.0828399	0.0592196	0.0440296	0.059626	0.106955
a47	0.193183	0.238132	0.186388	0.102079	0.0897105	0.0543789	0.0317892	0.0378597	0.0664802
a37	0.101069	0.242796	0.245043	0.127479	0.0885864	0.0518164	0.0328827	0.0424521	0.0678761
a56	0.0655208	0.212966	0.273624	0.174334	0.0913605	0.0548174	0.0350301	0.0378016	0.0545453
a0	0.0453726	0.184167	0.288873	0.158311	0.097808	0.0645208	0.0436383	0.0464595	0.0708496
a75	0.0251681	0.10846	0.26406	0.248778	0.139875	0.0778751	0.0425507	0.039141	0.0540925
a47	0.0224183	0.0602574	0.137995	0.118264	0.12875	0.115364	0.116728	0.125011	0.175213
a36	0.0212703	0.0454886	0.119133	0.146945	0.158972	0.112425	0.0948268	0.114849	0.186091
a2	0.0186117	0.0325441	0.075592	0.165851	0.192761	0.136444	0.0906532	0.109675	0.177869
a57	0.00533363	0.012261	0.0370557	0.0731474	0.124772	0.135755	0.111016	0.17897	0.321689
a40	0.0120998	0.033842	0.104159	0.139842	0.148905	0.125985	0.0791442	0.1207	0.235324
a85	0.00715889	0.0119904	0.030413	0.0528747	0.082382	0.0927472	0.10983	0.208308	0.404295
a66	0.00518476	0.0089289	0.0274326	0.0463539	0.0938809	0.0845029	0.0961387	0.221205	0.416372
a62	0.00321512	0.00643062	0.0196574	0.0697688	0.149826	0.138437	0.122379	0.183596	0.30669
a88	0.00355001	0.00738047	0.0248052	0.082874	0.181462	0.171433	0.153345	0.162675	0.212474
a75	0.00275633	0.00678538	0.0197202	0.0528212	0.13198	0.162153	0.181685	0.204942	0.237157
a5	0.00223399	0.00311882	0.00666742	0.0175153	0.0673155	0.0940004	0.125546	0.252751	0.430851
a37	0.00214346	0.00404054	0.0112141	0.0306909	0.103972	0.145743	0.184962	0.25285	0.264384
a75	0.000987349	0.00158651	0.0040957	0.0134717	0.068932	0.122219	0.173526	0.295253	0.319929
a92	0.00108944	0.00138438	0.00328396	0.0100581	0.050119	0.0957241	0.149634	0.289106	0.399601
a5	0.0010708	0.00124725	0.00308306	0.00836767	0.0363643	0.0716896	0.125075	0.321757	0.431345
a75	0.000859754	0.00138232	0.00385437	0.0106553	0.048398	0.0880701	0.136824	0.306011	0.403945
a56	0.00102124	0.00136622	0.00325756	0.00752836	0.0285484	0.0623719	0.120044	0.312073	0.46379
a93	0.000210532	0.0004389	0.00117815	0.00293884	0.0178932	0.0398492	0.0787775	0.284599	0.574115
a70	0.000106128	0.000272833	0.000809677	0.00188187	0.0110531	0.0269204	0.0615714	0.272045	0.62534
a66	6.65332e-05	0.000184387	0.000595563	0.00135311	0.00751324	0.0188046	0.0435646	0.267204	0.660714
a9	0.000172767	0.000200233	0.000434554	0.00115844	0.0049444	0.01746	0.0688319	0.355254	0.551543
a87	0.000911318	0.000610104	0.00100653	0.00211075	0.0113766	0.0391033	0.132354	0.325238	0.487289
a99	0.0150143	0.0137734	0.0131796	0.0188529	0.0442324	0.0898866	0.188279	0.25418	0.362602
a87	0.0113536	0.0145961	0.0123485	0.0141564	0.0327404	0.0558107	0.125652	0.255659	0.477684
a97	0.00975601	0.0147995	0.0151139	0.0214709	0.0391229	0.0547021	0.115667	0.252046	0.477321
a87	0.00882191	0.0170811	0.0296593	0.0397153	0.0515657	0.0583949	0.106453	0.229628	0.458682
a97	0.013531	0.0286317	0.0430962	0.0555314	0.063416	0.0686641	0.116733	0.220273	0.390124
</S>	0.0157924	0.0358142	0.0427016	0.0490264	0.0625548	0.0708976	0.110221	0.205863	0.407129
