 	dans	la	nuit	la	lampe	émet	une	lumière	éblouissante	</S>
a57	0.193742	0.123522	0.0947912	0.0964098	0.109016	0.128382	0.11618	0.0748464	0.0359521	0.0271584
a87	0.170171	0.0852114	0.0647357	0.0796494	0.110257	0.142875	0.11685	0.0630724	0.0610281	0.106151
a23	0.176235	0.113277	0.0879486	0.0789543	0.0772549	0.093635	0.0953181	0.0851592	0.0720475	0.12017
a38	0.200514	0.199408	0.160088	0.100237	0.0644898	0.0523547	0.0501792	0.0462448	0.0545161	0.0719692
a94	0.230851	0.192693	0.108645	0.066026	0.0480673	0.0458069	0.0543949	0.0680372	0.0860092	0.0994686
a56	0.307238	0.286535	0.159468	0.0858235	0.0467373	0.0289306	0.0282147	0.0202586	0.0173709	0.0194245
a96	0.31215	0.330259	0.167662	0.0773115	0.0347696	0.0187474	0.0184281	0.0148836	0.0122261	0.013563
a75	0.244798	0.300253	0.193244	0.100679	0.0465188	0.027527	0.0253554	0.0214822	0.0187562	0.021386
a92	0.207828	0.244802	0.191505	0.123983	0.0701164	0.0456904	0.0416772	0.0293011	0.0223061	0.0227913
a85	0.195696	0.234362	0.195181	0.129937	0.0784273	0.0481085	0.0427207	0.0292656	0.0231422	0.0231595
a44	0.116311	0.152868	0.172356	0.149522	0.114389	0.0824021	0.0767295	0.0545621	0.0416342	0.0392272
a57	0.0982336	0.115871	0.167947	0.187754	0.15079	0.0943683	0.0753131	0.0435208	0.0322397	0.0339623
a53	0.0617751	0.068648	0.105352	0.135115	0.160341	0.140209	0.125637	0.083629	0.058612	0.0606817
a56	0.0710295	0.0714837	0.100208	0.145047	0.184928	0.13579	0.114765	0.0717618	0.0520519	0.0529351
a34	0.0385369	0.0392178	0.0568319	0.100845	0.168229	0.168956	0.17022	0.122321	0.0714937	0.0633499
a83	0.0347597	0.0348778	0.045938	0.0762496	0.143922	0.173583	0.168706	0.151254	0.0946387	0.0760721
a90	0.0215387	0.0203247	0.0262435	0.0434572	0.0966038	0.141859	0.145155	0.195989	0.175233	0.133596
a82	0.0230972	0.0201234	0.0242293	0.037263	0.0948597	0.143613	0.16073	0.197646	0.170352	0.128087
a75	0.00741149	0.0061177	0.00745582	0.0129203	0.0363162	0.0806677	0.127686	0.228097	0.25382	0.239507
a18	0.0183353	0.0157856	0.0160974	0.0190777	0.0440594	0.0741036	0.107881	0.172881	0.259945	0.271835
a25	0.00333862	0.00222586	0.00292504	0.00532102	0.0153777	0.0325646	0.0572374	0.123261	0.298603	0.459146
a38	0.0028243	0.00188751	0.00224958	0.00388809	0.0102877	0.0208462	0.045615	0.118758	0.327794	0.46585
a21	0.00168014	0.000947035	0.00108421	0.00204972	0.00644791	0.0140735	0.0306318	0.0828046	0.311522	0.548759
a61	0.00692295	0.00479979	0.00465423	0.00555741	0.0118111	0.021647	0.0383814	0.0739474	0.290646	0.541632
a21	0.00254608	0.00155789	0.00188122	0.00323128	0.00978388	0.0194978	0.0327398	0.0713045	0.304022	0.553436
a61	0.00403578	0.00293507	0.00334524	0.00474208	0.0115843	0.0217717	0.0359304	0.0746235	0.302124	0.538908
a21	0.00185512	0.00116999	0.00153691	0.00333482	0.0109581	0.0232769	0.0378103	0.0810895	0.297467	0.541501
a92	0.00266512	0.00174796	0.0022956	0.00445309	0.0130841	0.0271483	0.0460035	0.094538	0.294875	0.513189
a44	0.00148495	0.0010208	0.00130833	0.00249222	0.00781031	0.0164682	0.0339146	0.0655111	0.276014	0.593976
a13	0.00100398	0.000655552	0.000856706	0.00215879	0.00803262	0.0179266	0.0324677	0.0644777	0.279377	0.593043
a18	0.00366762	0.00255668	0.00226535	0.00394412	0.0131973	0.0326875	0.0585743	0.101858	0.290732	0.490517
a30	0.0168761	0.00905142	0.00563608	0.00677937	0.0163861	0.0335138	0.0539002	0.100274	0.261406	0.496177
a93	0.0441995	0.0254747	0.0174961	0.0185241	0.0359516	0.0701907	0.0915799	0.124193	0.217611	0.354779
a34	0.00433263	0.00246848	0.00211301	0.00380847	0.0134275	0.0356453	0.0514639	0.0750601	0.233684	0.577997
a47	0.00095787	0.000629964	0.00082863	0.0019091	0.00823118	0.0233772	0.0389866	0.0856266	0.283602	0.555851
a62	0.00128828	0.00082402	0.00098651	0.00239392	0.0105084	0.0253313	0.0388805	0.0710752	0.259861	0.588851
a83	0.00152613	0.000979919	0.00120459	0.00326752	0.0149946	0.0317764	0.0442742	0.0729813	0.253246	0.575749
a9	0.0020701	0.00133836	0.00161843	0.00405683	0.0161433	0.0360744	0.0515121	0.082385	0.254321	0.550481
a10	0.00808475	0.00567125	0.00487888	0.00797815	0.0231914	0.0430556	0.0625097	0.104421	0.276051	0.464158
a87	0.0235308	0.0123429	0.00991853	0.0139906	0.0305635	0.0578804	0.0762329	0.113396	0.224276	0.437868
a23	0.0551329	0.0282533	0.0182617	0.0220806	0.0484028	0.0900029	0.113055	0.107852	0.175403	0.341556
a87	0.0118456	0.00637288	0.00454706	0.0065076	0.0206765	0.0455081	0.0636235	0.0750071	0.19622	0.569692
</S>	0.00712592	0.00458191	0.00378399	0.00700582	0.0222501	0.0412357	0.0504542	0.0600199	0.185005	0.618537
