 	la	nuit	la	blancheur	de	l'	habit	du	prêtre	me	fait	peur	</S>
a66	0.158693	0.128299	0.116154	0.175589	0.126152	0.102025	0.071786	0.0442045	0.0305439	0.0190668	0.0130507	0.00887694	0.00555926
a87	0.172157	0.113279	0.105358	0.0671237	0.0764605	0.0591181	0.0605965	0.0568708	0.0554781	0.0518661	0.0561808	0.0655164	0.0599946
a97	0.0662249	0.0782017	0.134082	0.248955	0.192759	0.141189	0.0532165	0.0247716	0.0155536	0.0149968	0.0121201	0.00890042	0.0090289
a10	0.089157	0.0951082	0.141407	0.285078	0.162051	0.124613	0.0385365	0.0180465	0.0118662	0.0107188	0.00898636	0.00734966	0.0070811
a11	0.0884682	0.0983729	0.174581	0.293051	0.159051	0.0930608	0.0279019	0.0156447	0.0114829	0.0111532	0.0100902	0.00924598	0.00789643
a93	0.122947	0.125956	0.223478	0.257215	0.12803	0.0652348	0.0215672	0.0132218	0.0104285	0.0102485	0.00840426	0.00719145	0.00607868
a34	0.163376	0.156197	0.179564	0.255436	0.139588	0.0609469	0.0134971	0.00701709	0.00520547	0.00578599	0.00546228	0.00434297	0.00358068
a90	0.249008	0.236392	0.205931	0.142305	0.0825178	0.0429106	0.0140482	0.00698034	0.00471605	0.00508363	0.00441412	0.00313199	0.00256162
a25	0.228429	0.200499	0.166367	0.121881	0.10228	0.0740327	0.0350245	0.01998	0.0136135	0.013066	0.0110643	0.00755183	0.00621098
a69	0.21031	0.198923	0.150573	0.11377	0.101473	0.0831065	0.0452727	0.0266047	0.0176024	0.0157019	0.0140827	0.0115172	0.0110624
a54	0.10979	0.14166	0.132598	0.133266	0.147744	0.139587	0.0798347	0.038933	0.0236078	0.0183897	0.0139847	0.0109576	0.00964757
a98	0.097364	0.105672	0.0867641	0.125084	0.12616	0.123174	0.0908587	0.0642605	0.0497009	0.0422688	0.0346622	0.029275	0.0247565
a6	0.0595033	0.0668423	0.0567403	0.0925571	0.113693	0.139224	0.126209	0.0903467	0.0703757	0.0574776	0.0472686	0.0414229	0.0383386
a85	0.0549558	0.0639131	0.0539094	0.0791721	0.100423	0.126591	0.122978	0.0943811	0.081035	0.0689077	0.0596206	0.0518491	0.042265
a36	0.0365177	0.0480379	0.0411349	0.0640858	0.0749993	0.094013	0.102816	0.0938584	0.0943737	0.0865549	0.0866651	0.0919568	0.0849869
a75	0.0233531	0.0307726	0.032017	0.0608049	0.0774005	0.1021	0.135913	0.115045	0.101687	0.0855402	0.0780014	0.0788513	0.0785138
a5	0.0174549	0.0214225	0.0218639	0.0466143	0.0619304	0.0824385	0.103877	0.0902564	0.0916921	0.093442	0.104073	0.132003	0.132932
a85	0.0220905	0.0228187	0.0206669	0.0434367	0.0561431	0.0733635	0.100848	0.0987119	0.0987586	0.0997071	0.108596	0.127894	0.126965
a6	0.00569103	0.00584159	0.00485713	0.013678	0.0208248	0.0315785	0.0542306	0.0682684	0.0875598	0.101612	0.133245	0.203542	0.269072
a36	0.00325953	0.00363473	0.00330059	0.00984165	0.0162571	0.0265355	0.0544601	0.0724204	0.103026	0.114262	0.138089	0.197324	0.257588
a7	0.00270202	0.00189196	0.0012101	0.00296415	0.0054817	0.0116324	0.0345765	0.0627629	0.112764	0.135144	0.175136	0.213791	0.239943
a44	0.00144486	0.00103365	0.000761148	0.0017949	0.00280901	0.00487039	0.016139	0.0335989	0.0693324	0.0979605	0.151763	0.250114	0.368378
a37	0.000745231	0.000590211	0.00040502	0.00108066	0.00179911	0.00306202	0.0116224	0.0274015	0.0635722	0.10005	0.164502	0.270482	0.354688
a61	0.000753265	0.000594774	0.00039195	0.00102097	0.00188755	0.00276094	0.00912219	0.0223229	0.0536741	0.0879292	0.149069	0.273505	0.396969
a12	0.000342936	0.000281407	0.000197545	0.000606722	0.00117738	0.00159417	0.00546369	0.0145751	0.0382709	0.0662218	0.125465	0.27298	0.472823
a5	0.000377957	0.000367017	0.000229488	0.00056737	0.00110348	0.00149055	0.00488374	0.0125759	0.032932	0.0588342	0.115092	0.271383	0.500163
a23	0.00036014	0.000377128	0.000258735	0.000558931	0.00107759	0.00151287	0.00472513	0.0117133	0.0284974	0.0492311	0.0990796	0.245405	0.557203
a18	0.000161162	0.000165394	0.000143579	0.000288269	0.000595352	0.000817028	0.00305277	0.00843954	0.0199	0.0335771	0.0749495	0.21673	0.64118
a5	0.000304299	0.00021316	0.000162777	0.000293656	0.000965587	0.00128177	0.00515715	0.013652	0.0294979	0.0520857	0.100852	0.254473	0.541061
a37	0.000299907	0.000306119	0.000254103	0.000542188	0.00122291	0.00160095	0.00532982	0.0130303	0.0287102	0.0446242	0.0891337	0.224031	0.590915
a54	0.000349865	0.000289011	0.000225915	0.000539344	0.00144607	0.00199271	0.00655048	0.0153627	0.0304851	0.0472062	0.0894881	0.230398	0.575667
a7	0.000100556	9.62472e-05	9.11646e-05	0.000208503	0.000442039	0.000526653	0.00163343	0.00465593	0.0111485	0.0211032	0.0524066	0.189975	0.717612
a44	0.0002652	0.000170541	0.000153884	0.000298687	0.00102249	0.00117318	0.00348524	0.00880274	0.018233	0.0339914	0.0748025	0.228327	0.629274
a57	0.00050506	0.000332595	0.000269384	0.000517919	0.0017455	0.00213588	0.00609326	0.0138511	0.0259789	0.04537	0.0881684	0.230875	0.584157
a82	0.00374492	0.00283383	0.00359927	0.00771643	0.0223505	0.0201021	0.022193	0.0328313	0.0470165	0.0712044	0.110655	0.223881	0.431871
a97	0.0250968	0.0195417	0.0236359	0.0277174	0.045812	0.0483499	0.0554222	0.0647372	0.0763734	0.0973424	0.116811	0.163415	0.235746
a87	0.0204626	0.0127256	0.0122598	0.0155144	0.0228505	0.0286558	0.0472755	0.0626193	0.0841727	0.111703	0.144771	0.19253	0.24446
a97	0.0138279	0.00905195	0.0085885	0.0129074	0.0155711	0.0193674	0.0365882	0.0529717	0.0786238	0.106386	0.1462	0.208692	0.291223
