 	cette	plaie	me	brûle	beaucoup	</S>
a10	0.286672	0.182038	0.158092	0.13844	0.127795	0.106962
a38	0.228426	0.169303	0.144461	0.185735	0.150433	0.121642
a90	0.319339	0.169974	0.126038	0.11216	0.122137	0.150353
a92	0.307345	0.191295	0.15179	0.129712	0.118188	0.101669
a85	0.493722	0.247484	0.126875	0.0622269	0.0400261	0.0296649
a5	0.539879	0.231766	0.113545	0.053982	0.0340605	0.0267668
a37	0.540711	0.229689	0.117912	0.0544412	0.031158	0.026089
a47	0.333553	0.22664	0.198458	0.122328	0.0666445	0.0523761
a37	0.185571	0.188437	0.227009	0.180173	0.117872	0.100939
a85	0.104684	0.14431	0.208236	0.2064	0.172392	0.163978
a47	0.0723491	0.106018	0.149602	0.174244	0.234885	0.262902
a37	0.0315167	0.0584865	0.102635	0.174263	0.279855	0.353243
a96	0.0126589	0.0213082	0.0438305	0.11598	0.260735	0.545487
a75	0.00999497	0.0157658	0.0295484	0.0973362	0.256002	0.591353
a30	0.0153287	0.0259254	0.0460534	0.121444	0.265161	0.526087
a2	0.00619051	0.0100022	0.0173144	0.0625641	0.224707	0.679222
a57	0.0442559	0.0489698	0.0708364	0.122164	0.244401	0.469372
a10	0.230728	0.148595	0.135718	0.141144	0.156131	0.187685
a87	0.190819	0.121664	0.11688	0.14918	0.191563	0.229894
a23	0.226709	0.134708	0.112813	0.136764	0.17774	0.211266
a87	0.0643357	0.0758701	0.110907	0.157973	0.246474	0.34444
</S>	0.0462835	0.0632393	0.0867277	0.136153	0.243351	0.424245
