 	cet	enfant	est	un	mauvais	garçon	c'	est	pourquoi	tous	ses	parents	n'	ont	pas	pu	l'	héberger	</S>
a66	0.138177	0.105035	0.0708297	0.0621845	0.0559881	0.0541195	0.0568278	0.0662671	0.0616602	0.0481901	0.0482233	0.0442615	0.0436759	0.0343496	0.0311916	0.0229512	0.0218039	0.0223369	0.0119275
a10	0.296252	0.155086	0.0567927	0.0339924	0.0271435	0.0229057	0.026156	0.0249959	0.0260095	0.0310133	0.0322804	0.0380731	0.0316795	0.0272408	0.0258311	0.0240155	0.0350011	0.0528546	0.0326771
a87	0.288412	0.15423	0.0700525	0.0433497	0.0351832	0.0339996	0.0377108	0.0442203	0.0469849	0.0518376	0.0393	0.0357399	0.0262761	0.0179702	0.014679	0.0139937	0.0143509	0.0170124	0.014698
a23	0.255748	0.160634	0.0859186	0.0578614	0.0468828	0.0411963	0.0358968	0.0418134	0.0466304	0.0489821	0.0363971	0.0332451	0.0245243	0.0176276	0.0153038	0.0149254	0.0150049	0.0132757	0.00813287
a83	0.176282	0.110131	0.0685977	0.0570409	0.0553341	0.0662089	0.0575496	0.060044	0.054848	0.0457191	0.0371092	0.0308188	0.0264045	0.0218303	0.0219739	0.0260229	0.0312195	0.0315356	0.0213293
a54	0.104236	0.0869723	0.0616993	0.0521871	0.0358485	0.0424799	0.0470617	0.0496056	0.0433613	0.0346648	0.0334854	0.0248689	0.0197079	0.0180113	0.0230489	0.0385997	0.0905582	0.118489	0.0751138
a47	0.148235	0.148207	0.0957185	0.0674661	0.0354159	0.0376016	0.0444504	0.0430101	0.0366987	0.0245189	0.0248745	0.0201283	0.0165176	0.0137472	0.0160708	0.0277797	0.0612098	0.0785603	0.0597889
a6	0.0512024	0.0724785	0.0733764	0.0721435	0.0474879	0.0541545	0.0652689	0.0618371	0.0555006	0.0392966	0.0362411	0.0267309	0.0172471	0.0144594	0.0165866	0.0305626	0.0747683	0.106834	0.0838235
a85	0.0530833	0.0703783	0.0778638	0.0788703	0.055198	0.0644339	0.0787448	0.0702998	0.0645364	0.0491005	0.0466449	0.0367352	0.0222101	0.0166595	0.0169045	0.0255739	0.0483063	0.06708	0.0573764
a47	0.0530569	0.0667732	0.0779075	0.0808254	0.06973	0.0726096	0.0803601	0.0698711	0.0658877	0.0651202	0.0573421	0.0483856	0.0295786	0.0228859	0.0190938	0.0201552	0.0260589	0.0283624	0.0459958
a25	0.0584331	0.0637354	0.0715389	0.080258	0.0754973	0.0780918	0.0830678	0.073093	0.0693011	0.0706611	0.0615889	0.0537659	0.0299784	0.021994	0.0166952	0.0150347	0.0177589	0.0216191	0.0378874
a76	0.0339637	0.044473	0.0658849	0.0872496	0.0966745	0.100758	0.102618	0.0881274	0.0807015	0.0863483	0.0631475	0.0483777	0.0242674	0.0170679	0.0118893	0.00983176	0.00965268	0.0088413	0.0201253
a41	0.0183965	0.02226	0.0369618	0.0535552	0.0729594	0.088953	0.0937642	0.0893388	0.0838397	0.10073	0.0814931	0.0651281	0.0422671	0.0368725	0.0273342	0.0222053	0.0173911	0.0169448	0.0296053
a37	0.00745511	0.00930565	0.0194628	0.0354328	0.0591359	0.0831918	0.0884549	0.0916488	0.0908506	0.126685	0.103899	0.0817791	0.0506861	0.044244	0.030601	0.0229759	0.0156307	0.013145	0.0254154
a62	0.00477836	0.00521049	0.0111556	0.0211472	0.0478496	0.0839491	0.0935742	0.10927	0.109696	0.150506	0.117659	0.0855734	0.0490694	0.0363948	0.0229501	0.0157114	0.0106386	0.00915862	0.0157067
a83	0.00351971	0.00375767	0.00795333	0.0153186	0.0352462	0.0689325	0.0784326	0.0995781	0.107389	0.163377	0.13572	0.101635	0.0603598	0.0453706	0.0256656	0.0157351	0.00921939	0.00836622	0.0144241
a13	0.00297241	0.0031217	0.00594609	0.0110556	0.0264591	0.0603728	0.0736956	0.108582	0.121539	0.173721	0.142343	0.0956254	0.0580037	0.0426974	0.024606	0.0153745	0.00965384	0.00912673	0.0151035
a47	0.00265968	0.00303414	0.00463698	0.00781964	0.0174043	0.0446065	0.0620041	0.108227	0.13851	0.186695	0.15646	0.0809291	0.0580131	0.043931	0.0323385	0.0213394	0.010947	0.00855373	0.01189
a62	0.00197824	0.00224234	0.00348543	0.00627059	0.0154064	0.0454339	0.0629181	0.11047	0.13581	0.186289	0.154374	0.0768643	0.0558549	0.0479942	0.0376678	0.0259388	0.0120369	0.00847333	0.0104925
