 	il	a	payé	cinq	cabris	au	chef	pour	l'	adultère	</S>
a87	0.20097	0.152033	0.1109	0.0507539	0.0492801	0.0543559	0.0748697	0.0861281	0.07277	0.074428	0.0735113
a23	0.338675	0.206922	0.142169	0.0920972	0.0610907	0.0328213	0.0266939	0.0248854	0.0232185	0.0244039	0.0270238
a79	0.193361	0.132296	0.132296	0.126955	0.129694	0.0800799	0.0575782	0.033089	0.0270824	0.0320018	0.0555662
a20	0.302108	0.237808	0.237836	0.0896082	0.041093	0.0225268	0.0174052	0.0100414	0.0107745	0.013573	0.0172252
a73	0.206499	0.223413	0.291805	0.103864	0.0621694	0.0417104	0.0297434	0.01485	0.0110164	0.00829991	0.00662965
a94	0.121306	0.15149	0.210535	0.140418	0.135157	0.104866	0.0687954	0.0308434	0.0180887	0.00993015	0.00857051
a11	0.0988303	0.133506	0.180029	0.138095	0.156559	0.130506	0.0825075	0.0342863	0.0199365	0.0124852	0.0132595
a53	0.0810026	0.11201	0.142812	0.140438	0.170851	0.153043	0.100758	0.0421161	0.0236625	0.0153779	0.0179292
a4	0.0739143	0.100696	0.13577	0.126772	0.170233	0.150908	0.100828	0.0474477	0.0328516	0.0263613	0.0342185
a90	0.0721651	0.0849028	0.0982609	0.104137	0.150207	0.148325	0.119974	0.0721981	0.0517354	0.0430573	0.0550367
a76	0.071414	0.0819298	0.0962913	0.113977	0.159917	0.158463	0.13189	0.0731998	0.0474467	0.032414	0.0330574
a90	0.0794805	0.076166	0.084454	0.077112	0.123386	0.13492	0.126264	0.0907178	0.0741994	0.0642111	0.0690884
a9	0.0793011	0.0748962	0.0756802	0.0793859	0.115266	0.128257	0.130811	0.103368	0.0828944	0.0644686	0.0656714
a53	0.0448307	0.0378322	0.0397112	0.0578163	0.0952544	0.127386	0.16235	0.145348	0.120214	0.0810334	0.0882239
a90	0.0621348	0.0541352	0.0536335	0.0576116	0.0812745	0.107019	0.14071	0.138033	0.128577	0.0936949	0.0831766
a98	0.054356	0.0420449	0.0366307	0.0406585	0.0556761	0.0766028	0.113554	0.150876	0.158602	0.142512	0.128488
a26	0.0407499	0.0290485	0.0235803	0.029064	0.0382632	0.0545891	0.0857391	0.138659	0.180587	0.195638	0.184083
a98	0.0423511	0.0254519	0.0192877	0.023587	0.0310318	0.0417515	0.0649295	0.108347	0.167881	0.221617	0.253764
a71	0.0459174	0.0291534	0.0219345	0.024745	0.0297845	0.0369103	0.0554747	0.0952254	0.156057	0.224507	0.280291
a38	0.0370144	0.0229092	0.0165611	0.0164242	0.0188031	0.0241537	0.0377053	0.0674962	0.123616	0.223906	0.411411
a76	0.0414612	0.0213617	0.0137953	0.0155872	0.018051	0.0211571	0.0308968	0.0532707	0.103113	0.211271	0.470035
a94	0.0352297	0.0180949	0.0117924	0.0154652	0.0163338	0.0192619	0.028093	0.0493658	0.0958107	0.217728	0.492824
a32	0.0261822	0.0125298	0.00728068	0.00862218	0.00907311	0.0108747	0.0158873	0.0305007	0.0638217	0.180302	0.634925
a24	0.0289935	0.0146765	0.0077145	0.00710415	0.00580072	0.00659622	0.0097234	0.0204649	0.048251	0.16469	0.685985
a9	0.0255262	0.0134222	0.00653336	0.00595851	0.00483333	0.00493206	0.00696994	0.0162204	0.0412004	0.156713	0.717691
a87	0.0153484	0.00762125	0.00329577	0.00345297	0.0024614	0.00315628	0.00539001	0.0192678	0.0587998	0.201542	0.679665
a40	0.00844378	0.00410724	0.00148841	0.00123813	0.000912113	0.00147871	0.00314637	0.01494	0.0477418	0.189259	0.727244
a73	0.0140995	0.00858459	0.00550039	0.0044533	0.00360715	0.00419485	0.00788643	0.0231389	0.0694465	0.24488	0.614209
a35	0.0036483	0.00213207	0.00154034	0.00261235	0.00284009	0.00439874	0.00976098	0.0280493	0.0850222	0.248196	0.6118
a94	0.0036737	0.00191838	0.00123389	0.0019024	0.00184503	0.00271732	0.00517764	0.0153817	0.0540041	0.218408	0.693737
a90	0.00106833	0.000685515	0.000623874	0.00112833	0.00122125	0.00214227	0.00472753	0.0143422	0.0514611	0.192484	0.730115
a76	0.00513416	0.00306437	0.00222361	0.00374795	0.00384115	0.00521066	0.00846496	0.0175561	0.0514309	0.18766	0.711666
a94	0.0129728	0.00693124	0.00456505	0.00669611	0.00610388	0.0062037	0.00814406	0.0149524	0.039776	0.156533	0.737122
a32	0.00636391	0.00314183	0.00162243	0.00207124	0.00183664	0.00231871	0.00422385	0.0113983	0.0370864	0.14833	0.781606
a24	0.0102934	0.00503308	0.00240744	0.00274382	0.00173928	0.00219315	0.00431093	0.0141178	0.0464741	0.167512	0.743175
a41	0.0131705	0.00699112	0.00364971	0.00332709	0.0023849	0.00277455	0.00462979	0.0129885	0.0393401	0.152318	0.758426
a14	0.0103354	0.00546965	0.00263961	0.00272944	0.00214723	0.00300762	0.00612029	0.0198984	0.0607065	0.194458	0.692487
a57	0.00569532	0.00324911	0.00205855	0.00211145	0.00154671	0.00208303	0.00442583	0.0136558	0.0479284	0.177571	0.739674
a38	0.019687	0.0108184	0.0050738	0.00553234	0.00389729	0.00484305	0.00757888	0.0213648	0.054858	0.173145	0.693202
a14	0.0190636	0.0106518	0.0048251	0.00445776	0.0031184	0.00321708	0.00491937	0.0147706	0.0416715	0.151647	0.741657
a35	0.00758999	0.00387272	0.00198023	0.00231459	0.00179792	0.00208381	0.00365298	0.010989	0.0347227	0.141936	0.78906
a98	0.00688093	0.00396924	0.00240596	0.00215923	0.00163885	0.00192787	0.00375069	0.01169	0.0381692	0.153981	0.773427
a83	0.00658586	0.00436572	0.00323214	0.00305664	0.00267336	0.00418272	0.00921854	0.0234016	0.0602006	0.180267	0.702816
a9	0.0135059	0.00803683	0.0046832	0.00431423	0.00317733	0.00317604	0.00496972	0.013094	0.0395087	0.149342	0.756192
a87	0.0212824	0.0119142	0.00536191	0.00524404	0.00382285	0.00448263	0.00767008	0.0222096	0.0547242	0.163558	0.699731
</S>	0.023271	0.0141648	0.00620525	0.00503967	0.00352098	0.0053443	0.00921881	0.0295094	0.0630215	0.191088	0.649616
