 	ils	se	sont	brouillés	</S>
a23	0.284064	0.189668	0.152059	0.156162	0.218048
a20	0.374222	0.235903	0.138739	0.11071	0.140425
a30	0.142756	0.144819	0.172777	0.216479	0.323168
a47	0.410853	0.278775	0.131751	0.0927113	0.0859091
a6	0.350647	0.290656	0.153912	0.103682	0.101102
a2	0.386426	0.269452	0.144321	0.101037	0.0987649
a75	0.296277	0.243143	0.176444	0.143721	0.140415
a85	0.169286	0.189825	0.201159	0.222533	0.217197
a37	0.112672	0.152109	0.2058	0.263996	0.265423
a61	0.205024	0.191552	0.201502	0.20815	0.193772
a47	0.155352	0.173759	0.22448	0.231462	0.214946
a34	0.140392	0.140118	0.206087	0.247335	0.266069
a75	0.0957783	0.113269	0.190503	0.263197	0.337253
a85	0.0476548	0.0715647	0.163667	0.31232	0.404794
a37	0.0259584	0.0440839	0.123496	0.308863	0.497598
a62	0.0321377	0.0499529	0.129025	0.28797	0.500914
a21	0.0300735	0.0437918	0.121693	0.263548	0.540893
a41	0.0157186	0.0243055	0.0842079	0.253855	0.621913
a27	0.022283	0.0394639	0.113854	0.27402	0.550379
a57	0.0288076	0.0578238	0.139605	0.27633	0.497433
a10	0.0538981	0.0800391	0.144347	0.26124	0.460475
a87	0.119374	0.144864	0.197956	0.251088	0.286719
a23	0.151931	0.151353	0.189219	0.236489	0.271009
a87	0.0919544	0.120351	0.190112	0.278585	0.318997
</S>	0.0425818	0.0719307	0.159842	0.309255	0.41639
