 	je	vais	au	village	</S>
a23	0.595593	0.218046	0.0705961	0.052329	0.0634352
a87	0.54422	0.212247	0.105615	0.0681562	0.0697616
a23	0.347122	0.248129	0.166038	0.114244	0.124467
a94	0.423496	0.2089	0.116352	0.104062	0.14719
a35	0.541434	0.287656	0.0914939	0.0442678	0.0351482
a30	0.315745	0.394778	0.195901	0.0644273	0.0291486
a35	0.329784	0.37399	0.202539	0.06633	0.0273559
a24	0.346589	0.362716	0.190062	0.0695379	0.0310956
a71	0.299566	0.279766	0.205834	0.133298	0.0815357
a38	0.204512	0.221599	0.256781	0.193196	0.123912
a14	0.192776	0.196221	0.236729	0.21206	0.162215
a44	0.191338	0.17343	0.19867	0.219426	0.217136
a57	0.134084	0.1045	0.17088	0.270216	0.32032
a87	0.0366135	0.0334576	0.105549	0.297768	0.526611
a38	0.0239027	0.0215989	0.0580028	0.213991	0.682505
a90	0.0182287	0.0163705	0.0555669	0.228089	0.681745
a4	0.0460353	0.0352736	0.0894113	0.249603	0.579677
a13	0.00973775	0.00806608	0.026788	0.185864	0.769544
a99	0.0122031	0.0094401	0.0223234	0.136616	0.819418
a87	0.025796	0.020733	0.0399645	0.166165	0.747342
</S>	0.0265988	0.0237546	0.0556469	0.214986	0.679014
