 	depuis	qu'	il	est	blessé	il	boite	</S>
a85	0.330504	0.165412	0.108097	0.104242	0.091286	0.0741821	0.0601547	0.066122
a87	0.428553	0.192035	0.109431	0.0785247	0.0546146	0.041591	0.0418323	0.053418
a23	0.24291	0.194106	0.116665	0.0855529	0.0775396	0.0794289	0.0928423	0.110956
a30	0.246115	0.151945	0.0803452	0.0498131	0.0519954	0.0702452	0.137474	0.212067
a90	0.294295	0.176802	0.0856587	0.0522829	0.052553	0.0622616	0.102281	0.173866
a41	0.417347	0.253288	0.114232	0.0570878	0.0394109	0.0347366	0.0393227	0.0445754
a12	0.354378	0.269366	0.153863	0.0839429	0.0465285	0.0310834	0.0300745	0.030763
a18	0.320284	0.272873	0.168692	0.0876576	0.0458466	0.0327207	0.0333917	0.0385342
a53	0.226006	0.260947	0.221714	0.124845	0.0556984	0.0372411	0.0353198	0.0382284
a76	0.13779	0.178719	0.198804	0.159049	0.0999334	0.0735661	0.0704401	0.0816988
a32	0.194855	0.233848	0.186381	0.130322	0.0864959	0.0644485	0.0539769	0.0496738
a24	0.170264	0.227908	0.201522	0.145596	0.0916867	0.0609487	0.0512315	0.0508432
a47	0.108717	0.16332	0.193284	0.193812	0.141949	0.0794329	0.0570546	0.0624305
a24	0.0542868	0.0927005	0.140997	0.19061	0.201651	0.124733	0.0891226	0.105899
a94	0.0565631	0.0731894	0.0907273	0.156891	0.217297	0.167447	0.1133	0.124586
a90	0.0434824	0.0546551	0.0736129	0.139235	0.239637	0.188273	0.124881	0.136223
a25	0.0421405	0.050589	0.0685029	0.122463	0.237077	0.210926	0.136252	0.132051
a73	0.0226826	0.0274841	0.043542	0.092516	0.21305	0.233519	0.182778	0.184428
a84	0.0227996	0.024819	0.0378554	0.0801427	0.179651	0.20814	0.201725	0.244868
a87	0.0125862	0.0160836	0.0271852	0.0637645	0.138515	0.198902	0.242786	0.300178
a23	0.0156538	0.0197388	0.0374776	0.083349	0.148126	0.21714	0.225758	0.252757
a40	0.0275844	0.0214773	0.0275402	0.0558375	0.111856	0.181952	0.226794	0.346959
a73	0.0338439	0.0230046	0.0243437	0.0346945	0.0733099	0.130372	0.236275	0.444156
a94	0.0191958	0.0240049	0.0359223	0.063908	0.130797	0.197426	0.253148	0.275598
a98	0.0162112	0.0171272	0.0210248	0.0346771	0.0885057	0.163055	0.279982	0.379417
a71	0.00538199	0.00457506	0.00553518	0.0120025	0.0511892	0.141134	0.320011	0.460171
a53	0.00563608	0.00542043	0.00675172	0.0124106	0.0456777	0.11804	0.277862	0.528201
a56	0.00690994	0.00587145	0.00750477	0.0133282	0.0463581	0.116876	0.28852	0.514632
a70	0.014172	0.0127581	0.0148007	0.0225817	0.0544162	0.119392	0.273045	0.488834
a13	0.00663933	0.0064421	0.00771736	0.0134613	0.0376512	0.0995081	0.253181	0.5754
a62	0.00732485	0.00548032	0.00620207	0.0105436	0.0296841	0.0845717	0.258975	0.597218
a98	0.00995037	0.00635436	0.00575612	0.00846898	0.0249986	0.0761732	0.241138	0.62716
a71	0.00544935	0.00335578	0.00359896	0.00636229	0.0232884	0.0767302	0.240908	0.640307
a9	0.00329878	0.00272395	0.00338902	0.00672205	0.0238293	0.0753612	0.241029	0.643646
a99	0.00211182	0.00156159	0.00207742	0.00433511	0.0161389	0.0572142	0.229766	0.686795
a87	0.00333744	0.00227524	0.00247164	0.00494356	0.0150151	0.0524255	0.214337	0.705195
</S>	0.00585416	0.00475246	0.00516935	0.00965476	0.0258148	0.0882498	0.255634	0.604871
