 	je	me	suis	blessé	à	la	lèvre	</S>
a15	0.319236	0.149853	0.0859647	0.086194	0.119157	0.126524	0.07606	0.0370115
a57	0.184457	0.142436	0.129807	0.137904	0.149949	0.1075	0.0772496	0.0706961
a83	0.363132	0.186458	0.12637	0.092879	0.0669758	0.04293	0.0478455	0.0734097
a31	0.353546	0.23859	0.148267	0.0767667	0.0513031	0.0363581	0.0388102	0.0563582
a21	0.3857	0.258918	0.161871	0.0890481	0.0487852	0.026307	0.0149606	0.01441
a61	0.385645	0.303008	0.187775	0.0640309	0.0302613	0.0147295	0.00750916	0.00704146
a47	0.263175	0.284147	0.24633	0.11283	0.0512641	0.0224606	0.0106953	0.0090986
a83	0.245856	0.273283	0.257036	0.129028	0.0526301	0.0219674	0.011012	0.00918706
a38	0.212582	0.232999	0.24044	0.158673	0.0784948	0.0400913	0.0206292	0.0160918
a25	0.140598	0.156561	0.172768	0.204347	0.145227	0.094203	0.0513814	0.0349147
a56	0.066285	0.0734479	0.0828867	0.13791	0.160119	0.16328	0.160614	0.155457
a43	0.0598437	0.0634763	0.0746104	0.171425	0.202653	0.196189	0.139122	0.0926813
a75	0.022504	0.0216089	0.0261403	0.0992869	0.175054	0.226994	0.246467	0.181945
a85	0.0110849	0.0111584	0.0149919	0.0517598	0.126723	0.240581	0.305616	0.238086
a44	0.0029592	0.00318395	0.00499253	0.0269625	0.0931885	0.237465	0.38301	0.248238
a90	0.00369351	0.0029673	0.00330456	0.0120825	0.0412682	0.126781	0.329977	0.479926
a25	0.00300325	0.00269503	0.00309548	0.010936	0.0366003	0.127253	0.363114	0.453303
a92	0.00077114	0.000762687	0.00113418	0.00472287	0.018263	0.0790919	0.31491	0.580345
a37	0.00065786	0.00067597	0.000937677	0.00388306	0.0171366	0.0731689	0.305316	0.598224
a94	0.00036762	0.000326129	0.00045326	0.00220525	0.0104524	0.0482334	0.275087	0.662875
a71	0.000397844	0.000298365	0.000381331	0.00170043	0.00854828	0.0384218	0.237572	0.71268
a82	0.0056048	0.00303764	0.00271374	0.00848527	0.0279917	0.0867569	0.261369	0.604041
a87	0.0804894	0.0441442	0.0279165	0.0376127	0.0511952	0.0828459	0.181811	0.493985
a23	0.185133	0.11099	0.0725933	0.0810276	0.0925861	0.114619	0.15387	0.189181
a87	0.0610195	0.0296806	0.0180239	0.023282	0.0486474	0.103003	0.287218	0.429125
a97	0.0112369	0.00880516	0.00935057	0.0205674	0.0508823	0.104439	0.263397	0.531322
</S>	0.0228591	0.0187308	0.0184765	0.0331905	0.058473	0.0998031	0.26122	0.487247
