 	la	profondeur	du	puits	m'	a	fait	peur	</S>
a66	0.509729	0.2423	0.0519527	0.0253789	0.0284595	0.0332147	0.0347341	0.03734	0.0368909
a87	0.476888	0.262476	0.0784402	0.0347571	0.0303995	0.0381364	0.0312423	0.024118	0.0235423
a23	0.545516	0.285103	0.0652241	0.0261732	0.0176574	0.0162625	0.0146032	0.0136545	0.0158061
a20	0.240682	0.209539	0.137849	0.123834	0.0630472	0.0481145	0.0483397	0.0535783	0.0750153
a44	0.370172	0.329803	0.099669	0.060623	0.0397881	0.0317763	0.0275048	0.0221516	0.0185125
a54	0.203373	0.281373	0.191988	0.135434	0.0769265	0.0483714	0.0255035	0.0186649	0.0183656
a6	0.177079	0.278287	0.179087	0.151446	0.0707455	0.0564205	0.0398283	0.0257643	0.0213428
a37	0.11329	0.230848	0.2157	0.211085	0.111471	0.0644376	0.0289436	0.0134676	0.0107561
a96	0.148873	0.192415	0.169162	0.190056	0.114488	0.0806754	0.0468767	0.0297008	0.0277534
a88	0.108084	0.172304	0.160226	0.193227	0.13593	0.0914426	0.0634889	0.0417521	0.0335449
a62	0.0384984	0.0999213	0.144283	0.204638	0.185337	0.13873	0.0875712	0.055153	0.0458683
a21	0.0379876	0.0769332	0.10147	0.154631	0.177165	0.147852	0.122418	0.100445	0.0810981
a6	0.0225692	0.0497223	0.0739794	0.129266	0.183048	0.180563	0.155908	0.116283	0.0886605
a37	0.00749149	0.0184241	0.0276571	0.0616869	0.121023	0.162328	0.216431	0.217901	0.167057
a54	0.0149061	0.027378	0.0347972	0.0689282	0.118427	0.175615	0.206986	0.190762	0.1622
a47	0.0068663	0.0105424	0.0135437	0.0304319	0.0629087	0.133477	0.211563	0.260696	0.269972
a15	0.00403837	0.00538381	0.00967997	0.0247514	0.0486766	0.127407	0.260848	0.250523	0.268692
a7	0.0034369	0.00577999	0.00937064	0.0177229	0.0295884	0.0822835	0.229445	0.314987	0.307385
a69	0.00399836	0.0052993	0.00694431	0.0119885	0.0150906	0.0423887	0.155069	0.321863	0.437359
a58	0.0049203	0.00527931	0.00702847	0.0112392	0.0158797	0.048151	0.166269	0.333446	0.407787
a5	0.00254889	0.00311891	0.0040029	0.00732846	0.00955135	0.0287213	0.100241	0.273024	0.571463
a37	0.00154069	0.00207871	0.00354635	0.00880423	0.0161596	0.0532027	0.157565	0.301323	0.455779
a54	0.00224426	0.00283989	0.00381206	0.00788915	0.0101482	0.0299193	0.101182	0.241174	0.600791
a7	0.000604001	0.000798623	0.0018328	0.00427711	0.00635536	0.0219407	0.0920415	0.260938	0.611212
a53	0.000709033	0.000597706	0.000626067	0.00128123	0.00231153	0.011295	0.0617484	0.226334	0.695098
a4	0.000666604	0.000823709	0.00145631	0.00369942	0.00703904	0.0299764	0.111328	0.261272	0.583738
a57	0.000757811	0.00112751	0.00168269	0.0034756	0.00674401	0.0254735	0.0947348	0.242118	0.623886
a82	0.00392991	0.0041149	0.0041383	0.00410142	0.00519639	0.0123838	0.0548374	0.218325	0.692973
a87	0.0100294	0.0096361	0.0107768	0.0111217	0.0124093	0.028867	0.0838224	0.21843	0.614907
a23	0.273917	0.0899492	0.0509539	0.042673	0.0420404	0.0751754	0.104534	0.131994	0.188763
a87	0.217387	0.105358	0.0616163	0.0582291	0.0615902	0.092417	0.124425	0.131443	0.147535
</S>	0.100067	0.0548514	0.0364301	0.0416758	0.0440764	0.0745641	0.12714	0.19153	0.329665
