 	il	a	le	visage	boursouflé	par	les	coups	</S>
a23	0.309324	0.242035	0.133716	0.0679831	0.0766889	0.0634847	0.0381121	0.0330467	0.0356097
a87	0.201118	0.161705	0.157857	0.130715	0.153498	0.0599156	0.0373142	0.0408213	0.0570547
a23	0.135902	0.116879	0.131298	0.12279	0.127892	0.0655323	0.0549835	0.0851743	0.159548
a87	0.208105	0.188785	0.164589	0.105389	0.0645415	0.0414458	0.0427486	0.0703309	0.114065
a23	0.220664	0.186672	0.143008	0.092074	0.0586747	0.0459445	0.0492408	0.0794997	0.124222
a30	0.233788	0.230514	0.179758	0.0901549	0.048927	0.0313531	0.0276834	0.0557385	0.102083
a94	0.274727	0.293053	0.205574	0.0940439	0.0305148	0.0230492	0.018885	0.0233395	0.0368136
a41	0.315411	0.333887	0.211285	0.0940038	0.0285199	0.00635525	0.00365811	0.00332897	0.00355063
a35	0.216162	0.243967	0.21934	0.178588	0.0950407	0.0193363	0.0110755	0.00870563	0.00778426
a26	0.195251	0.218078	0.203656	0.197812	0.0930594	0.0330696	0.0231305	0.0188582	0.0170847
a24	0.180879	0.176553	0.16756	0.193564	0.109832	0.0610384	0.0434789	0.0343944	0.0327
a26	0.152305	0.14871	0.162617	0.21593	0.139545	0.074253	0.0453908	0.0319553	0.0292937
a35	0.152737	0.14885	0.141353	0.203721	0.131546	0.0915979	0.052552	0.0380354	0.039607
a26	0.118907	0.126176	0.139594	0.239926	0.149651	0.100119	0.0549454	0.0362301	0.0344507
a41	0.125466	0.132571	0.133875	0.208906	0.152579	0.120138	0.0580011	0.0348575	0.0336052
a32	0.0836402	0.118211	0.155873	0.252615	0.157886	0.121278	0.0590095	0.0284349	0.023052
a24	0.0479983	0.0779209	0.106555	0.194109	0.161735	0.200468	0.103361	0.0566611	0.0511916
a41	0.0498147	0.0795439	0.114599	0.194029	0.162347	0.188092	0.114125	0.0585398	0.0389097
a35	0.0336123	0.0614825	0.102055	0.169267	0.15227	0.208154	0.131797	0.0764976	0.0648649
a43	0.0446367	0.0785615	0.107408	0.14072	0.137048	0.212969	0.133961	0.0799532	0.0647433
a11	0.0273513	0.0461299	0.0663199	0.0808634	0.0637027	0.214552	0.195	0.155674	0.150406
a26	0.0193376	0.0304018	0.0431861	0.0573437	0.0312503	0.18817	0.228823	0.20403	0.197458
a43	0.0148734	0.0229537	0.0322367	0.0445394	0.0248006	0.165584	0.246726	0.228558	0.219728
a75	0.0125647	0.0191644	0.027096	0.0348943	0.0185907	0.150065	0.249897	0.250161	0.237567
a14	0.0135088	0.0190104	0.0222822	0.0255385	0.0172842	0.164178	0.207019	0.25179	0.279389
a35	0.0246574	0.0302287	0.0313242	0.0291292	0.0371961	0.230971	0.208286	0.200528	0.207679
a0	0.0110673	0.0137712	0.0161101	0.0175794	0.0125001	0.104728	0.1832	0.28791	0.353133
a11	0.00772332	0.00928276	0.0117022	0.0164197	0.0110087	0.0981263	0.173923	0.303127	0.368687
a94	0.00563385	0.00536606	0.00651766	0.010539	0.00554158	0.0482395	0.122102	0.30733	0.488731
a56	0.00360011	0.00329138	0.00376042	0.00623453	0.00489973	0.0476729	0.124092	0.331038	0.475411
a43	0.00482677	0.0042884	0.00522901	0.00797852	0.00734941	0.0482434	0.112169	0.320282	0.489633
a75	0.0044962	0.0037973	0.0045495	0.00782588	0.00665587	0.0398066	0.112659	0.31019	0.51002
a14	0.00400414	0.00426505	0.00554427	0.00923039	0.0110353	0.0643068	0.134564	0.302774	0.464277
a35	0.00396193	0.00503323	0.00736049	0.0104881	0.0103431	0.0677926	0.146099	0.305197	0.443724
a38	0.00471451	0.00505205	0.00580828	0.00725139	0.00659271	0.050603	0.120975	0.281295	0.517708
a41	0.00417227	0.00386368	0.00406121	0.00581435	0.00502761	0.0310265	0.101345	0.296383	0.548306
a35	0.00404742	0.00433921	0.00437549	0.00537461	0.00668231	0.0462503	0.12708	0.311244	0.490607
a24	0.00369544	0.00398507	0.00418649	0.00554908	0.00646304	0.0444348	0.121947	0.296412	0.513327
a25	0.00369624	0.00335501	0.00360289	0.00509935	0.0058503	0.0291759	0.0891646	0.278991	0.581065
a11	0.00535047	0.00414817	0.00384537	0.00582569	0.00567744	0.0329008	0.124733	0.31281	0.504709
a75	0.00833794	0.00498842	0.00377971	0.00562538	0.00862885	0.0413982	0.105465	0.266933	0.554843
a76	0.00230488	0.00198848	0.00216722	0.00366004	0.00505307	0.0216171	0.0999397	0.303867	0.559403
a94	0.000891218	0.00114531	0.00175463	0.00330602	0.00482225	0.0271933	0.076424	0.266846	0.617617
a84	0.00167944	0.00135241	0.00167925	0.00341833	0.00364844	0.0190973	0.0572151	0.242793	0.669117
a87	0.00319523	0.00191997	0.00165662	0.00264073	0.0038128	0.0148939	0.056909	0.261062	0.65391
</S>	0.00343653	0.00196262	0.00166326	0.00220747	0.00488778	0.0320222	0.10177	0.308343	0.543707
