 	la	femme	de	son	oncle	est	devenue	pour	elle	une	rivale	</S>
a66	0.233781	0.165539	0.112372	0.112845	0.117484	0.0989383	0.0602275	0.0317663	0.0194785	0.0182855	0.0172707	0.0120121
a87	0.291261	0.172414	0.107317	0.0821226	0.0677978	0.0531322	0.030378	0.0278831	0.0323678	0.0457498	0.0513703	0.038206
a23	0.302978	0.216546	0.152219	0.106574	0.078439	0.0421885	0.0184815	0.00876964	0.0112292	0.0162039	0.0237783	0.0225932
a44	0.220076	0.190999	0.141276	0.111495	0.0911003	0.0423093	0.0200416	0.0133076	0.01977	0.0310428	0.0589654	0.0596175
a54	0.223525	0.189772	0.134198	0.0938097	0.0814057	0.0603483	0.0539278	0.0254902	0.0228624	0.0303871	0.0421825	0.0420916
a6	0.137187	0.15273	0.135742	0.0932813	0.073324	0.0667084	0.0873138	0.035582	0.0307464	0.0466878	0.0804337	0.0602637
a0	0.134762	0.164052	0.135773	0.0808441	0.0523124	0.0447011	0.0719532	0.0401355	0.0418503	0.0680204	0.105193	0.0604026
a75	0.135486	0.183807	0.170146	0.11988	0.0768375	0.0612521	0.0666983	0.0302811	0.0243307	0.0320241	0.05214	0.047117
a47	0.0852189	0.119845	0.121315	0.098244	0.0730065	0.0884731	0.14645	0.0651195	0.0391372	0.0440185	0.0600471	0.0591255
a92	0.0862797	0.118815	0.128637	0.103454	0.0709836	0.0810999	0.132334	0.0523692	0.0340569	0.0424412	0.0693499	0.0801802
a37	0.092271	0.11063	0.129851	0.126887	0.101319	0.100427	0.125728	0.0474826	0.026503	0.0281797	0.0498212	0.0609009
a56	0.0964109	0.113025	0.14117	0.158963	0.146702	0.118518	0.0890077	0.034553	0.0195968	0.0185488	0.0292205	0.0342848
a34	0.0554449	0.0686317	0.107183	0.148716	0.154932	0.135857	0.105619	0.0530947	0.0325918	0.0306836	0.048003	0.0592434
a56	0.0404838	0.0475466	0.0791769	0.132119	0.159916	0.154218	0.120265	0.0673148	0.041549	0.0371287	0.0542157	0.0660659
a34	0.0242206	0.0270424	0.0461803	0.104604	0.151127	0.157302	0.137369	0.0891231	0.0588226	0.0479719	0.0687634	0.0874726
a62	0.017274	0.0199215	0.0337499	0.0869793	0.145549	0.163241	0.148864	0.0945164	0.0621756	0.0509988	0.0752329	0.101497
a75	0.0185304	0.020349	0.0308486	0.074649	0.124038	0.147116	0.156068	0.11592	0.0736338	0.0559001	0.0721439	0.110803
a85	0.0120481	0.0119037	0.0165985	0.0368064	0.0798829	0.111455	0.132118	0.103778	0.0884035	0.082634	0.125398	0.198973
a6	0.00490789	0.00519321	0.00754785	0.019053	0.0439905	0.0711554	0.103081	0.0871595	0.0850819	0.0897188	0.14398	0.339131
a37	0.00217716	0.00241598	0.00386578	0.0119509	0.0315548	0.05444	0.113858	0.120505	0.101706	0.0863929	0.161792	0.309342
a21	0.00389132	0.00367933	0.0049706	0.0135257	0.0325489	0.0501963	0.0918323	0.109693	0.104467	0.0914302	0.173289	0.320475
a85	0.00350279	0.00317597	0.00396838	0.00913601	0.019489	0.0311107	0.0592386	0.0849865	0.103776	0.111641	0.183814	0.386162
a79	0.00134312	0.00155113	0.00241037	0.00675027	0.0122404	0.0186596	0.0452949	0.0660236	0.0840069	0.104759	0.181195	0.475766
a44	0.000540951	0.000680636	0.00110435	0.00341269	0.00692743	0.0106926	0.0298259	0.0566076	0.0926593	0.117833	0.216715	0.463
a54	0.00117308	0.00123556	0.00159499	0.00383451	0.00657208	0.00774291	0.0180773	0.0437883	0.0938246	0.1416	0.216036	0.464521
a47	0.000587449	0.000680193	0.00093717	0.00211836	0.00361377	0.00493673	0.0144243	0.0359587	0.0850803	0.141747	0.203191	0.506725
a37	0.00026587	0.000316814	0.000502864	0.00130096	0.00215153	0.00258088	0.00936126	0.0268629	0.0663829	0.116678	0.232129	0.541467
a26	0.00139568	0.001256	0.00143524	0.00208105	0.00274447	0.00330465	0.0101546	0.0333785	0.0713713	0.115312	0.170583	0.586983
a57	0.0222916	0.0136121	0.011598	0.00962361	0.00654346	0.00808439	0.0232001	0.0688261	0.102207	0.112612	0.14556	0.475841
a87	0.120457	0.0650866	0.0450489	0.0300843	0.0149808	0.0189144	0.0310584	0.052359	0.0758051	0.0845773	0.120491	0.341137
a23	0.243007	0.137363	0.090541	0.0581798	0.0348915	0.0417644	0.0474334	0.0557701	0.0639787	0.0631544	0.0723266	0.0915898
a87	0.126536	0.0758669	0.0497298	0.0326295	0.0191845	0.027415	0.0532656	0.0668656	0.106731	0.134756	0.165486	0.141534
</S>	0.0347808	0.02535	0.0220071	0.0200043	0.0160932	0.0203494	0.0372168	0.0442681	0.0834343	0.135247	0.288699	0.272551
