 	cette	femme	a	fait	un	feu	pour	préparer	le	manioc	</S>
a66	0.151968	0.150246	0.14118	0.13523	0.139594	0.139238	0.0851982	0.0346244	0.0102961	0.00624629	0.00617798
a87	0.303457	0.227963	0.138934	0.107939	0.0787095	0.0610381	0.0363601	0.0162758	0.00817916	0.00845204	0.0126916
a23	0.31702	0.234299	0.150817	0.119788	0.0719177	0.0431867	0.0196535	0.009519	0.00669314	0.0103629	0.016744
a87	0.337466	0.208773	0.135901	0.120637	0.0764129	0.0514139	0.0176139	0.00967698	0.00914838	0.0126328	0.0203241
a23	0.305194	0.196328	0.136662	0.128193	0.0834679	0.0604571	0.0248476	0.0137632	0.0117066	0.0158773	0.0235022
a30	0.314647	0.177142	0.11157	0.0956384	0.0647602	0.0500835	0.0286778	0.0257287	0.0265468	0.039745	0.0654608
a70	0.267882	0.166359	0.120065	0.095855	0.0644439	0.0497793	0.0382209	0.0482525	0.0387824	0.0464926	0.0638667
a96	0.260567	0.211452	0.157911	0.1294	0.0865325	0.0618964	0.0324098	0.0242084	0.0134697	0.0107577	0.0113956
a34	0.158235	0.159636	0.150285	0.153611	0.118642	0.0909961	0.0522004	0.0433068	0.0264729	0.0228977	0.0237166
a90	0.126057	0.139531	0.149738	0.172391	0.143961	0.112465	0.0558286	0.0417798	0.0218594	0.0178745	0.018515
a79	0.0757107	0.0974087	0.124108	0.158045	0.151189	0.132413	0.0816134	0.0701074	0.0407219	0.033824	0.0348598
a56	0.044177	0.0637212	0.0955242	0.137536	0.151113	0.151178	0.108864	0.0877293	0.0552938	0.0499439	0.0549202
a96	0.0835169	0.105449	0.131923	0.161593	0.155796	0.139166	0.074454	0.0470988	0.0308604	0.0320571	0.0380868
a94	0.072299	0.0969903	0.126813	0.161288	0.163417	0.150721	0.0812387	0.045643	0.0290972	0.0323459	0.0401472
a11	0.0466351	0.0673561	0.10166	0.143844	0.174355	0.177654	0.101668	0.0524181	0.0346233	0.0424407	0.0573452
a75	0.0347221	0.0489157	0.0751197	0.110552	0.163686	0.190346	0.128025	0.0634357	0.0458941	0.0586173	0.0806872
a92	0.0127349	0.0180357	0.027498	0.0444545	0.0826748	0.119207	0.114759	0.117923	0.121729	0.147711	0.193273
a56	0.0148218	0.0207246	0.0320209	0.0505187	0.096327	0.136807	0.13939	0.122594	0.108729	0.124195	0.153872
a21	0.0264115	0.0313831	0.0439257	0.0613688	0.103732	0.133655	0.136014	0.118812	0.0888838	0.110619	0.145195
a92	0.0102655	0.0114083	0.0149857	0.0224759	0.0468829	0.0782078	0.101866	0.105647	0.121103	0.201841	0.285316
a61	0.00392734	0.00435576	0.00564863	0.00803966	0.0163605	0.0296807	0.0583037	0.0882292	0.132447	0.251794	0.401214
a12	0.0076727	0.00795435	0.00950656	0.0115854	0.0196648	0.0292652	0.0491012	0.0933707	0.144223	0.241047	0.38661
a62	0.00454552	0.0042713	0.00476251	0.00582879	0.0100408	0.0161511	0.0314333	0.0712868	0.15554	0.281999	0.41414
a61	0.00502503	0.00516208	0.00584535	0.0070437	0.0100593	0.0138127	0.0246685	0.0656095	0.160419	0.290636	0.411719
a75	0.0022742	0.00230015	0.00266228	0.00324546	0.00484644	0.00707305	0.0138267	0.0401577	0.123214	0.300647	0.499753
a85	0.000575541	0.00057089	0.000640457	0.000743572	0.00113656	0.00162984	0.003565	0.0171343	0.0891887	0.307833	0.576982
a6	0.000142847	0.000144473	0.000163641	0.000194237	0.000358156	0.000578071	0.0017875	0.0118771	0.0757573	0.300022	0.608974
a98	0.000240929	0.000224911	0.000225205	0.000226952	0.000326553	0.000418454	0.00134534	0.0113351	0.0740488	0.296096	0.615512
a6	0.000154601	0.000162163	0.000186792	0.000216209	0.000391492	0.00057863	0.00202705	0.013404	0.0788672	0.30213	0.601882
a61	0.000368685	0.000398198	0.000433739	0.000461947	0.000730058	0.000975684	0.00330339	0.0195266	0.0902347	0.302311	0.581256
a18	0.00118712	0.00111909	0.00106828	0.00109541	0.00143593	0.00163715	0.00385762	0.0201473	0.0929914	0.302122	0.573338
a53	0.00212997	0.00227881	0.0025207	0.00277878	0.00348055	0.0039005	0.00923371	0.0372329	0.106447	0.264706	0.565291
a4	0.00402789	0.0038866	0.004006	0.00362071	0.00405741	0.00457914	0.0159686	0.0669617	0.154418	0.281852	0.456622
a58	0.00147593	0.00155125	0.00176117	0.00177282	0.0022657	0.00262159	0.00757859	0.0386106	0.119449	0.279503	0.543411
a82	0.00160281	0.00146958	0.00154717	0.00140531	0.00155322	0.00156314	0.00497254	0.0279829	0.099409	0.280445	0.578049
a10	0.0212102	0.0131193	0.0109643	0.00891165	0.0088887	0.00847098	0.0183374	0.0522427	0.129877	0.279413	0.448565
a87	0.0822461	0.0486117	0.0363557	0.0307746	0.0292362	0.0271363	0.0404549	0.0698536	0.120924	0.209975	0.304433
a23	0.243795	0.174928	0.124661	0.096981	0.0781261	0.0562111	0.0429676	0.0379612	0.040275	0.047061	0.0570327
a87	0.100434	0.0781581	0.0584587	0.0532022	0.0495467	0.0380187	0.0431794	0.0658723	0.105188	0.177453	0.230488
</S>	0.0120465	0.0104454	0.00869322	0.00867173	0.00897417	0.00727368	0.0122047	0.0367499	0.108364	0.294154	0.492423
