 	il	parle	en	paraboles	</S>
a15	0.638822	0.25272	0.0639163	0.0235329	0.0210087
a66	0.674886	0.234632	0.0453785	0.0241849	0.0209191
a87	0.442378	0.2383	0.111028	0.0924918	0.115803
a23	0.514976	0.26319	0.104564	0.0541808	0.0630897
a97	0.37226	0.222986	0.128638	0.12218	0.153936
a87	0.341535	0.269202	0.167958	0.11872	0.102585
a23	0.390551	0.279843	0.137662	0.093409	0.0985347
a20	0.16783	0.160084	0.184481	0.227639	0.259966
a54	0.316351	0.313361	0.225428	0.0890045	0.0558554
a6	0.144725	0.24192	0.314074	0.206711	0.0925701
a0	0.106216	0.2078	0.320495	0.241696	0.123794
a5	0.0469641	0.0692229	0.212976	0.360712	0.310125
a12	0.0920888	0.0649559	0.107308	0.296643	0.439004
a88	0.073705	0.0595307	0.115701	0.289845	0.461218
a24	0.0392791	0.0414777	0.116957	0.312412	0.489875
a12	0.01057	0.012738	0.0596516	0.293027	0.624014
a18	0.0218836	0.0282569	0.0874637	0.288351	0.574044
a25	0.00364813	0.00496156	0.0243174	0.201333	0.76574
a87	0.00216845	0.00425607	0.021226	0.16478	0.807569
a23	0.117843	0.0827475	0.100065	0.219129	0.480215
a87	0.0353667	0.0388441	0.103132	0.29543	0.527227
</S>	0.0233684	0.0407584	0.117411	0.259138	0.559324
