 	okonza	a	dévoilé	la	personne	qui	a	volé	mes	bananes	plantains	</S>
a66	0.151813	0.198733	0.349286	0.130523	0.0884359	0.042069	0.0186543	0.00835984	0.00427029	0.00323101	0.00246147	0.00216269
a87	0.310304	0.19819	0.197902	0.0914307	0.0594209	0.0391572	0.0190176	0.0109191	0.0107831	0.0158335	0.0201607	0.0268802
a97	0.286128	0.132296	0.115307	0.0689354	0.0577984	0.0595313	0.0492694	0.0347894	0.0241504	0.032594	0.0494523	0.0897485
a99	0.213542	0.109133	0.106629	0.0698266	0.0741188	0.0840242	0.0847075	0.0659528	0.0375162	0.0394758	0.0480204	0.0670536
a97	0.191135	0.0886213	0.101001	0.0844398	0.103246	0.108549	0.0924914	0.0606937	0.0341819	0.0388694	0.0429414	0.0538298
a79	0.133517	0.0755152	0.105283	0.0810238	0.088423	0.0928197	0.0931144	0.0750494	0.0518235	0.0611504	0.0645126	0.0777685
a4	0.256035	0.141416	0.160849	0.0729739	0.0598321	0.0490473	0.0431223	0.0312793	0.0283576	0.0425055	0.0476801	0.0669016
a57	0.427553	0.268625	0.131057	0.035985	0.0277261	0.023189	0.017371	0.0128692	0.0112822	0.0150915	0.0136961	0.0155547
a53	0.344388	0.24352	0.112872	0.0482983	0.0394829	0.0366402	0.0323354	0.0273314	0.0254757	0.0305755	0.0254554	0.0336251
a93	0.38006	0.26362	0.129242	0.0420575	0.0368751	0.030923	0.0234408	0.0179308	0.0162891	0.0205479	0.0170905	0.0219228
a75	0.257534	0.26512	0.181203	0.0666605	0.0583356	0.0436086	0.03113	0.020734	0.0165704	0.0191986	0.0179609	0.0219449
a85	0.155434	0.244226	0.19048	0.0943626	0.091443	0.0673517	0.040191	0.0256616	0.0190623	0.0223098	0.0223233	0.0271546
a47	0.141483	0.172833	0.141894	0.100899	0.107539	0.0867128	0.0636236	0.0452942	0.0315176	0.0325793	0.0336742	0.0419507
a36	0.103169	0.17349	0.166045	0.111476	0.11393	0.0825571	0.0566387	0.0411118	0.0331528	0.0378519	0.0366793	0.0438986
a47	0.0779194	0.176185	0.19285	0.122751	0.115721	0.0778163	0.0498375	0.0331487	0.0276607	0.0349123	0.0405802	0.0506181
a85	0.0492421	0.124368	0.166937	0.130081	0.124556	0.0828432	0.0547381	0.038722	0.0358879	0.049529	0.0623754	0.08072
a0	0.0402923	0.0791592	0.115025	0.120573	0.11827	0.0861464	0.0739003	0.071377	0.0679589	0.0705928	0.0718381	0.0848674
a75	0.01854	0.058095	0.0929019	0.121359	0.115443	0.0863085	0.0701813	0.0609675	0.0597266	0.0764963	0.103979	0.136001
a85	0.00938082	0.037256	0.065261	0.0865083	0.0854013	0.0680885	0.0657144	0.0732452	0.0903033	0.116011	0.136113	0.166717
a92	0.0154006	0.0346216	0.0528764	0.071265	0.0694889	0.0510253	0.0523277	0.0620536	0.0906754	0.128106	0.159881	0.212279
a61	0.00810968	0.0292383	0.0553827	0.093622	0.0939274	0.0774822	0.071123	0.0728095	0.0874664	0.115874	0.134592	0.160373
a96	0.00585971	0.0180758	0.0334874	0.0717717	0.0798243	0.0798693	0.0839168	0.0875591	0.102895	0.11909	0.156017	0.161633
a93	0.00399765	0.0116618	0.0269749	0.0663901	0.0800701	0.084027	0.0930134	0.093517	0.101474	0.111031	0.158456	0.169387
a62	0.00303414	0.00948626	0.0225195	0.0570293	0.0657819	0.0721562	0.0809384	0.090811	0.104159	0.12629	0.180298	0.187496
a47	0.00248261	0.00539463	0.011383	0.0353114	0.0453694	0.057052	0.0744733	0.0850703	0.103895	0.125178	0.206109	0.248281
a31	0.00227411	0.00457467	0.00936868	0.0309857	0.0419255	0.0514033	0.0657216	0.0739414	0.10201	0.139522	0.225639	0.252634
a62	0.0010325	0.00216813	0.00430346	0.0162059	0.0233393	0.0344884	0.0570066	0.0792775	0.114321	0.14822	0.248233	0.271405
a12	0.00140545	0.00322788	0.00616434	0.0155525	0.0173817	0.0223533	0.041839	0.0664404	0.114992	0.152324	0.268467	0.289853
a98	0.000556952	0.00133751	0.00277725	0.00932099	0.0114438	0.0167033	0.0325218	0.0556944	0.107742	0.15841	0.294931	0.308561
a15	0.000235009	0.000652611	0.00165443	0.00740298	0.0135357	0.0215212	0.0397416	0.061815	0.101825	0.152796	0.248951	0.34987
a7	0.00019434	0.00035917	0.000779677	0.0025464	0.00465762	0.00880969	0.0202627	0.0472217	0.106109	0.170265	0.277556	0.361239
a15	0.000812717	0.000846577	0.00128741	0.00258983	0.00354844	0.00638414	0.0133852	0.0290706	0.0638064	0.120002	0.289332	0.468935
a7	0.00119584	0.00109877	0.00150879	0.00252986	0.0029797	0.00576903	0.0132235	0.0319071	0.0679512	0.122133	0.306777	0.442926
a44	0.00267862	0.0025137	0.00380818	0.00679262	0.00640249	0.00908599	0.018198	0.0355075	0.0721388	0.118329	0.292613	0.431933
a54	0.00123789	0.00129887	0.00194251	0.00415185	0.00381085	0.00551656	0.0126292	0.0286903	0.0740911	0.130361	0.314286	0.421983
a36	0.000123126	0.000127246	0.000174024	0.000554943	0.000624318	0.00126764	0.00388097	0.013696	0.047178	0.117287	0.304031	0.511055
a2	0.00388574	0.00439172	0.00461088	0.00768318	0.00646028	0.00943381	0.0178462	0.0384848	0.0789663	0.124707	0.291209	0.412321
a57	0.0155143	0.0143333	0.0141248	0.0278382	0.0237154	0.0297276	0.0433884	0.0624664	0.0894121	0.116748	0.239442	0.323289
a97	0.0408606	0.0177167	0.0174685	0.0317896	0.0330342	0.046061	0.0761117	0.090016	0.100736	0.115514	0.188096	0.242595
a10	0.0381342	0.0294844	0.0350521	0.0691363	0.0730105	0.0938717	0.117214	0.117922	0.110291	0.100845	0.104967	0.110073
a97	0.0323394	0.0219254	0.0320405	0.0581676	0.0596935	0.0640673	0.0662074	0.0697701	0.0870696	0.120411	0.166775	0.221532
</S>	0.0251602	0.0234571	0.0387739	0.05039	0.0527475	0.0521374	0.0515873	0.053406	0.0693549	0.107987	0.190774	0.284224
