 	cette	personne	pagaie	avec	une	grosse	pagaie	</S>
a66	0.174456	0.127333	0.123673	0.16856	0.194279	0.1196	0.0666547	0.0254445
a87	0.176322	0.11651	0.0928325	0.139131	0.160051	0.187741	0.0996229	0.0277892
a23	0.391654	0.188361	0.148661	0.0912951	0.084682	0.0545715	0.026998	0.0137771
a87	0.392938	0.177149	0.253555	0.0954526	0.0474505	0.0200874	0.00951083	0.00385685
a23	0.325436	0.199859	0.274555	0.0964388	0.0624056	0.0258367	0.0113353	0.00413288
a87	0.431575	0.167082	0.203693	0.0772945	0.0612337	0.0329527	0.0176214	0.00854846
a23	0.41085	0.163788	0.188323	0.0913154	0.0794865	0.0410749	0.0186057	0.00655732
a70	0.489592	0.12606	0.128848	0.0709856	0.08646	0.0631967	0.0244657	0.0103925
a93	0.333826	0.195363	0.186528	0.109359	0.0901973	0.0564345	0.0196076	0.00868512
a56	0.186389	0.175398	0.185968	0.147702	0.143805	0.108163	0.0346273	0.0179483
a85	0.100193	0.109365	0.170145	0.165754	0.18151	0.179548	0.0643355	0.0291492
a6	0.0637375	0.0823085	0.146125	0.176102	0.215616	0.213966	0.0683467	0.0337978
a37	0.0846492	0.0911245	0.181679	0.197374	0.203335	0.157745	0.0522422	0.0318511
a90	0.0591878	0.0698984	0.147658	0.185144	0.222491	0.199689	0.0788239	0.0371079
a25	0.0564805	0.0699884	0.145263	0.191927	0.225828	0.187895	0.0812407	0.0413779
a69	0.0513079	0.0677947	0.152751	0.194554	0.198113	0.154748	0.104629	0.0761023
a98	0.038772	0.058171	0.133929	0.179093	0.186209	0.157181	0.133648	0.112996
a92	0.0186519	0.0401157	0.113305	0.161735	0.173804	0.158171	0.163007	0.171211
a21	0.0172811	0.0349078	0.0939171	0.134638	0.138422	0.133342	0.195999	0.251493
a75	0.0166391	0.0280978	0.0717671	0.125924	0.132647	0.107247	0.181106	0.336572
a21	0.00960343	0.0154145	0.0318736	0.0578414	0.068518	0.0642759	0.194541	0.557932
a5	0.00823747	0.0120942	0.0248283	0.0441146	0.0523299	0.0525956	0.180673	0.625127
a18	0.00616297	0.00868842	0.0170029	0.0257041	0.0289004	0.027236	0.137444	0.748862
a21	0.00748969	0.00555992	0.00692733	0.00823682	0.0098348	0.0133297	0.0912875	0.857334
a47	0.00481282	0.00449822	0.00711931	0.00965187	0.0119336	0.0148046	0.100344	0.846836
a62	0.0041385	0.00467513	0.00646547	0.00706286	0.00949592	0.0146293	0.104355	0.849177
a88	0.00338563	0.00392754	0.00620327	0.00865151	0.013706	0.0226752	0.107543	0.833908
a62	0.00247565	0.00262037	0.00318816	0.0050013	0.00889493	0.0143595	0.0763162	0.887144
a12	0.00197426	0.0021846	0.00311996	0.00573748	0.0106655	0.0179713	0.0863771	0.87197
a18	0.0035732	0.00400335	0.00496345	0.0077211	0.0124642	0.0180468	0.0824115	0.866817
a71	0.0110879	0.00913718	0.0066294	0.0107727	0.0246133	0.0473944	0.151598	0.738767
a25	0.0933737	0.0664984	0.0361905	0.0439481	0.0572299	0.0615094	0.145347	0.495903
a82	0.0462612	0.0237686	0.0162518	0.0267142	0.0334533	0.0416534	0.120272	0.691626
a97	0.172872	0.0737859	0.0386859	0.0397738	0.0424661	0.038281	0.100528	0.493608
a87	0.140236	0.0796696	0.0642428	0.0745761	0.0831229	0.0586112	0.130962	0.36858
a23	0.0791097	0.0539251	0.0578815	0.0766182	0.0968216	0.0874341	0.152741	0.395469
a87	0.0335532	0.028601	0.0207759	0.0320642	0.0474127	0.053373	0.162138	0.622082
a23	0.0177203	0.0138829	0.0217569	0.0323505	0.0458465	0.0611106	0.139996	0.667336
a97	0.0173263	0.0156464	0.0202795	0.0327471	0.0513322	0.0636985	0.145224	0.653746
a87	0.0331259	0.0220272	0.0371306	0.0431328	0.0513172	0.0604356	0.119931	0.6329
a23	0.072593	0.0467477	0.0697186	0.0754147	0.0904716	0.090528	0.147075	0.407451
a87	0.0360699	0.0286843	0.0317578	0.0496993	0.0763822	0.0857178	0.163417	0.528272
a23	0.041576	0.0276952	0.0368547	0.0405833	0.0534867	0.0731049	0.127313	0.599387
a9	0.0307303	0.0254339	0.0294593	0.0442529	0.0668527	0.0770478	0.153	0.573224
</S>	0.0387759	0.0271941	0.0318104	0.0364439	0.0475954	0.0653258	0.121505	0.63135
