 	notre	ami	souffre	de	l'	épilepsie	</S>
a66	0.370863	0.300094	0.182365	0.0467864	0.0302418	0.0294504	0.040199
a87	0.551812	0.28739	0.0919643	0.0305177	0.0166136	0.00919624	0.0125055
a23	0.468358	0.287584	0.111942	0.0365779	0.0273199	0.0318293	0.0363891
a13	0.260114	0.239167	0.0896646	0.0614222	0.0688828	0.137142	0.143607
a83	0.250142	0.240233	0.151451	0.0980756	0.0642025	0.0832303	0.112666
a5	0.279828	0.29521	0.155391	0.0773841	0.0472655	0.0686708	0.076251
a94	0.127889	0.19144	0.304544	0.23306	0.0728981	0.0384073	0.0317619
a18	0.0852065	0.133589	0.298562	0.276257	0.0975586	0.0589817	0.0498451
a43	0.049383	0.0747079	0.23897	0.309503	0.132764	0.0953966	0.0992745
a75	0.038642	0.050991	0.170157	0.281396	0.142931	0.1379	0.177983
a56	0.0208894	0.0291436	0.1206	0.195882	0.15894	0.192523	0.282022
a96	0.0279676	0.0267435	0.105115	0.146916	0.152674	0.221148	0.319437
a93	0.0143825	0.0111256	0.0418267	0.0685665	0.126623	0.310684	0.426791
a4	0.00979735	0.00925173	0.0464629	0.0802254	0.14846	0.27214	0.433662
a13	0.00418394	0.00339058	0.0102588	0.0228669	0.0744179	0.319303	0.565579
a0	0.00144677	0.00106983	0.00277082	0.00932813	0.0350383	0.256057	0.694289
a11	0.0013238	0.000900343	0.00179418	0.00736689	0.0387165	0.250682	0.699216
a83	0.000612445	0.000463851	0.000827823	0.00341964	0.0269349	0.220002	0.747739
a54	0.000287102	0.000220722	0.000462645	0.00261356	0.0276613	0.202369	0.766386
a36	0.000727375	0.000508031	0.000778168	0.0027615	0.0191026	0.201876	0.774246
a2	0.00960662	0.00559254	0.00524817	0.00975954	0.0431785	0.287644	0.638971
a57	0.105851	0.0517952	0.0306221	0.0342668	0.0874541	0.262624	0.427387
a87	0.257328	0.166959	0.10007	0.0542132	0.068494	0.143981	0.208955
a23	0.178684	0.12566	0.105163	0.0706003	0.0782392	0.145368	0.296285
a87	0.106466	0.0632696	0.0514393	0.0426901	0.0734597	0.177198	0.485478
</S>	0.0428633	0.0363987	0.0376088	0.035783	0.0688845	0.185875	0.592587
