 	beaucoup	de	soldats	fumaient	du	chanvre	</S>
a10	0.248966	0.118135	0.117027	0.158066	0.128859	0.12586	0.103089
a40	0.257374	0.159151	0.105228	0.0821168	0.0714208	0.114534	0.210176
a73	0.438745	0.161659	0.0930226	0.0837341	0.0826923	0.0607666	0.079381
a37	0.592108	0.239086	0.0388939	0.0345078	0.0377557	0.0308946	0.0267544
a94	0.48267	0.324983	0.0504009	0.0377449	0.0397314	0.0378131	0.0266575
a90	0.367387	0.316431	0.082179	0.0612038	0.0645483	0.0621138	0.0461367
a25	0.221839	0.242983	0.124055	0.097679	0.110876	0.0958315	0.106737
a85	0.202017	0.257509	0.135518	0.108751	0.10722	0.0964438	0.0925408
a5	0.15296	0.188065	0.150478	0.145897	0.140932	0.120941	0.100728
a47	0.199549	0.183587	0.138399	0.13814	0.139072	0.123335	0.0779182
a31	0.120177	0.135031	0.158568	0.17483	0.162995	0.157971	0.0904275
a88	0.106443	0.124636	0.185397	0.193779	0.17903	0.131469	0.0792463
a18	0.0527871	0.0652488	0.194182	0.244286	0.221619	0.142065	0.0798119
a9	0.0438416	0.0486015	0.173291	0.240864	0.239621	0.15471	0.0990706
a40	0.0180109	0.0196266	0.0953601	0.205254	0.230094	0.192611	0.239043
a85	0.0189514	0.0222189	0.0822753	0.17452	0.197826	0.254962	0.249247
a37	0.0169952	0.0191266	0.0820663	0.214908	0.201487	0.216918	0.248498
a75	0.0155765	0.0160457	0.0712871	0.21456	0.264336	0.219526	0.198669
a85	0.0187107	0.018433	0.0733342	0.192449	0.195474	0.212313	0.289285
a37	0.0226288	0.0246209	0.0901715	0.222583	0.195222	0.191172	0.253603
a98	0.0215186	0.019971	0.0653391	0.178183	0.21908	0.223853	0.272056
a47	0.0151447	0.0160451	0.0530747	0.141617	0.176361	0.236917	0.36084
a92	0.0132435	0.0143035	0.0423718	0.150632	0.18692	0.225827	0.366703
a61	0.0291602	0.0301493	0.0894463	0.181423	0.1742	0.169945	0.325676
a34	0.0131199	0.012775	0.0408567	0.122172	0.163124	0.229572	0.418381
a75	0.00895207	0.00937659	0.0351969	0.108355	0.1511	0.222062	0.464958
a98	0.00980715	0.0109196	0.0373689	0.0917432	0.136859	0.229796	0.483506
a47	0.011113	0.0125061	0.0348056	0.0868028	0.114582	0.213317	0.526873
a36	0.00477224	0.00567548	0.0238621	0.084787	0.128551	0.217178	0.535175
a26	0.00269947	0.00292961	0.0113096	0.0483443	0.0835398	0.17681	0.674367
a38	0.00163695	0.00165196	0.00426462	0.0289666	0.0413883	0.163647	0.758445
a98	0.00141319	0.00155226	0.0034893	0.0196209	0.0282433	0.14152	0.804161
a15	0.000890087	0.00123604	0.00492333	0.0274521	0.048205	0.140179	0.777115
a37	0.000975433	0.00144239	0.00622208	0.0361403	0.0662506	0.145366	0.743603
a44	0.000751638	0.00107969	0.00483479	0.0379859	0.0554402	0.140625	0.759282
a26	0.000964211	0.00141922	0.00628476	0.0360481	0.0510332	0.143807	0.760443
a57	0.00638182	0.00627191	0.0205957	0.0758892	0.103584	0.256155	0.531123
a87	0.0339362	0.0241772	0.028576	0.0654807	0.0943797	0.300282	0.453168
a23	0.0639354	0.0414271	0.0461129	0.110788	0.155532	0.283731	0.298473
a87	0.0391041	0.0264613	0.0292808	0.0929756	0.175558	0.277418	0.359202
</S>	0.0114556	0.0105185	0.0280108	0.105104	0.159883	0.250193	0.434835
