 	agrandis	la	porte	de	la	maison	</S>
a66	0.402564	0.137156	0.102759	0.105151	0.106093	0.0866812	0.0595949
a87	0.19609	0.188798	0.208736	0.191735	0.112728	0.0698744	0.032038
a10	0.644848	0.208365	0.0627557	0.0282142	0.021556	0.0204959	0.0137654
a87	0.557667	0.339324	0.0617975	0.020118	0.0089124	0.00686324	0.00531744
a79	0.557202	0.302327	0.0756124	0.0305202	0.0148391	0.011175	0.00832402
a93	0.784673	0.142362	0.036108	0.0135486	0.00934666	0.00733026	0.00663222
a70	0.829459	0.098847	0.0345256	0.0126209	0.0106973	0.00673293	0.00711766
a12	0.387105	0.309908	0.137886	0.0708373	0.0439757	0.0275563	0.0227315
a43	0.144223	0.29704	0.212976	0.156202	0.0886766	0.0586939	0.042188
a21	0.0663452	0.210489	0.20844	0.204392	0.141937	0.101419	0.0669769
a12	0.0310621	0.131448	0.22004	0.246051	0.167882	0.122789	0.0807283
a56	0.0148523	0.0663245	0.1963	0.240459	0.196646	0.161302	0.124116
a90	0.00934462	0.0436008	0.155339	0.210248	0.207584	0.192811	0.181072
a98	0.00746269	0.0209139	0.0869871	0.182066	0.238663	0.23468	0.229227
a92	0.00346171	0.0104294	0.055189	0.149355	0.211898	0.246513	0.323154
a21	0.00218632	0.0050006	0.0296085	0.101842	0.190916	0.263334	0.407113
a47	0.00165394	0.00238707	0.00830075	0.0357289	0.114753	0.257975	0.579201
a88	0.000930649	0.0018668	0.00955554	0.031195	0.0990264	0.223703	0.633723
a71	0.00135135	0.00122701	0.00683559	0.0222176	0.0793898	0.19465	0.694328
a9	0.0402924	0.0200635	0.0439404	0.0664493	0.110009	0.187511	0.531734
a87	0.250974	0.0901801	0.0824151	0.0860496	0.1044	0.142556	0.243426
a23	0.435413	0.20069	0.106347	0.0631541	0.055571	0.0592277	0.0795962
a87	0.158714	0.0872643	0.0466589	0.0650549	0.105117	0.16967	0.367521
a97	0.0183947	0.0128872	0.0136996	0.0460716	0.114569	0.236865	0.557513
a10	0.0486814	0.0367729	0.0297585	0.0645458	0.12395	0.224355	0.471936
a87	0.0811842	0.0639168	0.0429569	0.0773048	0.123888	0.208208	0.402541
a23	0.132842	0.0980632	0.0707697	0.101247	0.130775	0.18504	0.281264
a87	0.0424001	0.039902	0.0384144	0.0964147	0.151959	0.232034	0.398875
a99	0.0343601	0.0302879	0.0274336	0.0693009	0.124521	0.227384	0.486712
a87	0.0664018	0.0668359	0.0546614	0.0981835	0.133445	0.204233	0.376239
a23	0.0409859	0.0299472	0.026213	0.0633159	0.118757	0.231712	0.489069
a71	0.0447999	0.0383265	0.0358339	0.0919236	0.145994	0.235448	0.407675
a88	0.0789177	0.0560706	0.0447309	0.0847165	0.132585	0.216887	0.386092
a18	0.0533917	0.0310446	0.0286304	0.0724332	0.131058	0.234775	0.448667
</S>	0.021656	0.0126126	0.0144656	0.0463973	0.104941	0.22985	0.570077
