 	les	orphelins	pleurent	leurs	mères	parce	que	ceux	qui	les	adoptent	sont	méchants	</S>
a66	0.229197	0.202041	0.144984	0.0570716	0.0537133	0.0735352	0.0678232	0.0797108	0.0391056	0.018877	0.0097877	0.00785181	0.00735097	0.00895121
a87	0.444519	0.241373	0.133677	0.0369379	0.020441	0.0162175	0.0152657	0.0187033	0.0104346	0.00953151	0.00920247	0.0131597	0.0140533	0.0164839
a23	0.433713	0.193716	0.121387	0.0670543	0.0344448	0.0189846	0.0211944	0.0223682	0.0148687	0.0127325	0.0104688	0.011434	0.0164632	0.0211697
a40	0.366109	0.179363	0.10673	0.0503657	0.0264658	0.0185148	0.0157326	0.0149377	0.0182692	0.0226516	0.0312823	0.0342317	0.0487686	0.0665777
a2	0.195348	0.171475	0.173515	0.0974425	0.0403724	0.039595	0.0486653	0.0603492	0.0519192	0.0375548	0.0258254	0.0206422	0.0180808	0.0192154
a11	0.136024	0.313174	0.180637	0.111974	0.0518459	0.0307303	0.0211553	0.0224108	0.0272375	0.0288669	0.0268328	0.0191292	0.0158475	0.0141351
a24	0.142553	0.360609	0.189357	0.129505	0.0594913	0.0251669	0.0134596	0.0162932	0.0154224	0.0174887	0.0121898	0.0082621	0.00549114	0.00471103
a54	0.088679	0.22398	0.148827	0.166427	0.114826	0.0526991	0.0283609	0.0297578	0.0324406	0.0399197	0.0302067	0.0209499	0.0118072	0.0111199
a85	0.0871736	0.206713	0.162555	0.146783	0.0992639	0.0497927	0.0299677	0.0358115	0.0364491	0.0422981	0.0358549	0.027286	0.0208775	0.0191728
a6	0.0453172	0.1081	0.132339	0.14488	0.129719	0.074381	0.0453842	0.0498468	0.0520231	0.0615675	0.048875	0.0413412	0.0329959	0.0332302
a5	0.0764886	0.135303	0.150497	0.137568	0.12446	0.072482	0.0451946	0.0480474	0.0484313	0.0499634	0.0312838	0.028297	0.0241366	0.0278469
a85	0.075208	0.0783243	0.0696665	0.108577	0.11791	0.0954115	0.0771154	0.0762056	0.0818782	0.0694581	0.0470084	0.0386363	0.0300473	0.0345531
a6	0.0152514	0.0242916	0.046723	0.125812	0.142653	0.0958342	0.0826369	0.100882	0.0924959	0.0795531	0.0573452	0.0503144	0.0378169	0.0483908
a47	0.0234683	0.0232553	0.0396349	0.121348	0.178653	0.142968	0.109552	0.11667	0.0904211	0.0585429	0.0310383	0.0236197	0.0181528	0.0226763
a37	0.00742443	0.0104089	0.0228543	0.124914	0.2229	0.146955	0.0956019	0.0951161	0.0754698	0.055713	0.0353849	0.0303755	0.0308935	0.0459889
a44	0.00765637	0.00950464	0.017265	0.0767596	0.196255	0.164275	0.110921	0.0884913	0.091297	0.0689312	0.0431647	0.0354716	0.0370182	0.0529889
a4	0.0115882	0.0130885	0.0220048	0.0561102	0.0983796	0.109326	0.105693	0.0732953	0.0939534	0.0828485	0.0775338	0.0664973	0.0837382	0.105943
a13	0.013448	0.0156346	0.023881	0.0567999	0.0740843	0.0723388	0.0856736	0.0682174	0.0787142	0.0753537	0.0966197	0.0858474	0.111569	0.141819
a57	0.0162413	0.0196875	0.0317538	0.0668644	0.0706481	0.0684213	0.0850882	0.0689557	0.0723756	0.0622867	0.081132	0.0806806	0.121257	0.154607
a3	0.0232505	0.0216048	0.0237522	0.0474344	0.0560266	0.0750374	0.12572	0.12434	0.110542	0.0875106	0.0751845	0.0686215	0.0784031	0.0825719
a87	0.114789	0.0686088	0.0441081	0.0373505	0.0322614	0.0412495	0.0681715	0.0822966	0.0737636	0.0756434	0.0764531	0.0885091	0.0989951	0.0978003
a23	0.165154	0.101545	0.0514281	0.0340685	0.0272932	0.0355501	0.0609499	0.0874858	0.0801092	0.0887931	0.0741116	0.0766383	0.0585448	0.0583279
a2	0.0572127	0.0333163	0.0199281	0.0190193	0.0236734	0.0274969	0.0426765	0.0591758	0.0700505	0.0991126	0.108403	0.123497	0.128862	0.187575
a26	0.00506865	0.00463895	0.00502233	0.0130327	0.0195046	0.0195631	0.0327961	0.0464469	0.0654253	0.116719	0.155934	0.180531	0.14173	0.193587
a57	0.00383292	0.00393917	0.00449317	0.0107127	0.0127698	0.0122651	0.0249817	0.0416852	0.0744621	0.143662	0.188234	0.185316	0.137353	0.156294
a13	0.00853629	0.007631	0.00705346	0.0124906	0.0136736	0.0130112	0.0282103	0.0505575	0.0805911	0.146476	0.16876	0.177787	0.132717	0.152504
a44	0.00440594	0.00472291	0.00473124	0.00848811	0.00781535	0.00888808	0.0207706	0.0372963	0.070928	0.126229	0.175299	0.169574	0.177208	0.183643
a54	0.00391719	0.00684536	0.00489768	0.00892184	0.0105328	0.0157137	0.0379441	0.0565022	0.106302	0.158112	0.162296	0.143058	0.135699	0.149259
a7	0.00127929	0.00262904	0.00277273	0.0106992	0.0225104	0.0363017	0.0715436	0.106738	0.135678	0.170144	0.133765	0.111092	0.0869646	0.107882
a54	0.000941854	0.00154591	0.00150964	0.00409453	0.00846419	0.0171152	0.0421256	0.064703	0.106209	0.152471	0.161117	0.150234	0.130113	0.159356
a36	0.000748185	0.00109108	0.00152367	0.00446924	0.0077981	0.0131359	0.032169	0.0517654	0.0806516	0.14296	0.165156	0.16662	0.144992	0.186919
a7	0.000733916	0.0012789	0.0012561	0.0027925	0.00385174	0.00706016	0.0185609	0.0278026	0.0469557	0.0994432	0.168848	0.179599	0.207715	0.234102
a36	0.000836884	0.00151554	0.00168303	0.00341261	0.00398247	0.0068096	0.016292	0.0226395	0.03518	0.0737455	0.161071	0.176585	0.24041	0.255837
a26	0.00228982	0.00410497	0.00440116	0.00935366	0.00891241	0.0109767	0.0234241	0.0330803	0.0402506	0.0657479	0.130954	0.158072	0.239216	0.269216
a37	0.0068774	0.0113317	0.00985986	0.0182617	0.0144646	0.0129725	0.0267752	0.0408797	0.0429632	0.0561812	0.0884894	0.119362	0.243152	0.30843
a66	0.00306661	0.0064601	0.00609692	0.0115293	0.010498	0.0109156	0.0239404	0.0332213	0.044738	0.0658712	0.109019	0.147232	0.243509	0.283902
a71	0.00523774	0.00989672	0.00869997	0.0143352	0.0120149	0.0107474	0.0211826	0.0299402	0.0385752	0.055264	0.0844637	0.117147	0.25937	0.333126
a9	0.00521873	0.00981058	0.0097074	0.0172594	0.0141282	0.0123231	0.0225892	0.0313518	0.0399294	0.0564909	0.0864901	0.119805	0.252874	0.322022
a87	0.035128	0.034633	0.0295954	0.0359399	0.0286414	0.0243178	0.0418131	0.0528894	0.051023	0.052077	0.0671889	0.0905782	0.191253	0.264922
a23	0.253531	0.145987	0.0661287	0.046027	0.0351417	0.0352551	0.0515773	0.0822248	0.0589325	0.0423936	0.0392733	0.0387925	0.0505613	0.0541737
a87	0.227463	0.120499	0.0469639	0.0318283	0.0297949	0.0253297	0.0400686	0.0558453	0.0620466	0.0558866	0.0555148	0.0652816	0.0790884	0.104388
a23	0.0308288	0.0254424	0.0183639	0.0284774	0.0369927	0.0346872	0.05557	0.0788228	0.0900986	0.107246	0.109442	0.12138	0.116557	0.146091
</S>	0.0281266	0.0248223	0.0144242	0.0186027	0.0383182	0.0447996	0.0762447	0.105276	0.123101	0.117751	0.0904526	0.0998112	0.0918666	0.126403
