 	mes	petits	frères	reviennent	de	chercher	les	chénilles	itsetseli	</S>
a66	0.403683	0.298586	0.169631	0.0285989	0.0176273	0.0200632	0.0145196	0.012518	0.0212668	0.0135058
a87	0.608307	0.0964402	0.0693031	0.0124964	0.0170117	0.0210201	0.0261208	0.043468	0.0648041	0.0410287
a23	0.505932	0.117961	0.14531	0.0554693	0.0350005	0.0265767	0.0231691	0.0315642	0.0337097	0.0253076
a40	0.382692	0.112342	0.183123	0.0919574	0.0543577	0.0387403	0.0347825	0.0461557	0.028678	0.0271718
a27	0.512418	0.157846	0.183221	0.0599221	0.0227871	0.0175772	0.013808	0.0114836	0.0071851	0.0137514
a18	0.273266	0.161674	0.221529	0.129892	0.0648821	0.0554465	0.0390043	0.0230942	0.0136356	0.0175767
a38	0.163062	0.137027	0.204029	0.149178	0.0963232	0.0876079	0.0690807	0.0416838	0.0261269	0.025882
a54	0.104182	0.120197	0.186877	0.15406	0.110339	0.0961711	0.081391	0.0595304	0.0446603	0.0425926
a15	0.1048	0.133214	0.203262	0.154348	0.103126	0.0873001	0.0768595	0.0565286	0.0404788	0.0400824
a79	0.090565	0.103697	0.165113	0.138979	0.101789	0.0878476	0.0860603	0.0840092	0.0703634	0.0715769
a44	0.0904862	0.10707	0.162871	0.157637	0.114587	0.0854884	0.0738058	0.0739052	0.0642935	0.0698559
a79	0.0470956	0.0809378	0.123906	0.1558	0.13377	0.100979	0.0813355	0.0908205	0.0847626	0.100593
a44	0.0346672	0.0847878	0.109714	0.16138	0.166842	0.136944	0.0900435	0.0829653	0.0660658	0.0665902
a70	0.0155868	0.0544332	0.0626924	0.117259	0.140129	0.135329	0.105833	0.115836	0.110006	0.142896
a62	0.00512611	0.0213377	0.0236816	0.0675292	0.103788	0.104757	0.111058	0.155721	0.158415	0.248586
a12	0.00258425	0.0113356	0.00999833	0.0360607	0.0745204	0.0840615	0.110026	0.180726	0.198982	0.291705
a18	0.00140023	0.0067081	0.00539812	0.0212196	0.0526668	0.0681496	0.104096	0.190216	0.218639	0.331507
a88	0.000430346	0.00161754	0.0012581	0.00667371	0.0285904	0.0505064	0.104206	0.228059	0.248713	0.329946
a18	0.000288947	0.00137149	0.00100966	0.00565424	0.0224572	0.0416712	0.0980976	0.230014	0.24148	0.357955
a88	0.000247159	0.000651312	0.000533952	0.00212749	0.0117218	0.0247752	0.061653	0.169027	0.238742	0.490521
a71	0.000298654	0.000648564	0.000485469	0.00134775	0.00699362	0.0140786	0.0380938	0.137452	0.208437	0.592165
a24	0.000218132	0.000441684	0.000339622	0.000946035	0.00397894	0.00858191	0.0290499	0.130976	0.217456	0.608012
a18	0.00160048	0.00252448	0.00202493	0.00393484	0.0108061	0.0185333	0.0466452	0.155689	0.222771	0.535471
a0	0.00148791	0.00223107	0.00175083	0.00357243	0.0102886	0.0161402	0.042505	0.170804	0.213459	0.537761
a88	0.00101012	0.00140853	0.0012277	0.00245151	0.00688646	0.0111667	0.0323549	0.154356	0.20877	0.580368
a38	0.00159686	0.00225363	0.00187131	0.00345756	0.00896461	0.0146722	0.0394848	0.153899	0.201128	0.572672
a9	0.000957893	0.00134746	0.00120461	0.00249574	0.00715576	0.0103816	0.0307899	0.152114	0.20451	0.589043
a87	0.00745024	0.00761161	0.00662404	0.00799888	0.0155848	0.021367	0.042533	0.15504	0.227436	0.508355
a23	0.0481822	0.0544095	0.0332288	0.0252892	0.0380809	0.0500824	0.0746595	0.143928	0.223072	0.309067
a87	0.0454686	0.0436929	0.0217218	0.0244113	0.041203	0.0464897	0.0820491	0.182584	0.25923	0.253149
</S>	0.0290521	0.0433967	0.0199468	0.0285442	0.0472003	0.0531625	0.0940936	0.204516	0.21247	0.267618
