 	cet	enfant	grandit	vite	</S>
a87	0.327732	0.235567	0.180577	0.147693	0.108431
a10	0.40265	0.188058	0.142287	0.13411	0.132896
a87	0.49092	0.233382	0.134956	0.0639474	0.0767947
a83	0.53214	0.227769	0.115309	0.0566861	0.0680961
a54	0.264478	0.162799	0.125913	0.184654	0.262155
a85	0.238293	0.209267	0.198151	0.206464	0.147825
a15	0.264887	0.264566	0.245612	0.126768	0.0981673
a98	0.311906	0.256595	0.204936	0.121943	0.10462
a85	0.133833	0.179134	0.251026	0.228671	0.207337
a37	0.0740553	0.119957	0.27477	0.279944	0.251274
a61	0.0563028	0.087692	0.242427	0.33635	0.277228
a21	0.0200994	0.0372223	0.126742	0.424557	0.391379
a85	0.0242565	0.041048	0.10664	0.378428	0.449627
a37	0.0176794	0.0358322	0.0949328	0.294523	0.557033
a66	0.0135202	0.0376907	0.128072	0.280915	0.539802
a75	0.00224467	0.00621984	0.0282846	0.202577	0.760674
a56	0.00355902	0.009903	0.0395931	0.217905	0.729039
a54	0.00171456	0.00583632	0.0267116	0.182015	0.783722
a26	0.0030546	0.00989729	0.0395848	0.188593	0.75887
a82	0.0115529	0.0105139	0.0228103	0.179969	0.775154
a87	0.142095	0.107913	0.111341	0.191541	0.447111
a23	0.159353	0.148073	0.158688	0.22427	0.309617
a87	0.0628788	0.090014	0.160478	0.284686	0.401943
a23	0.0308077	0.0608031	0.11791	0.260267	0.530212
a87	0.0331333	0.0686766	0.124187	0.315034	0.458969
</S>	0.0322536	0.0705148	0.137773	0.312848	0.446611
