 	cet	homme	est	malade	</S>
a66	0.428458	0.208516	0.157767	0.123105	0.0821547
a87	0.336788	0.222152	0.173389	0.12734	0.140331
a23	0.602806	0.184795	0.0884985	0.0587763	0.0651239
a83	0.530559	0.21344	0.106304	0.0684982	0.0811994
a71	0.424849	0.196832	0.109695	0.121288	0.147337
a54	0.376378	0.238041	0.143094	0.11368	0.128806
a47	0.250731	0.238569	0.174833	0.155447	0.18042
a6	0.186038	0.212471	0.18973	0.18442	0.227339
a5	0.198862	0.221438	0.179388	0.167775	0.232536
a36	0.217578	0.235096	0.196342	0.160103	0.190882
a61	0.134654	0.175122	0.199488	0.209968	0.280769
a75	0.0807999	0.133593	0.221796	0.264849	0.298962
a92	0.0641639	0.111884	0.219317	0.280326	0.324309
a98	0.0377764	0.0711549	0.183124	0.319405	0.38854
a79	0.0261232	0.056434	0.166564	0.33363	0.417249
a90	0.0206308	0.0369363	0.113965	0.310053	0.518414
a25	0.0130665	0.0179503	0.053287	0.242691	0.673005
a15	0.00729321	0.012379	0.0399649	0.208792	0.731571
a20	0.017304	0.0235873	0.0521365	0.214625	0.692347
a7	0.0260949	0.0315865	0.0629792	0.211508	0.667831
a84	0.0325953	0.0534039	0.101944	0.243352	0.568704
a87	0.113106	0.12079	0.160633	0.230388	0.375083
a23	0.329077	0.182954	0.133583	0.148723	0.205663
a97	0.154315	0.0867777	0.104824	0.231173	0.422911
</S>	0.0486271	0.0406092	0.074615	0.211679	0.62447
