 	j'	ai	manqué	de	la	nourriture	</S>
a66	0.543064	0.21627	0.101931	0.0595121	0.0380472	0.0242029	0.0169727
a87	0.368873	0.223605	0.144699	0.101995	0.0684491	0.0521342	0.0402452
a23	0.450758	0.321884	0.15243	0.0408092	0.0145608	0.0102711	0.00928685
a83	0.446084	0.330857	0.149365	0.0386486	0.012043	0.0097379	0.0132637
a62	0.457303	0.302846	0.140411	0.0422181	0.0223747	0.0165587	0.0182888
a12	0.301065	0.300152	0.227939	0.0934281	0.0383604	0.0231379	0.015918
a88	0.170707	0.251441	0.268662	0.171854	0.0734829	0.0396213	0.0242322
a75	0.0925274	0.159913	0.234288	0.242395	0.152673	0.0785968	0.039607
a85	0.0576405	0.109533	0.185309	0.274732	0.214386	0.109632	0.0487675
a6	0.0471989	0.0827343	0.144405	0.23368	0.240443	0.16148	0.0900592
a37	0.0623763	0.0824534	0.124086	0.196812	0.237111	0.182645	0.114516
a61	0.0668401	0.0715889	0.102493	0.166417	0.210553	0.212177	0.169932
a66	0.018594	0.0188255	0.0342735	0.0891304	0.18263	0.290723	0.365824
a62	0.00684179	0.00688643	0.0101428	0.0215173	0.0609748	0.178709	0.714928
a21	0.0070895	0.00699413	0.0111498	0.024255	0.0785074	0.213285	0.658719
a5	0.00210249	0.00224551	0.00414425	0.0135729	0.0664833	0.260578	0.650873
a36	0.0014027	0.00140003	0.00247644	0.00732756	0.0375619	0.180277	0.769554
a27	0.00259689	0.00304557	0.00554126	0.012848	0.0560897	0.188682	0.731197
a82	0.0278074	0.0270141	0.0360214	0.0621806	0.117727	0.21954	0.509709
a87	0.257128	0.139476	0.0823156	0.0737104	0.0861185	0.130387	0.230864
a23	0.351752	0.214786	0.124849	0.0867527	0.070733	0.0743538	0.0767738
a99	0.198814	0.129353	0.0772223	0.0556379	0.068541	0.135417	0.335015
a97	0.0996607	0.0563116	0.0371241	0.0422288	0.0829258	0.206129	0.47562
</S>	0.0252331	0.0192106	0.0168438	0.0251119	0.0656763	0.206985	0.640939
