 	les	moineaux	s'	accouplent	</S>
a87	0.406832	0.259194	0.147636	0.104481	0.0818573
a23	0.316308	0.255163	0.187969	0.140374	0.100186
a87	0.536206	0.273667	0.0933507	0.0509214	0.0458549
a23	0.377896	0.363831	0.128922	0.0701706	0.0591807
a87	0.458393	0.253798	0.130337	0.0762938	0.0811779
a97	0.326642	0.254857	0.170623	0.129887	0.117991
a87	0.365037	0.230827	0.160629	0.129674	0.113833
a97	0.330747	0.24431	0.163716	0.141978	0.119248
a83	0.318529	0.239336	0.164817	0.141456	0.135861
a0	0.404809	0.181025	0.174031	0.108922	0.131212
a90	0.309665	0.268476	0.175272	0.120846	0.12574
a15	0.256928	0.278767	0.175391	0.136887	0.152027
a79	0.253121	0.307591	0.192746	0.129713	0.116828
a44	0.204144	0.270075	0.190033	0.15635	0.179397
a94	0.153052	0.26526	0.180652	0.180016	0.221021
a70	0.115749	0.239267	0.177916	0.20847	0.258599
a13	0.100718	0.236757	0.186065	0.221801	0.254659
a44	0.0877261	0.240081	0.186285	0.212273	0.273635
a0	0.0694866	0.206575	0.186525	0.225501	0.311913
a75	0.0282585	0.11792	0.154927	0.261152	0.437742
a14	0.042007	0.131687	0.151928	0.235164	0.439214
a7	0.0411493	0.114598	0.149959	0.261663	0.43263
a26	0.0135588	0.0536807	0.11279	0.267738	0.552233
a94	0.00548107	0.0136544	0.0388131	0.20146	0.740592
a26	0.00616241	0.0133945	0.0381242	0.198348	0.743971
a27	0.00334661	0.00758313	0.0289141	0.214681	0.745475
a10	0.0126172	0.0187849	0.0436424	0.278332	0.646624
a97	0.0390391	0.048029	0.0795301	0.293568	0.539834
a87	0.0699422	0.0876176	0.114398	0.28333	0.444713
a97	0.0631228	0.0907487	0.127461	0.280866	0.437801
a87	0.0762917	0.11461	0.147773	0.276346	0.38498
</S>	0.0575908	0.105767	0.126173	0.274385	0.436084
