 	l'	enfant	est	affaibli	par	la	faim	</S>
a23	0.359901	0.187628	0.0995805	0.0888305	0.088945	0.0783178	0.0537412	0.0430554
a83	0.370901	0.133158	0.114291	0.124988	0.100294	0.0563181	0.0459085	0.0541415
a54	0.314563	0.200796	0.145586	0.107304	0.0975979	0.0647103	0.0390171	0.0304256
a47	0.312801	0.237783	0.16323	0.100029	0.0859501	0.0503014	0.0285313	0.0213747
a85	0.280517	0.264014	0.181144	0.112129	0.0692362	0.0349468	0.02871	0.0293033
a61	0.270774	0.243599	0.17635	0.145789	0.0826947	0.0336177	0.0223507	0.0248256
a66	0.253667	0.233061	0.17162	0.144574	0.0924548	0.0454898	0.0288826	0.0302523
a90	0.139718	0.168499	0.168671	0.16433	0.146854	0.0955439	0.0576542	0.0587286
a76	0.141681	0.158165	0.142946	0.139082	0.13846	0.103613	0.0788784	0.0971761
a56	0.0655045	0.0687394	0.0832489	0.133471	0.192768	0.171485	0.129162	0.155621
a76	0.0556094	0.0518863	0.0586645	0.0998819	0.172936	0.192183	0.160184	0.208655
a98	0.035505	0.0347399	0.0445363	0.0799641	0.149307	0.201141	0.193781	0.261026
a85	0.0267151	0.0271756	0.0370304	0.0700461	0.13484	0.206273	0.217629	0.28029
a61	0.0170845	0.0170307	0.0220664	0.0379795	0.0753682	0.146119	0.268477	0.415875
a66	0.0163495	0.015123	0.019961	0.0329553	0.0585015	0.0983151	0.251071	0.507724
a75	0.00956549	0.00808539	0.00924234	0.016239	0.0334382	0.0648405	0.224317	0.634272
a47	0.0040599	0.00411632	0.00576467	0.0107252	0.0215964	0.0502306	0.225955	0.677552
a30	0.00790253	0.00683087	0.00973027	0.0182222	0.0376488	0.0769636	0.235272	0.607429
a2	0.0282845	0.0202331	0.0218542	0.0431873	0.0790048	0.0990767	0.199387	0.508972
a57	0.0945406	0.0725694	0.0603749	0.0775599	0.0954032	0.0952208	0.149636	0.354695
a87	0.220129	0.173733	0.128813	0.129167	0.12028	0.0758702	0.0707321	0.0812752
a23	0.127189	0.0993653	0.09735	0.136684	0.18648	0.156885	0.112574	0.0834736
a87	0.0805312	0.0726631	0.0717052	0.0798154	0.141995	0.187469	0.206353	0.159469
</S>	0.0327764	0.0307195	0.0413905	0.0588529	0.125018	0.156572	0.267077	0.287594
