 	la	mère	a	donné	une	giffle	à	son	enfant	comme	correction	</S>
a66	0.2158	0.185868	0.122984	0.0914154	0.0799932	0.0791072	0.0928889	0.0671038	0.0308342	0.0129475	0.0116095	0.00944909
a87	0.152806	0.114119	0.089981	0.0925494	0.0885121	0.124786	0.111363	0.0766398	0.0463162	0.0324725	0.0363587	0.0340968
a23	0.222492	0.231986	0.158974	0.155039	0.0931826	0.0616086	0.0267013	0.0140678	0.00975171	0.00778103	0.00815371	0.0102621
a30	0.190466	0.184697	0.14602	0.165962	0.124413	0.0964988	0.0320125	0.0178349	0.0114527	0.00882928	0.00894049	0.0128727
a53	0.165668	0.170655	0.155293	0.168633	0.131795	0.0866024	0.0298785	0.0182941	0.0158412	0.0156173	0.0186712	0.0230503
a90	0.176762	0.186242	0.149616	0.137479	0.12613	0.0929436	0.0512906	0.0285858	0.0171794	0.00995609	0.0117173	0.0120986
a98	0.159693	0.176074	0.168799	0.1572	0.139891	0.0902855	0.0392455	0.0256301	0.0164023	0.00931007	0.00817357	0.00929771
a85	0.105112	0.124907	0.149508	0.155639	0.155126	0.107748	0.0555119	0.0449994	0.0349151	0.0236409	0.0222434	0.02065
a6	0.0770582	0.0888198	0.120872	0.125033	0.128578	0.122204	0.0905584	0.0881006	0.0763586	0.037784	0.0249294	0.0197034
a21	0.0750584	0.0879873	0.142154	0.179858	0.1763	0.136546	0.0587144	0.0449643	0.0317699	0.0212865	0.0220985	0.0232621
a61	0.084597	0.0946313	0.130939	0.159136	0.153234	0.148281	0.0852303	0.0566492	0.0313299	0.0195303	0.0179568	0.0184854
a75	0.0573745	0.0575498	0.0925984	0.151369	0.181341	0.178774	0.114483	0.069226	0.0300143	0.0204301	0.0208219	0.0260175
a85	0.018941	0.0190341	0.0298637	0.0631639	0.101633	0.150382	0.12476	0.116047	0.0934014	0.0771124	0.0932435	0.112418
a92	0.0140286	0.0146156	0.020786	0.0401023	0.0691603	0.128035	0.118283	0.1141	0.103468	0.0949812	0.117375	0.165065
a37	0.0215832	0.0205003	0.029541	0.0571297	0.0824499	0.119458	0.151065	0.137516	0.100715	0.0808204	0.0905259	0.108696
a98	0.0249629	0.0223268	0.0328805	0.0581924	0.0798789	0.111138	0.153384	0.15474	0.102186	0.0743319	0.0816499	0.10433
a79	0.0102355	0.00891693	0.0111926	0.0188551	0.0308327	0.0616114	0.109801	0.127854	0.111084	0.11424	0.171145	0.224231
a98	0.00866874	0.00733577	0.00986148	0.0158478	0.0241491	0.0387093	0.0700815	0.105472	0.113124	0.109795	0.187286	0.30967
a85	0.00505749	0.00422583	0.00588867	0.00914858	0.0137968	0.0218791	0.0343083	0.0545407	0.0772093	0.115421	0.269509	0.389015
a5	0.00621928	0.00485557	0.00646625	0.00888523	0.0119651	0.0150932	0.0259187	0.0440387	0.0693825	0.107778	0.271166	0.428232
a47	0.0125185	0.00884815	0.00846791	0.0103426	0.0116201	0.0108933	0.0171708	0.0363784	0.066445	0.143668	0.275999	0.397648
a88	0.0161461	0.0126398	0.0131979	0.0176293	0.018897	0.0176311	0.0218205	0.0364979	0.0700272	0.176649	0.278545	0.320319
a0	0.0104471	0.00831716	0.00665074	0.00759287	0.00701236	0.00639608	0.0072057	0.0110855	0.0262063	0.126956	0.355389	0.426741
a47	0.0108399	0.00943683	0.00654688	0.00632939	0.00514715	0.00537395	0.0052253	0.00678064	0.0175119	0.0974468	0.340014	0.489347
a75	0.0250653	0.0222069	0.0173382	0.0138283	0.0106087	0.00941073	0.009326	0.0125514	0.0398344	0.137256	0.295717	0.406857
a85	0.00049128	0.000327444	0.000262581	0.000348473	0.000395132	0.000564446	0.000843707	0.00194372	0.00883514	0.0712785	0.3354	0.579309
a79	0.000131916	0.000113302	0.000127228	0.000201191	0.000215771	0.000353998	0.000486414	0.00121324	0.00631747	0.0800425	0.345531	0.565266
a7	0.000216346	0.000161941	0.000185996	0.000322083	0.000407383	0.000706839	0.00073717	0.00150164	0.00815878	0.0832685	0.327125	0.577209
a84	0.00272548	0.00203747	0.00176336	0.00185726	0.00187655	0.00195494	0.00181188	0.00321978	0.0145214	0.0899443	0.274111	0.604177
a10	0.0753627	0.0596091	0.0576551	0.0469382	0.0397436	0.0251757	0.0237127	0.0309829	0.0611701	0.100693	0.179257	0.2997
a87	0.254891	0.177389	0.0978481	0.0794542	0.0445845	0.0294349	0.0227438	0.0223569	0.0315439	0.0456992	0.0649213	0.129133
a23	0.237357	0.188645	0.119602	0.10784	0.0545799	0.0337039	0.0253472	0.0241773	0.0338563	0.04408	0.0505713	0.0802396
a87	0.0852537	0.0601787	0.0359112	0.0331688	0.0172075	0.0156807	0.0204991	0.0275094	0.0571449	0.142559	0.213667	0.29122
</S>	0.0119873	0.0091543	0.00661633	0.00659526	0.00431443	0.00430705	0.00527614	0.00940786	0.028209	0.101137	0.294419	0.518576
