 	cet	homme	a	poussé	de	grands	cris	avant	de	mourir	</S>
a84	0.0850312	0.0799561	0.112604	0.173724	0.394955	0.117249	0.0184062	0.00782961	0.0038833	0.00309545	0.00326573
a10	0.275413	0.173603	0.148551	0.121378	0.193123	0.0457777	0.00981506	0.00516166	0.00524018	0.00968044	0.0122561
a87	0.300765	0.181967	0.176836	0.117509	0.163922	0.0327485	0.00548819	0.00293436	0.00333783	0.0062124	0.00827912
a23	0.286756	0.225872	0.198341	0.109914	0.123936	0.0264617	0.00595656	0.00395845	0.00401777	0.00658323	0.00820361
a83	0.298057	0.20482	0.180183	0.081814	0.10036	0.0350902	0.0274818	0.0166107	0.0140984	0.0189063	0.0225795
a90	0.138174	0.121936	0.18486	0.172748	0.230954	0.0998044	0.0246869	0.00692716	0.00532821	0.00639136	0.00818975
a15	0.164838	0.153687	0.191691	0.159795	0.184859	0.106849	0.0263844	0.00551741	0.0023166	0.00205258	0.00200989
a98	0.076137	0.0971989	0.154361	0.148184	0.240869	0.176925	0.0664304	0.0183239	0.00864755	0.00685062	0.0060723
a15	0.0786098	0.101933	0.149796	0.141404	0.179803	0.134755	0.0862614	0.057476	0.0292837	0.0225051	0.0181724
a21	0.092265	0.106005	0.14703	0.126713	0.152771	0.124688	0.0931834	0.0589365	0.037382	0.0319094	0.0291166
a85	0.148536	0.138286	0.156825	0.135745	0.172746	0.0999892	0.0632524	0.0309186	0.0219937	0.0166105	0.0150966
a6	0.0580773	0.0628516	0.0833729	0.0873535	0.103362	0.105074	0.148107	0.120198	0.0929997	0.0700134	0.0685893
a36	0.0607232	0.063432	0.0833858	0.0972655	0.116585	0.123685	0.129864	0.113303	0.093767	0.0628003	0.0551887
a98	0.0689506	0.0602954	0.0842814	0.115633	0.149812	0.142739	0.0921289	0.0780532	0.0734862	0.0674803	0.06714
a79	0.0158552	0.0171682	0.0275789	0.0555146	0.0601381	0.123011	0.173916	0.152985	0.150368	0.114829	0.108636
a44	0.0240686	0.0239382	0.0330006	0.0581503	0.0653599	0.105776	0.176726	0.163902	0.148027	0.103952	0.0970997
a93	0.0294911	0.0248658	0.0407553	0.0722376	0.0882067	0.121032	0.132641	0.139736	0.13071	0.112471	0.107852
a56	0.0340654	0.0259516	0.0393076	0.0711604	0.0833138	0.101344	0.122025	0.153491	0.138265	0.120089	0.110987
a75	0.00632235	0.00530138	0.0079241	0.0181068	0.0259739	0.0454312	0.125671	0.193904	0.223084	0.184131	0.164151
a37	0.00213859	0.0018833	0.0026423	0.00572197	0.00909409	0.0224954	0.0922561	0.133207	0.229684	0.243346	0.257531
a61	0.00299716	0.00229067	0.00244558	0.00402756	0.00543295	0.01042	0.0593373	0.123121	0.224813	0.270891	0.294224
a47	0.00166057	0.0012105	0.00110283	0.0014972	0.00169964	0.00358907	0.0325114	0.0851858	0.213604	0.31398	0.343959
a56	0.000873789	0.000637367	0.000564546	0.00082748	0.000954663	0.00228725	0.0279501	0.0713489	0.223632	0.321186	0.349738
a90	0.000421184	0.000291469	0.000249046	0.000335613	0.000365111	0.000816797	0.00969316	0.0343476	0.162625	0.343231	0.447623
a98	0.000187634	0.000133621	0.000130427	0.000210394	0.000263049	0.000817514	0.0104989	0.0392663	0.190598	0.35468	0.403214
a15	4.70052e-05	3.91607e-05	4.41581e-05	8.4658e-05	0.000113179	0.000505175	0.012712	0.0350973	0.158534	0.317768	0.475055
a7	3.79831e-05	2.40825e-05	1.8716e-05	2.88609e-05	3.53644e-05	0.000155367	0.00461138	0.0253323	0.189851	0.344546	0.435359
a2	0.000557935	0.0002802	0.00016159	0.000208502	0.000203578	0.00054291	0.0106777	0.0356762	0.170737	0.334047	0.446907
a57	0.0214255	0.0111436	0.0111703	0.016772	0.0220769	0.0303803	0.0549054	0.0789522	0.162526	0.269257	0.321391
a87	0.106061	0.0546353	0.0550686	0.0642104	0.0860309	0.0540363	0.0713605	0.0840189	0.127898	0.140329	0.156351
a23	0.145252	0.0880889	0.0857309	0.10316	0.10978	0.0609431	0.0751247	0.0912358	0.0833574	0.0794609	0.0778668
a87	0.0237368	0.0112599	0.00722155	0.00731413	0.0058891	0.00344689	0.0147521	0.0734707	0.20914	0.318618	0.325151
a97	0.0090348	0.00507417	0.00418427	0.00485786	0.00562673	0.00374217	0.0161254	0.0468028	0.184021	0.30991	0.410621
</S>	0.0353532	0.0211752	0.0208922	0.0236068	0.0367615	0.0210687	0.0356095	0.072386	0.177732	0.246552	0.308863
