 	la	banane	est	déjà	mûre	</S>
a87	0.441501	0.290589	0.0853474	0.0706174	0.0587174	0.0532271
a23	0.157534	0.287509	0.168893	0.160715	0.106875	0.118474
a18	0.205612	0.356965	0.237251	0.120063	0.0410914	0.0390179
a9	0.456112	0.39178	0.0977033	0.024661	0.0149951	0.0147489
a90	0.323036	0.319881	0.2039	0.0906425	0.0371192	0.0254214
a69	0.220817	0.249265	0.222584	0.181101	0.0746815	0.0515514
a94	0.152187	0.157494	0.171513	0.171011	0.179447	0.168348
a96	0.149246	0.184231	0.197348	0.194266	0.149604	0.125305
a88	0.100109	0.123278	0.181205	0.261557	0.198722	0.135129
a0	0.0454341	0.074258	0.15905	0.274185	0.248741	0.198332
a90	0.0230997	0.0346716	0.0891767	0.200876	0.302341	0.349835
a93	0.0181095	0.0227237	0.0621363	0.184886	0.345406	0.366739
a11	0.0199626	0.0258866	0.0649651	0.176136	0.328531	0.384519
a90	0.00598493	0.00811895	0.0230383	0.0883491	0.273775	0.600734
a69	0.00291694	0.00301501	0.0104466	0.0602395	0.268185	0.655197
a58	0.00237744	0.00256409	0.00738787	0.0370071	0.213596	0.737067
a84	0.00627917	0.00382225	0.00704195	0.0248903	0.217166	0.740801
a82	0.0693651	0.0468065	0.056134	0.0831345	0.215474	0.529085
a87	0.223146	0.152643	0.131481	0.116521	0.134327	0.241881
a23	0.232526	0.155421	0.129365	0.111052	0.148859	0.222778
a10	0.056433	0.0372008	0.0618181	0.146362	0.287894	0.410292
</S>	0.0152792	0.014751	0.0426921	0.137096	0.248999	0.541183
