 	de	la	manière	qu'	il	a	de	mandé	son	père	il	y	a	longtemps	qu'	il	l'	a	vu	</S>
a66	0.146728	0.13345	0.080945	0.0560486	0.0778674	0.0918635	0.048007	0.0356621	0.0279049	0.0324712	0.0302259	0.0361623	0.0453788	0.0405433	0.0371138	0.0260561	0.0174532	0.0127102	0.0119599	0.011449
a87	0.243792	0.216185	0.131789	0.0945773	0.0520149	0.0365175	0.017686	0.0098144	0.0077923	0.00934455	0.00937191	0.0181937	0.0195441	0.0190437	0.020622	0.016646	0.0190198	0.0185671	0.0199873	0.0194911
a23	0.333082	0.237832	0.140812	0.0785043	0.0358817	0.0232942	0.0135302	0.0091497	0.00677752	0.00807415	0.00743777	0.0115266	0.0138017	0.0131262	0.0141675	0.0123721	0.00987334	0.0085362	0.0101215	0.0120993
a5	0.255344	0.17544	0.145848	0.0974012	0.0312838	0.0182396	0.0154458	0.0162071	0.0174416	0.0210825	0.021886	0.0293764	0.0273068	0.0213927	0.0217238	0.0162454	0.0160033	0.0148865	0.0171392	0.0203067
a37	0.145136	0.118565	0.147241	0.0975539	0.0614057	0.0506353	0.033562	0.0261472	0.0251916	0.0257024	0.0261786	0.0262308	0.0266847	0.0232321	0.0227014	0.0206017	0.0238325	0.0282931	0.0346418	0.0364631
a6	0.170441	0.196322	0.159583	0.105052	0.0996289	0.0571967	0.0342701	0.0215768	0.0112394	0.0100915	0.00879936	0.00921752	0.00890992	0.00814566	0.00852504	0.00896135	0.0141507	0.0187325	0.0247139	0.024443
a0	0.0998812	0.131744	0.124969	0.094138	0.130847	0.103901	0.0741062	0.0414754	0.0178998	0.015053	0.0126402	0.0110662	0.00987335	0.00809577	0.00792501	0.00811184	0.0151496	0.0220699	0.0338264	0.0372277
a43	0.0920953	0.133388	0.217979	0.168921	0.145633	0.0794017	0.0514912	0.0284527	0.00971151	0.00741677	0.006032	0.00445926	0.00399526	0.00343879	0.00333896	0.00403144	0.0068731	0.00890484	0.0109723	0.0134633
a31	0.0519156	0.0711279	0.144175	0.173333	0.175287	0.101001	0.0669218	0.046611	0.0224007	0.0201865	0.0161483	0.0124367	0.0114596	0.00940451	0.0087276	0.00936456	0.0113424	0.0129613	0.015257	0.0199383
a47	0.0477688	0.0650953	0.140036	0.163611	0.186807	0.118177	0.0608695	0.0377333	0.0186253	0.0209535	0.0175492	0.0158078	0.0173986	0.0146334	0.0133294	0.0123389	0.0119224	0.0117033	0.0121048	0.0135356
a21	0.0350531	0.0420004	0.0783599	0.114937	0.141583	0.0995443	0.0701648	0.0548421	0.0422023	0.0493996	0.0428242	0.0358143	0.0371902	0.0301333	0.0252047	0.020425	0.0190244	0.0185822	0.0203674	0.022347
a5	0.0210647	0.0255302	0.0418501	0.0631458	0.125923	0.126598	0.0932052	0.073786	0.0468488	0.0564348	0.0456053	0.0361347	0.0409525	0.0328778	0.0272874	0.0231194	0.0223162	0.0263034	0.0331628	0.0378537
a92	0.00511762	0.00571722	0.0135576	0.0303611	0.0742653	0.104526	0.0898338	0.0890975	0.0784588	0.0937534	0.0790277	0.0634564	0.0629651	0.0467278	0.0349543	0.0253679	0.0210895	0.0215489	0.0276821	0.0324915
a85	0.00351229	0.00386787	0.00908447	0.0199695	0.0461704	0.067274	0.0789413	0.0892249	0.0921321	0.0909541	0.0795738	0.0573739	0.0564855	0.051226	0.0436765	0.0400737	0.0376052	0.0383531	0.0449771	0.0495242
a6	0.00362285	0.00374529	0.00574673	0.0121718	0.0373458	0.0621157	0.0695638	0.0834808	0.120235	0.111207	0.0923288	0.0598833	0.0614222	0.0545283	0.0448052	0.0408005	0.0327878	0.0301577	0.0338609	0.0401911
a0	0.00389512	0.00324812	0.00505948	0.00982735	0.0302284	0.0594468	0.0571109	0.0846547	0.116803	0.105245	0.0902332	0.0588519	0.0625431	0.0533797	0.0454885	0.0419266	0.0357013	0.0369796	0.0458847	0.0534924
a75	0.00755069	0.0062459	0.00782651	0.0161458	0.036052	0.0600557	0.0515824	0.0837638	0.1297	0.127414	0.104983	0.0667301	0.0717251	0.051403	0.0392899	0.0305079	0.0210647	0.0209103	0.0287547	0.0382948
a98	0.00248257	0.00185504	0.00242775	0.00498396	0.0192684	0.0373833	0.0521571	0.0820873	0.118325	0.103113	0.0922774	0.0512071	0.0556504	0.0459955	0.0435296	0.0464285	0.0412015	0.048024	0.0687477	0.0828549
