 	il	a	bu	son	vin	jusqu'	à	la	lie	</S>
a87	0.255958	0.171175	0.112699	0.0983511	0.108244	0.110695	0.0642963	0.0370055	0.0231849	0.0183912
a30	0.265631	0.133649	0.0903027	0.0736533	0.075797	0.0739143	0.0781105	0.0665333	0.0774369	0.0649723
a53	0.183701	0.148385	0.131583	0.100301	0.0883304	0.0713852	0.053588	0.0446438	0.0651534	0.112928
a15	0.32983	0.193854	0.125369	0.0776998	0.050497	0.0426572	0.0462381	0.0524981	0.0417406	0.0396163
a92	0.333698	0.259344	0.189793	0.0887567	0.0362691	0.0281043	0.0174642	0.0152006	0.013754	0.0176155
a34	0.219664	0.217516	0.210997	0.124942	0.0641169	0.0533344	0.0345433	0.0282407	0.0208914	0.0257544
a62	0.221777	0.249056	0.248341	0.121691	0.0552965	0.0440051	0.021409	0.0151591	0.0109787	0.0122872
a75	0.129243	0.165512	0.217521	0.155441	0.109513	0.108175	0.0476975	0.0286543	0.0187455	0.0194977
a98	0.13061	0.16499	0.2023	0.143965	0.0972693	0.0876393	0.0586294	0.0450014	0.0324048	0.0371904
a47	0.0740632	0.0993101	0.15179	0.156182	0.136868	0.135704	0.0880685	0.0609227	0.0429158	0.0541755
a85	0.0609282	0.0804635	0.12763	0.159577	0.173941	0.15051	0.0890494	0.055671	0.0401879	0.0620426
a37	0.0785247	0.0802598	0.108047	0.134266	0.153728	0.158257	0.104113	0.0739364	0.0505184	0.0583495
a34	0.0889751	0.0892819	0.104847	0.123647	0.162884	0.175498	0.10564	0.0656599	0.038699	0.0448682
a21	0.0650591	0.0653982	0.0739988	0.0895149	0.14958	0.192632	0.147394	0.0959476	0.0575812	0.0628945
a47	0.0666863	0.0662782	0.0710016	0.0744998	0.114918	0.160493	0.154341	0.11737	0.0829362	0.0914757
a88	0.0433708	0.0444091	0.0507331	0.0590672	0.102129	0.152565	0.190513	0.148674	0.0984194	0.110119
a9	0.0167319	0.0172166	0.021424	0.0279756	0.0559167	0.0944784	0.182895	0.229251	0.196385	0.157726
a38	0.00809295	0.00795791	0.0110645	0.0187004	0.0401919	0.0608766	0.155085	0.225939	0.222601	0.249491
a62	0.0072058	0.0063721	0.00787139	0.0119173	0.0231148	0.0332275	0.109383	0.227921	0.270207	0.30278
a21	0.00532566	0.0044464	0.00535939	0.00844159	0.0172499	0.0277651	0.0878271	0.187614	0.324642	0.331329
a47	0.0135298	0.0124125	0.0143224	0.018988	0.0288534	0.0356329	0.08563	0.163558	0.264684	0.36239
a62	0.00447187	0.00374643	0.00437454	0.00655667	0.0127342	0.020467	0.055634	0.122609	0.314284	0.455122
a47	0.00183184	0.00161458	0.00198817	0.00323331	0.00778904	0.0144806	0.0424503	0.0936735	0.287957	0.544982
a88	0.00175256	0.00142064	0.00155068	0.00237038	0.00507028	0.00862296	0.0272886	0.0679339	0.276978	0.607012
a71	0.0013011	0.0010026	0.00111621	0.00191477	0.00411051	0.00706643	0.0254654	0.0666673	0.279065	0.612291
a24	0.00296186	0.00209718	0.00215369	0.00346254	0.00568949	0.00661456	0.0270911	0.0771654	0.299291	0.573473
a9	0.00298131	0.0019747	0.00208107	0.00364619	0.00600886	0.00625334	0.0195238	0.0478062	0.256227	0.653498
a82	0.0263887	0.0143427	0.0117231	0.0140817	0.0172247	0.0123354	0.0357477	0.0875494	0.301276	0.47933
a10	0.116046	0.0716777	0.0487026	0.0397787	0.0405721	0.0337764	0.0637071	0.100789	0.22594	0.25901
a57	0.161845	0.0997665	0.0657241	0.043702	0.0369587	0.0358083	0.0613396	0.0860089	0.178627	0.230219
a87	0.122028	0.0739517	0.0501598	0.0356498	0.0369338	0.0391958	0.0665056	0.0863197	0.190055	0.299201
a23	0.0881232	0.05734	0.0464084	0.0402146	0.0512872	0.0508987	0.0781578	0.0942628	0.181967	0.311341
a87	0.0392888	0.0257568	0.0223184	0.0209646	0.026547	0.0243274	0.0535855	0.0892417	0.234928	0.463042
a23	0.01263	0.0087573	0.00768555	0.00877783	0.0127017	0.0135301	0.0310775	0.058173	0.218115	0.628552
a99	0.0298094	0.0214961	0.0186129	0.0207696	0.0263518	0.0230193	0.0507525	0.0887409	0.25126	0.469187
a97	0.0493808	0.0303527	0.0262596	0.0299563	0.0328939	0.0283753	0.0533694	0.0849357	0.222579	0.441897
</S>	0.0320658	0.0180275	0.015201	0.0182013	0.020884	0.02064	0.039923	0.0671428	0.199404	0.568511
