 	l'	antilope	noire	a	une	tâche	jaune	au	niveau	de	l'	échine	</S>
a87	0.186962	0.134449	0.118518	0.119801	0.102991	0.0987232	0.0702935	0.0639912	0.0489227	0.0179179	0.0122394	0.0101578	0.0150342
a23	0.232096	0.112277	0.0749575	0.0423195	0.0280598	0.0273722	0.0266532	0.0457364	0.0678894	0.0481407	0.0533933	0.0835176	0.157588
a87	0.180577	0.153679	0.128488	0.0923337	0.0624452	0.0391989	0.0211098	0.0233679	0.0288194	0.0190982	0.0273663	0.0606972	0.16282
a10	0.207801	0.164047	0.164187	0.105841	0.0633529	0.0438135	0.0215659	0.0179144	0.0202319	0.0150377	0.0253755	0.0469979	0.103834
a87	0.136653	0.128504	0.14561	0.115051	0.0869211	0.0859866	0.0265234	0.0176829	0.0194565	0.0180327	0.0337449	0.0658876	0.119945
a99	0.19175	0.148723	0.146292	0.107072	0.0641943	0.0417981	0.0161856	0.0177547	0.0285629	0.0270798	0.0446978	0.0659768	0.0999138
a62	0.218662	0.155567	0.161869	0.108882	0.0714665	0.0608389	0.0144108	0.0113913	0.0110554	0.011512	0.0209654	0.0439043	0.109475
a96	0.33299	0.219512	0.171596	0.102672	0.0710247	0.0376983	0.0113762	0.00771649	0.00918587	0.00545719	0.00803002	0.00949979	0.0132411
a61	0.286562	0.229448	0.200468	0.119124	0.0779217	0.0356133	0.0113624	0.00737716	0.00682606	0.00382018	0.0052661	0.00631971	0.00989018
a47	0.247	0.203423	0.203974	0.133095	0.0969651	0.0476944	0.0195194	0.0121085	0.0107613	0.00523557	0.00554784	0.00573582	0.00894012
a88	0.14739	0.15144	0.182194	0.137612	0.135287	0.0916888	0.0444195	0.0354346	0.0250134	0.009957	0.00931894	0.0102987	0.0199473
a24	0.105464	0.119723	0.142067	0.122545	0.139475	0.1214	0.0775565	0.0601684	0.0460103	0.0150826	0.0126491	0.0134933	0.0243658
a21	0.0513138	0.0584504	0.0766137	0.0696017	0.0909798	0.11256	0.133608	0.146126	0.11095	0.0397855	0.029834	0.0308254	0.0493513
a5	0.094086	0.102443	0.141698	0.124791	0.138938	0.111611	0.0976764	0.0819372	0.0529135	0.0155615	0.0107808	0.0115736	0.0159892
a37	0.0702181	0.0713772	0.109052	0.105755	0.104127	0.0881484	0.0893585	0.0951683	0.0803953	0.0514391	0.039605	0.0417133	0.0536428
a98	0.0497004	0.0524014	0.0816929	0.0902599	0.0888098	0.0955813	0.161898	0.132135	0.0932046	0.0402642	0.0319991	0.0368589	0.0451942
a85	0.0322689	0.0292508	0.0440593	0.0464476	0.0387347	0.0357469	0.105519	0.134817	0.102127	0.10018	0.0948761	0.109501	0.126471
a5	0.0401575	0.0326514	0.0413364	0.0430921	0.0373322	0.0343706	0.096019	0.105376	0.0748072	0.0890043	0.118515	0.148732	0.138606
a85	0.0304143	0.025094	0.0297321	0.0306516	0.0279124	0.0287603	0.0873799	0.1356	0.0936422	0.097179	0.111811	0.143604	0.15822
a5	0.0154749	0.0105316	0.0111242	0.0106369	0.00963369	0.00940422	0.036042	0.0740017	0.055581	0.10895	0.17523	0.252792	0.230598
a27	0.0245995	0.0183096	0.0184527	0.0171161	0.0155139	0.017432	0.0528433	0.103001	0.0752325	0.11944	0.127772	0.182272	0.228017
a38	0.0220242	0.0158003	0.0170494	0.0153636	0.0136278	0.0147631	0.0558998	0.125994	0.0790856	0.124311	0.104495	0.159824	0.251762
a25	0.0173899	0.0120937	0.0150224	0.0146529	0.0132692	0.0130324	0.0482962	0.10091	0.0689277	0.148902	0.135547	0.17389	0.238066
a94	0.00903211	0.00722858	0.00977667	0.00997197	0.0105606	0.0128493	0.0426199	0.110266	0.0710108	0.151029	0.128859	0.164654	0.272143
a76	0.00541896	0.00347943	0.00525758	0.0058957	0.00635322	0.00695346	0.0261372	0.0848016	0.0687979	0.190179	0.198459	0.190632	0.207635
a69	0.00522665	0.00259624	0.00276861	0.00225528	0.00224485	0.00265418	0.00829379	0.0328562	0.0347648	0.130298	0.181311	0.267273	0.327457
a58	0.00410465	0.00246262	0.00326169	0.0033144	0.00439394	0.00468077	0.0161725	0.0794792	0.0654052	0.175826	0.171663	0.185352	0.283884
a53	0.00375339	0.00193661	0.00239346	0.00203976	0.00221321	0.00248794	0.00850533	0.0289341	0.0260535	0.0786088	0.115201	0.217516	0.510357
a69	0.00715341	0.00355224	0.00424958	0.0034381	0.00446772	0.00422284	0.0119882	0.0512984	0.0503989	0.119434	0.150053	0.209232	0.380512
a58	0.00558489	0.00266359	0.00263189	0.00174463	0.0020605	0.00167497	0.0061339	0.022905	0.0232283	0.0616067	0.107069	0.240506	0.52219
a82	0.00163501	0.000872762	0.000828328	0.000478737	0.000428862	0.000292272	0.00115896	0.00812306	0.00911983	0.0366641	0.0811586	0.226752	0.632488
a87	0.0305204	0.0223456	0.0188121	0.0138451	0.00836819	0.00329473	0.00387928	0.0091373	0.013158	0.0337985	0.0906992	0.220228	0.531914
a23	0.117132	0.0752161	0.0551481	0.0335851	0.0276194	0.0196369	0.0154282	0.0247258	0.0364995	0.0571678	0.116552	0.163823	0.257465
a9	0.00687692	0.00597348	0.00430247	0.00374105	0.00392935	0.00286196	0.00217102	0.0101801	0.0294478	0.0740049	0.210783	0.281057	0.364671
a87	0.0029513	0.00252485	0.00164543	0.00127805	0.00151893	0.00152453	0.0030884	0.0164141	0.0303391	0.0586292	0.14496	0.277938	0.457188
</S>	0.00196093	0.00178299	0.00144592	0.0012151	0.0014867	0.00200507	0.00380229	0.0109446	0.0169757	0.0377829	0.115276	0.315802	0.48952
