 	la	manière	de	marcher	à	quatre	pattes	de	cet	enfant	est	très	lente	</S>
a66	0.0568001	0.0439497	0.0362526	0.0420715	0.0516717	0.0668029	0.0948236	0.142923	0.225747	0.181224	0.0449675	0.00698582	0.003095	0.00268601
a87	0.189221	0.146817	0.118986	0.10439	0.0878483	0.0772059	0.0655996	0.0581241	0.057877	0.0369569	0.0149184	0.0144094	0.0129268	0.0147196
a23	0.183651	0.197121	0.153392	0.118789	0.082356	0.0782946	0.0589754	0.0411595	0.0332283	0.0211034	0.0110103	0.00716086	0.00675869	0.00700024
a87	0.144824	0.212885	0.16133	0.153805	0.0941295	0.0834121	0.051892	0.0334748	0.0172427	0.0092685	0.00764837	0.00770899	0.00959866	0.0127796
a23	0.115074	0.168886	0.158687	0.176151	0.116856	0.114578	0.0590521	0.0294448	0.0203264	0.0138106	0.00826647	0.00599397	0.00592064	0.00695254
a18	0.132764	0.200234	0.148653	0.140553	0.0884372	0.0772594	0.0534126	0.0353432	0.023495	0.0185162	0.0169844	0.0179081	0.0209473	0.0254928
a53	0.139636	0.157373	0.0969343	0.073788	0.0654988	0.0602583	0.0560554	0.0366692	0.0390216	0.0580732	0.0730541	0.0715109	0.04294	0.0291877
a90	0.241592	0.22972	0.122937	0.0797474	0.0623613	0.0351652	0.0298062	0.0250764	0.0306098	0.0317638	0.0421887	0.0420859	0.0195737	0.00737284
a56	0.145825	0.174428	0.140069	0.10485	0.085749	0.0544647	0.0414287	0.0338954	0.0284623	0.0212133	0.0339975	0.0605823	0.0531337	0.0219017
a96	0.109023	0.142605	0.148184	0.127188	0.103113	0.075831	0.0484879	0.0381757	0.0287241	0.0182451	0.0263178	0.0504262	0.0523522	0.0313278
a12	0.0935742	0.116309	0.132805	0.131781	0.109862	0.0905681	0.057614	0.0467747	0.0338621	0.0194876	0.0237338	0.0462144	0.0588393	0.0385741
a62	0.078617	0.094369	0.115066	0.130227	0.115569	0.104007	0.0702364	0.0608806	0.0486855	0.0286941	0.0277166	0.0446145	0.0475575	0.0337599
a21	0.0654371	0.0763584	0.10496	0.126988	0.121185	0.118296	0.0856909	0.074172	0.0616359	0.0360451	0.0284595	0.038992	0.0374231	0.0243561
a92	0.0348758	0.0417977	0.0729976	0.117422	0.123388	0.13346	0.100378	0.0937482	0.0897877	0.0631942	0.0379903	0.0383315	0.0315225	0.0211075
a98	0.0182561	0.0242606	0.0489405	0.103831	0.121686	0.133941	0.0861686	0.0908326	0.0912229	0.0823401	0.0567094	0.0508473	0.0458219	0.0451415
a92	0.0153488	0.0202277	0.0513581	0.0950965	0.130118	0.119618	0.0625537	0.0693381	0.0750015	0.0854063	0.0722378	0.0558651	0.0653994	0.0824307
a85	0.0151361	0.0182135	0.0420454	0.0805436	0.123905	0.138327	0.0999049	0.109686	0.110475	0.0921547	0.041204	0.0318867	0.0451697	0.0513478
a92	0.011862	0.0134571	0.0318616	0.0673267	0.110887	0.122943	0.0731781	0.0786776	0.0856332	0.0962316	0.0674693	0.0476256	0.0679693	0.124878
a56	0.00852466	0.00964902	0.0215917	0.0497772	0.0908936	0.121934	0.100679	0.110197	0.119603	0.109789	0.0538935	0.0457235	0.0686822	0.0890621
a44	0.00919424	0.00947053	0.0187753	0.0389988	0.0779251	0.129424	0.10567	0.121658	0.123155	0.110848	0.0493488	0.0396105	0.0662543	0.0996678
a56	0.0074746	0.00738746	0.0139098	0.0249632	0.049552	0.0912173	0.070641	0.083371	0.0851015	0.094417	0.0605281	0.0518861	0.112868	0.246683
a44	0.00641368	0.00524225	0.00991658	0.0206481	0.0387643	0.0714217	0.0576256	0.0789521	0.0890314	0.101937	0.0687322	0.0640271	0.130784	0.256504
a96	0.00756338	0.00636355	0.0105664	0.0187976	0.0324136	0.0544315	0.0467441	0.0547419	0.0534417	0.0621134	0.0541905	0.0643389	0.147863	0.386431
a93	0.00744939	0.00558733	0.00845382	0.0137942	0.0231849	0.0385311	0.0384706	0.0436172	0.0426953	0.0437523	0.0404992	0.0662715	0.170116	0.457577
a70	0.00672739	0.00520228	0.00789625	0.0118252	0.0202604	0.0353426	0.0367905	0.0397346	0.0339252	0.0303636	0.0315796	0.0686831	0.175932	0.495737
a13	0.00364954	0.00315207	0.0044213	0.00544642	0.00952405	0.0182763	0.0217467	0.0186742	0.0143561	0.013284	0.0164676	0.0512594	0.188172	0.63157
a62	0.00379259	0.00335122	0.00429086	0.00502007	0.00842924	0.0169044	0.0245812	0.020546	0.0198943	0.0197162	0.0195836	0.0530868	0.179339	0.621465
a88	0.00189242	0.00166427	0.00267809	0.00383809	0.00589079	0.0100741	0.0104181	0.0120397	0.0114283	0.011327	0.0170885	0.0548701	0.179237	0.677553
