 	aujourd'	hui	c'	est	le	jour	où	l'	on	prie	dieu	</S>
a66	0.173742	0.140388	0.137654	0.160079	0.187816	0.104199	0.050595	0.0207172	0.00970253	0.0062388	0.00457673	0.00429246
a10	0.222836	0.13303	0.107471	0.101453	0.110929	0.0787437	0.0753044	0.0529368	0.0367453	0.0368043	0.0242819	0.0194656
a87	0.270101	0.178087	0.124099	0.11849	0.116619	0.0651072	0.0468825	0.0316924	0.0144478	0.0133934	0.0101808	0.0109003
a23	0.245138	0.17458	0.133712	0.127458	0.117072	0.068719	0.0528897	0.0345368	0.0155054	0.0122957	0.00904214	0.00905138
a20	0.198625	0.114013	0.0895058	0.0826909	0.0785459	0.049621	0.040967	0.047094	0.0709414	0.101727	0.0646065	0.0616628
a7	0.150263	0.0949529	0.0792318	0.087353	0.133566	0.115181	0.110954	0.0770157	0.0509759	0.0371566	0.0318188	0.0315312
a15	0.154689	0.11233	0.125117	0.125362	0.160422	0.100822	0.0907441	0.0603385	0.0304908	0.0192948	0.0114172	0.00897215
a69	0.0806986	0.0617903	0.0757268	0.0737071	0.116509	0.152074	0.211061	0.138612	0.0543682	0.0200372	0.00972877	0.00568675
a44	0.0566422	0.0625008	0.0738127	0.0724521	0.101619	0.160038	0.221596	0.137093	0.0595132	0.0275513	0.0174809	0.00970132
a43	0.0817833	0.0855247	0.0887794	0.0847597	0.10911	0.140869	0.158065	0.0865802	0.0600527	0.0444897	0.0312897	0.0286967
a75	0.0763252	0.0821905	0.0862685	0.0866128	0.117507	0.150409	0.143138	0.0785411	0.060183	0.0519785	0.0326627	0.0341828
a92	0.0424376	0.0461123	0.0508425	0.0626349	0.0966102	0.147827	0.168803	0.130874	0.099853	0.0812852	0.0430767	0.0296431
a37	0.0527125	0.0592697	0.0614115	0.0767636	0.0984847	0.121213	0.130405	0.113457	0.0956357	0.0874808	0.053755	0.049411
a12	0.0433741	0.048589	0.0524386	0.0674146	0.093386	0.119886	0.0993334	0.104023	0.104093	0.113527	0.0728906	0.081045
a62	0.030093	0.0323258	0.0330958	0.0444861	0.0545547	0.0608826	0.0570415	0.114131	0.146837	0.175149	0.115122	0.136282
a0	0.0301572	0.0314792	0.0324265	0.0307261	0.0298521	0.0387826	0.0389337	0.0861065	0.129607	0.154168	0.160594	0.237168
a21	0.0194694	0.0202753	0.0187837	0.0155181	0.0118029	0.0150494	0.0198968	0.0485485	0.111655	0.170726	0.215861	0.332413
a61	0.00467259	0.00460926	0.00432064	0.00401501	0.00370073	0.00612018	0.0124829	0.0437241	0.107767	0.177524	0.226385	0.404679
a5	0.00387986	0.00389944	0.00397208	0.0038849	0.00381448	0.0061221	0.013628	0.0528594	0.120992	0.186019	0.214062	0.386867
a37	0.00170824	0.00166726	0.0016217	0.00142072	0.00130294	0.00265369	0.00738349	0.0224016	0.0574265	0.133815	0.221163	0.547436
a5	0.0012841	0.00135306	0.00142712	0.0013326	0.00107959	0.00205045	0.00607786	0.0171328	0.0346709	0.0791371	0.204767	0.649687
a37	0.00103595	0.000992028	0.000980054	0.000848349	0.000759555	0.00186349	0.00495412	0.0131643	0.0334716	0.0941081	0.225251	0.622572
a66	0.000863199	0.000826617	0.000912198	0.000854395	0.000857789	0.0022574	0.00604535	0.0172866	0.0381477	0.0751627	0.207655	0.649131
a71	0.0111003	0.0110988	0.0110732	0.0104832	0.00934739	0.0134145	0.021772	0.0353695	0.0565462	0.090752	0.199457	0.529586
a9	0.142631	0.120432	0.119919	0.102967	0.0674469	0.0427356	0.0326047	0.0304655	0.0414544	0.0570601	0.0836736	0.15861
a87	0.192426	0.148823	0.122892	0.119836	0.115716	0.0773217	0.045466	0.0369138	0.0332269	0.0359252	0.0337289	0.0377251
a23	0.178996	0.163204	0.134592	0.12812	0.106626	0.0735268	0.0452835	0.0415209	0.0320161	0.0343997	0.031136	0.0305777
a87	0.0963011	0.0704502	0.0429087	0.0271651	0.0190774	0.013741	0.013593	0.0293558	0.0508865	0.109293	0.171873	0.355354
</S>	0.0155485	0.0119351	0.0076677	0.00509585	0.00423908	0.00399795	0.0061114	0.0219536	0.0568858	0.137926	0.226154	0.502486
