 	le	forgeron	tord	le	fer	</S>
a66	0.359817	0.22647	0.199646	0.100504	0.0681539	0.0454098
a87	0.424996	0.229477	0.16016	0.09538	0.0549606	0.0350261
a97	0.486993	0.227954	0.115082	0.0614767	0.0562364	0.0522583
a13	0.471437	0.271035	0.118557	0.0553667	0.0409587	0.042645
a57	0.497571	0.25433	0.123151	0.0584241	0.0357486	0.0307756
a30	0.46608	0.251619	0.142519	0.069613	0.0407992	0.0293708
a4	0.399612	0.25738	0.164934	0.0914444	0.0514267	0.0352017
a53	0.319151	0.264864	0.174239	0.108843	0.072072	0.0608315
a15	0.231763	0.241501	0.172891	0.145431	0.11308	0.0953338
a92	0.224555	0.252176	0.187711	0.139768	0.113398	0.0823912
a98	0.167006	0.216437	0.177706	0.164051	0.148608	0.126192
a85	0.161772	0.205041	0.186292	0.16835	0.153581	0.124964
a79	0.148272	0.20111	0.192014	0.178862	0.15364	0.126102
a44	0.141801	0.194364	0.18919	0.16614	0.152606	0.155898
a56	0.104508	0.147207	0.190999	0.171175	0.178163	0.207947
a24	0.0509865	0.0896604	0.159898	0.180207	0.224423	0.294825
a21	0.0208596	0.0347249	0.0968936	0.160739	0.264732	0.42205
a12	0.0147432	0.0205884	0.0522691	0.11023	0.271985	0.530184
a96	0.0116338	0.0168328	0.0418583	0.100016	0.275285	0.554373
a94	0.0128831	0.0182541	0.0396264	0.0992606	0.27103	0.558946
a70	0.0079301	0.0113366	0.0231796	0.0655238	0.231683	0.660347
a94	0.00920964	0.013116	0.0261653	0.0779847	0.261523	0.612001
a26	0.00546947	0.00744896	0.0166458	0.0555499	0.234356	0.68053
a57	0.0343595	0.0308377	0.049059	0.114432	0.255798	0.515514
a97	0.213779	0.0990577	0.0911269	0.116872	0.185315	0.29385
a99	0.240509	0.136837	0.121069	0.1189	0.168144	0.214541
a97	0.106185	0.0720619	0.0723921	0.107679	0.22812	0.413563
a87	0.106797	0.0781984	0.0899325	0.118649	0.224364	0.382059
a97	0.0932283	0.0765924	0.0911925	0.123578	0.231497	0.383912
a10	0.115392	0.106591	0.124186	0.143484	0.214144	0.296202
a82	0.0811635	0.0829939	0.102401	0.141006	0.237284	0.355151
</S>	0.170673	0.149486	0.126614	0.135812	0.181087	0.236328
