 	pendant	la	grande	saison	sèche	les	femmes	sèchent	du	poisson	</S>
a10	0.247754	0.176042	0.10229	0.0683297	0.0776813	0.0767974	0.0757767	0.0851083	0.0395641	0.0268986	0.0237583
a87	0.198229	0.129434	0.124741	0.0703844	0.0644234	0.0651485	0.0767339	0.0943426	0.0542898	0.0532171	0.0690554
a23	0.140992	0.0948023	0.0896172	0.0657523	0.05262	0.0525725	0.0702762	0.115156	0.0798798	0.0876392	0.150692
a87	0.238158	0.214076	0.191761	0.144369	0.0554626	0.0349291	0.0267148	0.0268683	0.0143223	0.0180941	0.0352457
a83	0.231618	0.200709	0.167667	0.119649	0.0541075	0.0422009	0.041449	0.0481326	0.0227013	0.0248749	0.0468899
a62	0.252183	0.195381	0.124624	0.0853216	0.0341633	0.0244698	0.0207289	0.0308535	0.0381388	0.0668209	0.127315
a47	0.363728	0.302882	0.183407	0.0860043	0.0185291	0.00975728	0.00554512	0.00541462	0.00540035	0.00757588	0.0117567
a96	0.236892	0.242502	0.188791	0.140105	0.0390508	0.0231035	0.0154646	0.0193181	0.0217111	0.0274948	0.0455677
a90	0.239196	0.242822	0.183573	0.148077	0.050534	0.0286051	0.0179246	0.0174227	0.0176487	0.0216989	0.0324986
a25	0.179702	0.176285	0.13352	0.122569	0.0903336	0.0615075	0.0399931	0.0344086	0.0374265	0.0529958	0.0712592
a21	0.151666	0.158939	0.144634	0.157464	0.131647	0.0866907	0.0492638	0.0294276	0.0255616	0.0298317	0.0348758
a85	0.187896	0.174598	0.145601	0.15762	0.108801	0.0787006	0.0496001	0.0279102	0.022553	0.0216848	0.0250346
a21	0.0877935	0.0998847	0.115007	0.156371	0.113068	0.0896501	0.0772682	0.0630278	0.0670564	0.0646916	0.0661815
a61	0.118901	0.108403	0.102808	0.14019	0.151292	0.125217	0.0846446	0.0521984	0.0402581	0.0364357	0.0396527
a34	0.0743822	0.06414	0.0614127	0.0780523	0.146949	0.146883	0.109269	0.0807565	0.0760206	0.0736248	0.0885102
a66	0.0475941	0.0376117	0.0340778	0.040885	0.121487	0.153597	0.125667	0.100266	0.110403	0.10686	0.121552
a98	0.0333316	0.0239703	0.0207163	0.0198465	0.067229	0.108777	0.105255	0.0986167	0.146502	0.168651	0.207105
a85	0.0280476	0.0181448	0.016381	0.0140438	0.0346469	0.0561905	0.0647024	0.0788499	0.16998	0.215724	0.303288
a37	0.051568	0.0379338	0.0351702	0.0267942	0.0708561	0.087434	0.0820811	0.0905636	0.149225	0.180384	0.18799
a61	0.0147884	0.00878669	0.00727638	0.0059505	0.0189519	0.0345333	0.0431183	0.0664639	0.160847	0.290663	0.34862
a21	0.014203	0.00970759	0.00859146	0.00664971	0.0218638	0.036536	0.0444407	0.069365	0.156047	0.284936	0.347659
a85	0.0134262	0.00878195	0.00744162	0.00532185	0.0114438	0.0173435	0.0223568	0.0473511	0.141698	0.315676	0.409159
a43	0.0229767	0.013562	0.0108666	0.00620111	0.0103146	0.0152182	0.0200087	0.0475752	0.147052	0.320501	0.385723
a11	0.00954163	0.00498733	0.00404778	0.00258117	0.00718984	0.0116758	0.0160573	0.0466396	0.125557	0.290693	0.48103
a62	0.00302751	0.00183817	0.00174401	0.00106248	0.00304189	0.00677419	0.0115819	0.03465	0.114659	0.263037	0.558583
a83	0.00356225	0.00191014	0.00172109	0.000971433	0.00355308	0.00822593	0.0142914	0.0387689	0.110156	0.242692	0.574147
a9	0.00239265	0.00130933	0.00122715	0.000727197	0.00247579	0.00578288	0.00975416	0.0290504	0.103945	0.264265	0.57907
a10	0.0131261	0.00736422	0.00605186	0.00291627	0.00541356	0.0110564	0.0184361	0.0386914	0.10846	0.23108	0.557404
a87	0.049677	0.0280138	0.0228282	0.0140616	0.0201685	0.0344054	0.0505653	0.0726287	0.137738	0.213609	0.356304
a10	0.0652559	0.0454706	0.0425372	0.0334191	0.0559486	0.0825496	0.103569	0.110823	0.139918	0.148321	0.172188
a87	0.0776664	0.0491046	0.0404997	0.0284892	0.0445	0.0597159	0.0734509	0.10272	0.144778	0.18191	0.197165
a97	0.051469	0.0316336	0.0272588	0.0192498	0.033269	0.0485391	0.0653948	0.0961277	0.141553	0.212885	0.272621
a10	0.0651914	0.0394329	0.0348021	0.0212515	0.0241155	0.0324949	0.0464674	0.0809253	0.121554	0.205665	0.3281
</S>	0.0581483	0.0385147	0.0369647	0.0213392	0.0198312	0.0239682	0.0305814	0.0577672	0.101704	0.217374	0.393807
