 	nous	les	avons	rencontré	là-bas	</S>
a66	0.447595	0.185299	0.117596	0.103945	0.0850758	0.0604896
a87	0.528743	0.187331	0.165362	0.0675692	0.0309491	0.0200455
a23	0.42839	0.217795	0.178999	0.0791594	0.0488373	0.0468199
a9	0.325487	0.208293	0.223498	0.0986704	0.0678273	0.0762247
a24	0.371618	0.217309	0.202675	0.0944028	0.0551182	0.0588772
a5	0.408637	0.263594	0.153504	0.0709421	0.0525721	0.0507508
a18	0.271665	0.274439	0.239995	0.113808	0.0561816	0.0439118
a21	0.186668	0.262702	0.28404	0.168212	0.0609379	0.0374417
a85	0.156771	0.23609	0.25699	0.21652	0.0846278	0.0490004
a6	0.111492	0.1859	0.21995	0.231984	0.144486	0.106187
a36	0.146094	0.17381	0.150329	0.175029	0.198723	0.156016
a56	0.11326	0.123189	0.110973	0.16185	0.247192	0.243537
a93	0.0700171	0.075081	0.0978561	0.163247	0.275466	0.318334
a4	0.0370015	0.039423	0.0575397	0.113651	0.272492	0.479892
a57	0.019784	0.0195278	0.0251682	0.0619004	0.232779	0.640841
a38	0.0135937	0.00875798	0.0114988	0.039815	0.210042	0.716292
a31	0.0272063	0.0188789	0.0274447	0.0762038	0.271395	0.578871
a88	0.0036134	0.00371902	0.00589807	0.0329798	0.207969	0.745821
a9	0.00561327	0.00571463	0.00825872	0.0506124	0.249833	0.679968
a87	0.106925	0.0754404	0.0626237	0.10337	0.219699	0.431942
a23	0.364179	0.177	0.11539	0.0834474	0.115005	0.144979
a87	0.218366	0.102335	0.0744333	0.0827471	0.177527	0.344592
</S>	0.0420282	0.0249949	0.0233327	0.0517838	0.249204	0.608656
