 	on	fabrique	le	tam-tam	avec	le	bois	de	l'	arbre	osongo	</S>
a66	0.303771	0.185855	0.113936	0.0969062	0.0606219	0.0614915	0.042819	0.0274464	0.0238823	0.0212216	0.0243401	0.0377086
a87	0.294385	0.129796	0.0728534	0.0874282	0.0765799	0.0623493	0.0490644	0.0411394	0.0477621	0.0488118	0.0396447	0.0501864
a10	0.253919	0.132107	0.0829763	0.101291	0.0831654	0.0785065	0.0576701	0.0433803	0.0568361	0.0474866	0.030903	0.031758
a87	0.191828	0.128968	0.111791	0.150612	0.0982888	0.0850984	0.0549119	0.0431897	0.0484345	0.0337295	0.0266651	0.0264829
a23	0.218965	0.136119	0.101527	0.138117	0.0978605	0.0875807	0.0561498	0.0420565	0.0454184	0.0305596	0.023079	0.0225678
a9	0.147044	0.0763106	0.0852002	0.14796	0.0743436	0.0731345	0.0506996	0.0502339	0.0647807	0.0613092	0.0831408	0.0858428
a24	0.113862	0.0670709	0.0713144	0.114153	0.0677124	0.0733503	0.0589917	0.0636092	0.0801632	0.0759674	0.104472	0.109335
a38	0.152771	0.126633	0.123962	0.117557	0.0652378	0.058471	0.0461514	0.0511889	0.0594082	0.0500734	0.0717738	0.0767737
a20	0.181591	0.16063	0.152095	0.107572	0.058039	0.0492733	0.0409587	0.0436754	0.0474421	0.0394009	0.0539169	0.0654061
a15	0.100551	0.104039	0.157463	0.117773	0.0733054	0.0750642	0.0721698	0.0740083	0.0694397	0.0528358	0.0458826	0.0574683
a98	0.0550137	0.0757024	0.157255	0.127468	0.0789941	0.0699538	0.0667187	0.0685294	0.0662991	0.0674242	0.0699154	0.0967262
a47	0.069188	0.112381	0.21008	0.155643	0.101356	0.080432	0.0605386	0.0472982	0.040482	0.0397904	0.0366898	0.0461196
a36	0.0445482	0.070315	0.162923	0.170877	0.0971594	0.0782616	0.0517678	0.0443616	0.0422693	0.0560234	0.0767642	0.104729
a47	0.0332353	0.0428762	0.0687316	0.09987	0.0640109	0.0507642	0.0349554	0.0331888	0.0380143	0.0644604	0.170003	0.29989
a79	0.0249306	0.0327907	0.0486859	0.08514	0.0660269	0.0555922	0.0393004	0.0365943	0.0409994	0.0773421	0.181061	0.311536
a20	0.0457674	0.0494389	0.040538	0.0625152	0.0645533	0.0585263	0.0489137	0.0409166	0.0413372	0.0679383	0.164183	0.315372
a32	0.0210119	0.0211587	0.0178807	0.0266582	0.035012	0.0384326	0.0380931	0.0384843	0.0476238	0.081457	0.201185	0.433003
a53	0.0117622	0.0104837	0.00716854	0.0103236	0.0128368	0.0123727	0.0129935	0.017705	0.0348547	0.0981378	0.197645	0.573716
a69	0.0101958	0.00869027	0.00547653	0.00673842	0.00865863	0.00907683	0.0111354	0.0175987	0.0384916	0.115583	0.226036	0.542319
a94	0.00453717	0.00385357	0.00291884	0.00481424	0.00705631	0.00793272	0.0100761	0.0163603	0.0323568	0.0947655	0.215598	0.599731
a4	0.0038137	0.00273757	0.0017436	0.00276698	0.00440663	0.00516212	0.00805089	0.0196219	0.0495023	0.13987	0.238151	0.524174
a58	0.00173657	0.00131236	0.000950586	0.00159665	0.00245035	0.0029091	0.00460068	0.0134504	0.0371001	0.115755	0.226196	0.591942
a82	0.00538783	0.0031338	0.00212772	0.00450652	0.0081883	0.0114563	0.0181543	0.0434925	0.0825769	0.179037	0.226441	0.415497
a87	0.10339	0.0576739	0.0280172	0.0510302	0.0641777	0.073688	0.061024	0.0649212	0.0844527	0.0952211	0.140285	0.176119
a23	0.187778	0.108871	0.0611226	0.0918862	0.104265	0.108667	0.0840522	0.0703348	0.0713343	0.0518208	0.0301867	0.0296802
a87	0.097292	0.0427614	0.0299215	0.0317074	0.0451556	0.0576796	0.077856	0.109476	0.163077	0.1709	0.0822875	0.0918855
</S>	0.0276534	0.0141119	0.010217	0.0155429	0.017271	0.0201119	0.0224885	0.0337416	0.0736451	0.171094	0.206	0.388123
