 	il	est	venu	l'	accuser	</S>
a79	0.531032	0.249542	0.0890794	0.0414637	0.0404883	0.0483947
a20	0.315383	0.181335	0.130588	0.107943	0.114995	0.149756
a30	0.416023	0.220724	0.116977	0.0934892	0.0959168	0.0568698
a41	0.493498	0.346175	0.11424	0.0292086	0.0112128	0.00566549
a24	0.444906	0.332955	0.142516	0.0464627	0.0205437	0.012617
a76	0.38505	0.311083	0.176386	0.0651668	0.035385	0.0269293
a94	0.360424	0.309396	0.191945	0.0674121	0.0357171	0.0351059
a11	0.281525	0.271975	0.224636	0.113739	0.0600215	0.0481035
a35	0.130388	0.173659	0.241227	0.193194	0.141684	0.119847
a66	0.0991975	0.122531	0.180123	0.209116	0.213693	0.175339
a75	0.0765742	0.0976672	0.15783	0.19278	0.230562	0.244587
a14	0.0355094	0.0360045	0.0715132	0.170362	0.328085	0.358526
a73	0.0553492	0.0549708	0.0961963	0.190165	0.300688	0.302631
a90	0.0296408	0.0255122	0.0414642	0.117436	0.325452	0.460495
a76	0.0119357	0.0115594	0.0262803	0.105274	0.355393	0.489558
a73	0.0146626	0.0132289	0.0279938	0.115991	0.347196	0.480928
a84	0.0106077	0.00984023	0.0193868	0.0853429	0.33091	0.543912
a57	0.00534464	0.00571413	0.010935	0.0400617	0.214407	0.723538
a87	0.014226	0.018628	0.0275434	0.0615558	0.221934	0.656113
</S>	0.0308143	0.0511446	0.0811727	0.163532	0.272579	0.400757
