 	l'	enfant	a	envoyé	un	lot	de	cuillères	</S>
a66	0.223857	0.220227	0.167639	0.157126	0.119993	0.0729989	0.0229222	0.00834011	0.00689756
a87	0.591009	0.254211	0.0730288	0.0299454	0.014419	0.0100989	0.0082897	0.00850522	0.010493
a23	0.527887	0.252052	0.0911678	0.046674	0.0267091	0.0163427	0.00853127	0.0104143	0.0202213
a87	0.37999	0.144932	0.0626168	0.0397738	0.0372358	0.0617039	0.0494368	0.060813	0.163498
a23	0.374811	0.180567	0.0839908	0.0529831	0.0523561	0.0577311	0.0434501	0.0510989	0.103011
a53	0.266262	0.113274	0.0692003	0.0592081	0.0757229	0.0846331	0.0636199	0.0851226	0.182957
a54	0.204339	0.14904	0.150413	0.16672	0.120027	0.0890655	0.049896	0.0347074	0.0357921
a79	0.115664	0.121075	0.170229	0.218731	0.145542	0.121012	0.0633075	0.0253992	0.0190409
a37	0.082894	0.130531	0.213965	0.256204	0.148892	0.0954049	0.0400623	0.0161991	0.015848
a5	0.0836629	0.107783	0.169642	0.213173	0.164991	0.145449	0.0627636	0.0262053	0.0263291
a36	0.0630352	0.0778618	0.13248	0.185975	0.170785	0.178501	0.0891469	0.0471529	0.0550625
a43	0.0517301	0.0627536	0.120561	0.185104	0.179784	0.178878	0.086766	0.0614345	0.0729891
a31	0.0362575	0.0447965	0.0939425	0.167223	0.19435	0.194291	0.100666	0.0787865	0.0896861
a11	0.0270526	0.031959	0.0698385	0.140425	0.214573	0.225229	0.134166	0.0856263	0.0711318
a50	0.025334	0.0289096	0.0493881	0.0873834	0.194513	0.271819	0.172569	0.0934905	0.076593
a96	0.0246869	0.0292763	0.0460422	0.0747057	0.15746	0.249426	0.192579	0.107063	0.118761
a66	0.0190583	0.0214816	0.0365349	0.0672664	0.131348	0.190906	0.195008	0.177111	0.161286
a4	0.0112802	0.0136481	0.021085	0.0330916	0.0574033	0.119274	0.19832	0.24082	0.305078
a13	0.013389	0.0145311	0.0199534	0.0292932	0.0545688	0.0994586	0.177862	0.254562	0.336382
a88	0.0050945	0.00541137	0.00776688	0.0111061	0.0192763	0.0456956	0.112556	0.305208	0.487886
a71	0.00213468	0.00201842	0.00290357	0.00547245	0.0116165	0.0283887	0.0821136	0.314192	0.55116
a13	0.00453196	0.00432281	0.00557737	0.00754723	0.0118655	0.0198994	0.0735107	0.339888	0.532857
a4	0.00445332	0.00384598	0.00469171	0.00670718	0.0114661	0.0200934	0.0957162	0.379739	0.473287
a90	0.000720988	0.000690524	0.00127621	0.00227097	0.00587591	0.0158123	0.0816315	0.328565	0.563156
a56	0.000315012	0.000329997	0.000664037	0.0012563	0.00351209	0.0108597	0.0483061	0.252593	0.682164
a75	0.000202932	0.000211914	0.000421767	0.000836571	0.0025551	0.00913179	0.0477701	0.269845	0.669025
a6	9.52972e-05	9.8313e-05	0.000162751	0.000289441	0.000962836	0.00552328	0.0338795	0.271338	0.68765
a0	8.58679e-05	8.69211e-05	0.000163322	0.000306772	0.000976066	0.00464134	0.0285069	0.226889	0.738344
a11	0.000188664	0.000184727	0.000345747	0.000570814	0.00150573	0.00534448	0.0362022	0.252711	0.702946
a12	0.000284102	0.000273086	0.000491829	0.000775026	0.0017001	0.00362746	0.026098	0.248312	0.718439
a18	0.000261069	0.000227841	0.000343584	0.000547988	0.00142765	0.0036577	0.0247789	0.239028	0.729727
a71	0.00146025	0.00117832	0.00157212	0.00237493	0.00434688	0.00678433	0.0363431	0.269482	0.676459
a82	0.0430252	0.0245036	0.0215874	0.0211622	0.0206338	0.0223733	0.0682825	0.267503	0.510929
a87	0.30893	0.157812	0.0719601	0.040207	0.028925	0.0270084	0.0545089	0.130395	0.180254
a23	0.359283	0.248314	0.129969	0.0578108	0.0322351	0.0203064	0.0229514	0.047711	0.0814196
a87	0.174571	0.128509	0.0900675	0.0408698	0.0349629	0.039971	0.0567781	0.170963	0.263308
a23	0.0209731	0.013025	0.0107748	0.00843115	0.0129164	0.0250288	0.0687357	0.297309	0.542806
a87	0.0501125	0.0317857	0.0264386	0.0185725	0.0267537	0.0449224	0.0853229	0.254861	0.46123
</S>	0.021346	0.0174342	0.0208752	0.0175822	0.0301149	0.0546864	0.102402	0.248506	0.487053
