 	il	faut	que	tu	passes	la	nuit	chez	nous	</S>
a66	0.219209	0.198758	0.172889	0.164862	0.101408	0.051409	0.0414233	0.0263981	0.0138041	0.00983867
a87	0.24871	0.216193	0.153519	0.118582	0.115882	0.0647855	0.0381666	0.0201658	0.0129283	0.0110685
a23	0.27944	0.230592	0.193362	0.152888	0.0935073	0.0167823	0.00936225	0.00821472	0.00789238	0.00795812
a44	0.228027	0.215874	0.18603	0.144662	0.123708	0.0260833	0.0143586	0.0151285	0.0197235	0.0264046
a58	0.146169	0.132921	0.101354	0.126731	0.224176	0.0898618	0.0565495	0.0395432	0.0399315	0.0427634
a53	0.200607	0.190235	0.163577	0.169796	0.168697	0.0475235	0.0226806	0.0142921	0.012057	0.0105343
a15	0.15105	0.172186	0.18078	0.208074	0.179724	0.0590496	0.0225136	0.0110512	0.00867534	0.00689597
a69	0.14093	0.145035	0.14343	0.178059	0.181381	0.0964766	0.0527037	0.0254783	0.0202918	0.0162148
a79	0.0873759	0.0881595	0.107417	0.160763	0.196226	0.154956	0.101094	0.0434224	0.0349308	0.0256556
a25	0.0782163	0.0720766	0.0835739	0.11622	0.167356	0.213052	0.153047	0.0510118	0.0371091	0.0283372
a79	0.0509272	0.0444391	0.0554103	0.0776953	0.164965	0.241575	0.190685	0.0713079	0.054982	0.0480134
a56	0.0742368	0.0666235	0.0940645	0.129081	0.173006	0.187483	0.143959	0.0562483	0.0393048	0.0359928
a34	0.0504026	0.0447665	0.0752124	0.0935222	0.164905	0.219113	0.193161	0.0781744	0.0439796	0.0367633
a93	0.0325575	0.0275973	0.0467398	0.0530259	0.121932	0.22656	0.241656	0.134085	0.0639576	0.0518882
a94	0.0222409	0.0179724	0.0280533	0.0322098	0.0848145	0.193912	0.244033	0.192081	0.0976427	0.08704
a90	0.0120645	0.00829717	0.00983555	0.0101174	0.0208574	0.0678894	0.1507	0.271716	0.216236	0.232287
a25	0.011435	0.00896526	0.0125879	0.0140277	0.0318598	0.0793259	0.145247	0.291037	0.197511	0.208003
a79	0.00772305	0.00585162	0.00813865	0.00886042	0.0285293	0.0696809	0.111831	0.253724	0.228691	0.276971
a7	0.0135596	0.00997948	0.0120531	0.010981	0.0236398	0.0513904	0.0907882	0.240418	0.251196	0.295994
a37	0.0112092	0.00752786	0.00843191	0.00809856	0.0184262	0.0330251	0.0601152	0.173381	0.243073	0.436712
a12	0.0093464	0.0058818	0.00534325	0.00449139	0.00948982	0.0158348	0.0273595	0.108925	0.249634	0.563694
a43	0.00139036	0.000871023	0.0010188	0.000926853	0.00252367	0.00657572	0.0150213	0.0886638	0.284038	0.59897
a0	0.00488018	0.00320716	0.00330869	0.003035	0.0104914	0.0254004	0.0439292	0.132788	0.235742	0.537218
a9	0.0417765	0.0281106	0.0225731	0.0177711	0.0268621	0.0374566	0.0615282	0.14758	0.209263	0.407079
a10	0.219099	0.149216	0.10295	0.0705225	0.0679613	0.0547082	0.0596508	0.0784231	0.0810202	0.116449
a87	0.266633	0.197325	0.155829	0.123977	0.0932822	0.0368985	0.030284	0.0337826	0.027674	0.0343143
a23	0.206184	0.168042	0.158829	0.145562	0.124726	0.0475726	0.0318118	0.0447247	0.0364295	0.0361184
a99	0.071619	0.0593984	0.0576988	0.0520964	0.0818994	0.0493565	0.0524594	0.133018	0.184213	0.258241
a97	0.0347931	0.0288967	0.0299012	0.0286995	0.0639406	0.0674668	0.0901789	0.151848	0.214084	0.290191
</S>	0.020417	0.0132776	0.0137236	0.0124775	0.0248078	0.0321689	0.0477965	0.108462	0.229295	0.497574
