 	la	chèvre	a	abandonné	ses	petits	</S>
a23	0.15409	0.18425	0.270756	0.207513	0.107308	0.0443567	0.0317266
a10	0.398158	0.217602	0.155237	0.0836489	0.0569013	0.0394929	0.0489604
a87	0.346503	0.244054	0.142434	0.0719804	0.0610709	0.0520973	0.0818609
a23	0.328873	0.263428	0.151305	0.0618808	0.0567274	0.0550428	0.082743
a35	0.43032	0.241896	0.128087	0.0508028	0.0432964	0.0419754	0.0636223
a66	0.597663	0.233834	0.084808	0.0308532	0.0188328	0.0163908	0.0176181
a76	0.55425	0.281192	0.0881369	0.031686	0.019565	0.0125564	0.0126135
a30	0.32099	0.290806	0.172064	0.0936838	0.0613598	0.0328798	0.0282165
a35	0.313022	0.266851	0.185131	0.107655	0.0651108	0.033974	0.0282564
a32	0.28058	0.279898	0.207477	0.114683	0.0664245	0.0291541	0.0217827
a24	0.307334	0.258268	0.198611	0.11501	0.063548	0.0314949	0.0257338
a26	0.34535	0.263666	0.190462	0.100028	0.0575798	0.0247678	0.0181474
a24	0.294972	0.270547	0.200252	0.113426	0.0670584	0.0289458	0.0247986
a25	0.307359	0.266163	0.183017	0.107367	0.0751091	0.0354378	0.0255469
a87	0.130851	0.171067	0.206682	0.164973	0.139505	0.0847571	0.102165
a40	0.0541713	0.0496341	0.0906857	0.148553	0.210075	0.212492	0.234389
a30	0.150806	0.148869	0.182438	0.15977	0.127765	0.106412	0.12394
a35	0.144309	0.1539	0.163964	0.155178	0.14107	0.120051	0.121528
a24	0.0919906	0.127733	0.153359	0.154234	0.159259	0.146259	0.167165
a25	0.109889	0.149922	0.16125	0.153087	0.14656	0.134647	0.144644
a87	0.0386911	0.05765	0.114159	0.163943	0.196337	0.202504	0.226715
a23	0.0146034	0.0186336	0.0435721	0.0872518	0.132274	0.265728	0.437937
a38	0.0136388	0.0176523	0.0472837	0.0935282	0.146063	0.283386	0.398448
a35	0.0416875	0.0481084	0.0867553	0.116972	0.134388	0.208511	0.363578
a30	0.0521224	0.0662893	0.0899152	0.107638	0.127737	0.20556	0.350738
a44	0.0310586	0.0505626	0.0894612	0.117097	0.145394	0.215526	0.3509
a26	0.00914657	0.0140572	0.0373637	0.0749194	0.124137	0.257787	0.482589
a38	0.00895321	0.0132528	0.0369376	0.0743809	0.121907	0.251847	0.492722
a14	0.010708	0.0161493	0.0372773	0.0649513	0.109729	0.245045	0.516141
a35	0.0121124	0.021078	0.0399788	0.0653109	0.107598	0.24331	0.510612
a30	0.0110924	0.0164027	0.0300475	0.0580201	0.109813	0.251559	0.523065
a57	0.0129431	0.0196157	0.0431649	0.0767361	0.139083	0.256919	0.451538
a87	0.0289901	0.0261414	0.0326014	0.0534467	0.0979806	0.258386	0.502453
a23	0.0374486	0.029448	0.0606706	0.10122	0.141686	0.258286	0.371241
a87	0.0723327	0.0661537	0.1021	0.169971	0.174583	0.197406	0.217453
</S>	0.076685	0.0681371	0.105049	0.106296	0.133445	0.210458	0.299929
