 	ibara	avait	l'	orgueil	de	ne	pas	manger	des	aliments	préparés	par	un	inconnu	</S>
a66	0.0849737	0.0942981	0.107619	0.123267	0.0926153	0.064677	0.0728374	0.0931164	0.0912415	0.0785682	0.04643	0.0261045	0.011076	0.00584291	0.00733284
a87	0.267075	0.181344	0.138729	0.10884	0.109662	0.0474833	0.0472719	0.0397406	0.0246465	0.0109189	0.00482296	0.00434584	0.00438227	0.00401563	0.00672251
a23	0.291239	0.195877	0.138019	0.145233	0.0899006	0.0399969	0.0334268	0.022837	0.0148319	0.00986885	0.00520446	0.00300431	0.00294544	0.00284623	0.00476942
a18	0.291189	0.179136	0.126194	0.19728	0.0950656	0.0397686	0.0213079	0.0115943	0.00705668	0.00477788	0.00330317	0.00270803	0.00431725	0.0053611	0.0109401
a83	0.171855	0.123092	0.110074	0.220173	0.157131	0.0675942	0.037812	0.0271784	0.0184134	0.012207	0.00660012	0.0054625	0.00855563	0.0120616	0.0217914
a54	0.193947	0.173082	0.132852	0.134366	0.108143	0.0596723	0.0471178	0.0457658	0.0300118	0.021223	0.0106882	0.00816634	0.0089201	0.0101315	0.0159129
a6	0.0863141	0.0998458	0.0970119	0.138827	0.12132	0.0717443	0.0638553	0.0734033	0.063035	0.0451041	0.0327759	0.0256263	0.0221617	0.0233649	0.0356109
a5	0.0982304	0.133569	0.127691	0.137558	0.114523	0.0571683	0.052111	0.0714228	0.0594483	0.0378506	0.0274822	0.0198473	0.0146832	0.0167111	0.0317036
a12	0.104554	0.119646	0.115279	0.173453	0.146201	0.0624657	0.0497025	0.0665054	0.0540031	0.0302863	0.0188055	0.0132835	0.00963569	0.0105766	0.0256028
a43	0.103004	0.113687	0.108947	0.169376	0.158482	0.0913968	0.0693046	0.0685972	0.0450459	0.0312425	0.0166076	0.00761199	0.00456792	0.00411495	0.0080133
a21	0.0879503	0.093943	0.0883107	0.125258	0.125988	0.101738	0.0889488	0.087473	0.0627941	0.05672	0.0373847	0.0187325	0.00992958	0.00608442	0.00874532
a61	0.0824581	0.0883991	0.0781461	0.110905	0.102687	0.0896404	0.0876817	0.102647	0.0824246	0.0741049	0.0465233	0.0235643	0.0127382	0.0072185	0.0108612
a56	0.0441262	0.0532261	0.0561036	0.0786179	0.0866835	0.094041	0.0927489	0.111091	0.105982	0.111969	0.0862634	0.0397972	0.0179194	0.00943183	0.011999
a90	0.0292247	0.0382703	0.0451077	0.0698072	0.0736235	0.0722523	0.0734782	0.100613	0.10959	0.123004	0.112466	0.0698891	0.0385704	0.0188365	0.025268
a98	0.0193557	0.0246756	0.0315194	0.0420741	0.0559718	0.0601137	0.0644823	0.0950886	0.120536	0.130302	0.133098	0.0962471	0.0612046	0.0286596	0.0366711
a85	0.00797754	0.012928	0.0206851	0.0255187	0.0388407	0.048933	0.0625305	0.108031	0.134318	0.130232	0.129032	0.104836	0.0876065	0.0456562	0.0428742
a21	0.00596085	0.010417	0.01867	0.0239935	0.0363542	0.0498466	0.0579565	0.0941216	0.11771	0.126591	0.130249	0.103688	0.100368	0.0606528	0.063423
a12	0.00742899	0.00875591	0.0115968	0.0167169	0.0222198	0.0356356	0.0460862	0.0763474	0.127131	0.204603	0.189306	0.0940409	0.0739968	0.0408264	0.0453079
a18	0.00641606	0.00792248	0.0106461	0.0143668	0.0208058	0.0353911	0.0456117	0.0709049	0.108072	0.163916	0.208028	0.107615	0.0896008	0.0539052	0.0567976
a71	0.0158372	0.0244313	0.0465479	0.0656343	0.108706	0.111512	0.0833014	0.0662874	0.0553159	0.0443622	0.0981546	0.0595953	0.0596303	0.0541816	0.106503
a25	0.0209552	0.0347826	0.0605365	0.0832797	0.112901	0.112962	0.0905543	0.0749003	0.0655804	0.0473535	0.0983447	0.0601823	0.0467941	0.0325641	0.0583089
a82	0.0363956	0.0404033	0.0473342	0.0610252	0.0651835	0.0655153	0.0616691	0.0639592	0.0682127	0.0574263	0.121888	0.0705657	0.0742735	0.0675529	0.098596
a87	0.0471256	0.0524306	0.0554742	0.0713071	0.069387	0.0615529	0.0595729	0.0661421	0.0690596	0.0655422	0.116774	0.0685006	0.0515458	0.0488751	0.0967102
a23	0.0945934	0.104973	0.088725	0.0752349	0.0688498	0.0279056	0.0274895	0.0443678	0.0489126	0.0470974	0.0665674	0.057748	0.0468193	0.0566785	0.144038
a30	0.078106	0.0723354	0.0628419	0.0446637	0.0419093	0.0174938	0.0167757	0.028517	0.0362659	0.0343416	0.058337	0.0673249	0.0862829	0.105554	0.249251
a53	0.016059	0.0177733	0.0214974	0.0203301	0.0263004	0.0135333	0.0145331	0.0246966	0.0312898	0.0253244	0.0433532	0.0635304	0.118252	0.197488	0.36604
a20	0.0141752	0.0168452	0.0194743	0.0200294	0.0282797	0.0173966	0.0232352	0.0477801	0.0689147	0.0692406	0.0835874	0.0672644	0.0766029	0.134985	0.312189
