 	amvoulou	a	trahi	son	village	à	cause	de	sa	cupidité	</S>
a66	0.539326	0.265576	0.0915708	0.0260731	0.0216632	0.0201506	0.0118162	0.0087614	0.00548122	0.00466926	0.00491147
a87	0.795175	0.0757218	0.0359868	0.0135401	0.0110554	0.0124753	0.0100104	0.00943395	0.0100233	0.0120146	0.0145631
a23	0.529894	0.138232	0.0775772	0.0311624	0.0313391	0.0336418	0.0277151	0.0285455	0.0312528	0.0348982	0.0357419
a40	0.143152	0.074126	0.0581269	0.0404589	0.0684968	0.0862409	0.0856063	0.0804674	0.095256	0.116606	0.151463
a7	0.400385	0.193582	0.108426	0.0644584	0.0619567	0.0546986	0.0398757	0.026542	0.0197392	0.0170946	0.0132422
a44	0.27122	0.334298	0.245476	0.0598681	0.0236685	0.0158396	0.0110694	0.00938259	0.00863896	0.00986161	0.0106775
a93	0.111256	0.271255	0.300958	0.134851	0.0677829	0.0398464	0.0231641	0.0154421	0.0110143	0.0115788	0.0128524
a90	0.0736789	0.230639	0.288033	0.176467	0.0972641	0.0497646	0.0289979	0.017988	0.0127848	0.0113536	0.0130295
a15	0.0424886	0.196752	0.282683	0.203127	0.111561	0.0582778	0.0350475	0.0230337	0.0150397	0.0135131	0.0184774
a47	0.0544118	0.177858	0.223593	0.172574	0.0910505	0.0526618	0.0382526	0.0361962	0.0388406	0.0472653	0.0672963
a85	0.087424	0.192557	0.243365	0.182698	0.0757401	0.0420062	0.0256644	0.0233414	0.0256786	0.0386239	0.0629013
a6	0.0638142	0.180266	0.208189	0.161242	0.0922836	0.0616436	0.0438092	0.0392771	0.0366413	0.0470732	0.0657603
a36	0.0718857	0.224304	0.205795	0.154818	0.0969874	0.0672437	0.0441862	0.0349992	0.0280005	0.0320639	0.0397159
a0	0.0245653	0.117406	0.109898	0.130195	0.115031	0.0960604	0.0761317	0.0740408	0.0751795	0.0810839	0.100408
a61	0.0189749	0.0636678	0.0593595	0.0996446	0.131459	0.142257	0.11858	0.100949	0.0855411	0.081451	0.0981164
a62	0.0156725	0.0279831	0.0260378	0.0562884	0.10711	0.157385	0.157014	0.145182	0.109176	0.0916479	0.106502
a96	0.0224341	0.0323162	0.0305849	0.0483722	0.0926806	0.140107	0.171022	0.154342	0.113758	0.0881313	0.106253
a83	0.0203245	0.0292167	0.0297872	0.0485284	0.0857806	0.127273	0.167002	0.153947	0.123201	0.0977645	0.117174
a93	0.0147276	0.0220193	0.023426	0.0369849	0.0622165	0.0982413	0.151194	0.164536	0.164002	0.12912	0.133533
a4	0.00780497	0.00877159	0.00911735	0.0156127	0.0327713	0.068667	0.130586	0.18334	0.214642	0.173387	0.1553
a90	0.00400493	0.00550801	0.00712747	0.0137947	0.0292471	0.0581599	0.115291	0.150394	0.215228	0.19978	0.201465
a25	0.0019557	0.00314355	0.00422519	0.00872698	0.0204946	0.0455532	0.0883451	0.131764	0.209504	0.234613	0.251675
a56	0.00134655	0.00215923	0.00307731	0.00707248	0.0205707	0.0453408	0.0860426	0.10528	0.185968	0.242197	0.300945
a75	0.00276541	0.00408872	0.00572244	0.00987157	0.0193448	0.0373006	0.0751267	0.119695	0.208463	0.252384	0.265238
a92	0.00100252	0.00155914	0.00223411	0.00413238	0.00896634	0.0182882	0.0397037	0.0798153	0.177593	0.277865	0.38884
a25	0.000839998	0.00144847	0.00236834	0.00484667	0.00973531	0.0191519	0.0393883	0.0731435	0.165268	0.279203	0.404607
a44	9.83542e-05	0.000474308	0.00120185	0.00412846	0.00923654	0.0163288	0.0278077	0.0434773	0.118044	0.267753	0.511449
a4	0.00043814	0.000972129	0.00199658	0.00456477	0.0089382	0.0202445	0.0455475	0.0739049	0.175548	0.314027	0.353818
a57	0.000639856	0.00158615	0.00302455	0.0063409	0.0113254	0.0240081	0.0496549	0.0759024	0.164253	0.288641	0.374624
a82	0.00142634	0.00142872	0.00244372	0.00496446	0.00931021	0.0182978	0.0364014	0.0710668	0.179535	0.324957	0.350169
a87	0.0448366	0.0357708	0.0466942	0.0567154	0.0654759	0.0835514	0.107324	0.117966	0.137777	0.147823	0.156065
a23	0.303071	0.0973636	0.0832749	0.0667419	0.0553412	0.0574593	0.0528433	0.0570167	0.0588126	0.0750568	0.0930185
a97	0.0503459	0.0243823	0.0195931	0.0186442	0.0245585	0.0464539	0.068011	0.109415	0.170927	0.233789	0.23388
</S>	0.00713582	0.0065676	0.00962348	0.0129969	0.0202022	0.0344477	0.0570985	0.0957482	0.183219	0.26171	0.31125
