 	le	ciel	est	devenu	noir	à	cause	de	la	pluie	</S>
a10	0.26436	0.118114	0.0779248	0.0864806	0.0949111	0.112315	0.0880943	0.0556509	0.0403968	0.0333567	0.0283957
a87	0.0957789	0.0846864	0.0849867	0.0803653	0.106293	0.113692	0.101514	0.0794965	0.0814449	0.0770483	0.094694
a99	0.177837	0.11219	0.0717484	0.0537959	0.0630189	0.074013	0.0754371	0.067553	0.084551	0.0921405	0.127715
a83	0.214196	0.177988	0.125699	0.0960653	0.0862233	0.0666126	0.0533406	0.0380718	0.0397404	0.0426963	0.0593675
a93	0.271682	0.22365	0.137827	0.116712	0.0795576	0.0453093	0.0314058	0.0224321	0.0209962	0.0231159	0.0273126
a90	0.30636	0.32748	0.152806	0.0874061	0.0442733	0.0210967	0.0142424	0.00980073	0.00942786	0.0109456	0.0161621
a25	0.239142	0.292717	0.164018	0.109234	0.0528689	0.0282779	0.0205728	0.0163493	0.0176532	0.023012	0.0361542
a56	0.203238	0.290977	0.199908	0.125141	0.07026	0.0328318	0.0200828	0.0131586	0.0120715	0.0135038	0.0188278
a47	0.164144	0.240528	0.201844	0.151297	0.0909124	0.0472952	0.0274256	0.0174055	0.0161293	0.0183363	0.0246817
a62	0.12962	0.157229	0.166515	0.180729	0.136756	0.0797969	0.0458285	0.0267536	0.0228465	0.0240607	0.0298638
a88	0.107477	0.100086	0.131587	0.169876	0.162529	0.114845	0.0725507	0.040313	0.0318247	0.0315784	0.037333
a62	0.0604662	0.0507821	0.0696437	0.119086	0.158158	0.153039	0.122716	0.0824106	0.0646362	0.0565066	0.0625542
a47	0.0442255	0.0345079	0.0483945	0.0921685	0.145946	0.165913	0.152073	0.107279	0.0802603	0.0633688	0.0658638
a61	0.0335012	0.0222908	0.0313186	0.061581	0.109178	0.149341	0.158916	0.139064	0.117851	0.0902726	0.0866854
a31	0.0169574	0.015155	0.023429	0.048901	0.0905443	0.130932	0.150067	0.151731	0.144169	0.121067	0.107047
a0	0.0110667	0.00925102	0.0140344	0.0265295	0.0504493	0.0965827	0.142745	0.171864	0.183466	0.155905	0.138106
a47	0.00699051	0.00400586	0.00598474	0.0114197	0.0213662	0.0482203	0.0809241	0.135739	0.202153	0.226862	0.256335
a35	0.0176165	0.0118008	0.0158179	0.0262841	0.03931	0.0633242	0.0926365	0.132947	0.18466	0.197555	0.218048
a38	0.00372835	0.00214645	0.00304529	0.00492499	0.00821481	0.0167706	0.0299581	0.0714103	0.171696	0.266477	0.421628
a93	0.000871554	0.000643073	0.00097732	0.00156795	0.00273434	0.00635393	0.0133183	0.0414792	0.142809	0.282972	0.506274
a13	0.000594952	0.000328438	0.000476233	0.000957316	0.00191516	0.00553605	0.0139253	0.0443209	0.14453	0.267251	0.520164
a9	0.000730085	0.000409899	0.000702166	0.00120511	0.00209487	0.00647769	0.014847	0.0498605	0.153144	0.292497	0.478032
a3	0.0215244	0.008023	0.00876684	0.0109681	0.0137933	0.0277096	0.0368032	0.0702998	0.152072	0.255477	0.394563
a82	0.137878	0.0626593	0.0431743	0.0404956	0.0501232	0.08564	0.090064	0.100533	0.121079	0.123692	0.144661
a97	0.118316	0.0583456	0.0410556	0.0453154	0.0612475	0.0871552	0.0826593	0.0931952	0.122481	0.131937	0.158292
a87	0.130832	0.0643671	0.0550032	0.0604643	0.069511	0.0907974	0.0815769	0.0838011	0.112285	0.11778	0.133582
a23	0.153047	0.0794175	0.0674142	0.0697489	0.0715886	0.0833237	0.0742811	0.0727165	0.102655	0.107246	0.118561
a87	0.0289377	0.0217615	0.0220135	0.0287624	0.0470236	0.0725149	0.0849711	0.105551	0.169093	0.18538	0.233992
a85	0.0326548	0.0201222	0.0211702	0.024642	0.0365498	0.0485855	0.0577047	0.076852	0.147062	0.203553	0.331104
</S>	0.0203106	0.012389	0.0134278	0.0149186	0.0231938	0.0462745	0.0704774	0.103609	0.194978	0.231925	0.268497
