 	les	enfants	se	trouvent	dans	la	maison	</S>
a87	0.403522	0.236775	0.168306	0.0787854	0.0470889	0.0272764	0.019077	0.0191696
a23	0.266533	0.159597	0.155084	0.100839	0.0917315	0.0756828	0.0775147	0.0730181
a13	0.256182	0.191195	0.197781	0.0964675	0.0737875	0.0574817	0.0614243	0.0656817
a98	0.349908	0.231423	0.159336	0.0769464	0.0563572	0.0459971	0.037446	0.0425862
a41	0.392044	0.210936	0.170994	0.0709292	0.0490102	0.0412843	0.034975	0.0298273
a37	0.353139	0.206578	0.177272	0.0910512	0.0630825	0.0439501	0.0357054	0.0292212
a85	0.292334	0.177559	0.144008	0.119321	0.0929444	0.063893	0.0566701	0.0532714
a41	0.270163	0.194953	0.152062	0.109762	0.0846304	0.0611788	0.0604634	0.0667874
a18	0.176127	0.138432	0.103049	0.103007	0.114611	0.0973861	0.114728	0.15266
a61	0.0944759	0.0941017	0.0754277	0.122326	0.160762	0.127221	0.139648	0.186039
a0	0.0720165	0.0657464	0.0491142	0.0809122	0.155722	0.15524	0.183986	0.237263
a75	0.0321572	0.0282814	0.0246459	0.0405607	0.105747	0.158926	0.23643	0.373252
a85	0.0500728	0.0423684	0.0417301	0.0439666	0.0942993	0.137975	0.203156	0.386433
a18	0.0227902	0.0179993	0.0205988	0.0242721	0.0626413	0.124925	0.222361	0.504413
a88	0.0146	0.0159335	0.0295802	0.03751	0.072965	0.129599	0.216299	0.483513
a21	0.0060967	0.00722676	0.0169741	0.0218919	0.0517871	0.10845	0.224725	0.562849
a62	0.014204	0.0155321	0.0289812	0.0343775	0.0624945	0.122384	0.216159	0.505868
a83	0.0103774	0.0131196	0.0284525	0.0361937	0.0747032	0.131759	0.214387	0.491008
a9	0.00666211	0.0099972	0.0259929	0.0304434	0.0633458	0.11787	0.225819	0.51987
a87	0.0445331	0.0505727	0.0778516	0.0623509	0.089998	0.113105	0.183235	0.378354
a23	0.239231	0.18059	0.153528	0.0838695	0.0724516	0.0650936	0.0876331	0.117603
a87	0.0817192	0.0677748	0.081469	0.0663417	0.0825631	0.116914	0.188093	0.315125
</S>	0.0110544	0.0117199	0.0169294	0.0330011	0.0877286	0.159552	0.274431	0.405584
