 	la	salive	s'	est	accumulée	dans	sa	bouche	</S>
a82	0.146358	0.102996	0.0983201	0.110861	0.129482	0.121037	0.106951	0.0960173	0.0879769
a10	0.0981796	0.0875771	0.0873126	0.0921939	0.106777	0.12324	0.146271	0.144869	0.11358
a87	0.267049	0.212108	0.152869	0.10364	0.0796235	0.0614456	0.0529403	0.0426351	0.0276895
a23	0.272024	0.229663	0.174047	0.109362	0.0658336	0.0547882	0.0449724	0.0309859	0.0183238
a87	0.151975	0.183698	0.21069	0.153812	0.12085	0.0875038	0.0527511	0.0274631	0.0112561
a57	0.220704	0.191748	0.176067	0.122192	0.0907528	0.0890896	0.0609157	0.0341733	0.0143572
a38	0.198451	0.181014	0.174831	0.122592	0.081023	0.100707	0.0711347	0.0473811	0.0228671
a20	0.19703	0.142866	0.123584	0.12569	0.111815	0.131632	0.0812266	0.0513037	0.0348522
a73	0.369165	0.180929	0.129714	0.103251	0.0625013	0.0602062	0.0420553	0.028252	0.0239266
a26	0.270263	0.135761	0.0992916	0.0946999	0.0822774	0.106256	0.0853089	0.0679355	0.058206
a11	0.161627	0.118646	0.0961804	0.0969336	0.102644	0.113753	0.105923	0.102812	0.101481
a94	0.127686	0.122245	0.114881	0.103145	0.106124	0.105852	0.106148	0.111103	0.102815
a0	0.114048	0.10893	0.109853	0.102247	0.113461	0.102601	0.106035	0.122952	0.119872
a94	0.0787685	0.095553	0.0974597	0.09347	0.10436	0.0992658	0.113543	0.148396	0.169184
a66	0.0795945	0.10388	0.116534	0.112234	0.112649	0.0936787	0.10529	0.127041	0.149098
a50	0.0355819	0.0629611	0.0743429	0.0739238	0.09243	0.088754	0.113358	0.182055	0.276593
a98	0.0237207	0.0508168	0.0680188	0.0753442	0.104875	0.105505	0.125854	0.187535	0.258331
a83	0.0613509	0.0828505	0.0959823	0.0962244	0.100735	0.0955762	0.115209	0.133724	0.218348
a54	0.017974	0.0346902	0.044836	0.0500814	0.0681412	0.0894445	0.128908	0.193294	0.372631
a56	0.0125496	0.0199869	0.0245594	0.0296257	0.0437556	0.0848381	0.128068	0.186025	0.470592
a0	0.0254946	0.0414808	0.0554347	0.0605632	0.0779671	0.100517	0.121805	0.158775	0.357963
a69	0.00593428	0.0135239	0.022291	0.0270325	0.044087	0.0856357	0.125483	0.148041	0.527972
a44	0.00751458	0.0133276	0.0177092	0.0214195	0.0342917	0.0838643	0.122706	0.146539	0.552628
a26	0.00240878	0.00584537	0.0099232	0.0127301	0.0247008	0.0740135	0.115183	0.141849	0.613347
a30	0.00617321	0.0143842	0.0202198	0.0248123	0.0417155	0.0826074	0.125807	0.163136	0.521144
a57	0.0276818	0.045241	0.0652187	0.0764899	0.108466	0.142057	0.151068	0.16939	0.214388
a87	0.0526662	0.0649658	0.0645504	0.0654903	0.0883217	0.112766	0.129803	0.152762	0.268674
a57	0.0452517	0.0557923	0.0556943	0.059389	0.0815437	0.131018	0.156383	0.151173	0.263755
a10	0.078336	0.0817885	0.0749503	0.0747195	0.0922995	0.114519	0.13776	0.132788	0.212839
a57	0.0747794	0.0900375	0.0868859	0.0834832	0.0952518	0.133371	0.141257	0.119366	0.175569
</S>	0.0810632	0.0924291	0.089016	0.0873019	0.103613	0.13063	0.13577	0.118492	0.161686
