 	je	travaille	dans	notre	champ	de	canne	à	sucre	</S>
a66	0.230377	0.193129	0.164539	0.128604	0.105208	0.0758661	0.0425303	0.0280749	0.016669	0.0150023
a87	0.385813	0.131237	0.0970144	0.0560502	0.0566354	0.0595304	0.0551533	0.0508183	0.0509329	0.0568155
a38	0.317658	0.174395	0.100911	0.0648177	0.0632564	0.0630963	0.0489258	0.042658	0.051493	0.0727888
a75	0.307584	0.178512	0.131725	0.0850647	0.0790807	0.0590378	0.0436657	0.0343366	0.0331928	0.0478003
a85	0.193254	0.172436	0.165391	0.0959378	0.0788021	0.0638755	0.0520976	0.0553852	0.0519586	0.0708621
a5	0.185469	0.192724	0.227105	0.105001	0.0751673	0.0503604	0.0352049	0.0369423	0.0375225	0.0545037
a12	0.216042	0.220735	0.206005	0.09645	0.0739627	0.0528053	0.0404508	0.0326403	0.0255387	0.0353705
a43	0.233208	0.211075	0.194027	0.105044	0.0827246	0.0581043	0.0395536	0.0273588	0.0212152	0.0276887
a75	0.142398	0.176676	0.200087	0.143544	0.114892	0.079189	0.049904	0.0325853	0.0271465	0.0335785
a85	0.107023	0.156721	0.184511	0.155903	0.126671	0.0939368	0.0562252	0.0377275	0.0366155	0.0446662
a5	0.0518472	0.0968315	0.138378	0.154966	0.128926	0.116987	0.0913124	0.0715688	0.0679325	0.0812507
a75	0.0573509	0.122178	0.15313	0.168242	0.139962	0.110542	0.0751118	0.0536404	0.0545919	0.0652523
a85	0.0167184	0.0426435	0.0770026	0.11576	0.116173	0.134168	0.14788	0.134739	0.107421	0.107494
a92	0.0149615	0.0434743	0.0811036	0.12709	0.121126	0.132399	0.140688	0.121404	0.103128	0.114627
a56	0.0151543	0.0373137	0.0636764	0.113889	0.121695	0.139312	0.145333	0.12709	0.114293	0.122245
a79	0.0112856	0.0232664	0.0429568	0.101743	0.135483	0.165337	0.161273	0.115936	0.111196	0.131522
a44	0.00580936	0.0118542	0.0236328	0.0611493	0.09091	0.134835	0.180045	0.149807	0.14717	0.194787
a75	0.00509016	0.00876141	0.0155535	0.0401576	0.0626554	0.111679	0.178963	0.169281	0.174513	0.233346
a56	0.00447828	0.00875297	0.0158098	0.0345554	0.0495151	0.0907096	0.164657	0.190157	0.199597	0.241768
a94	0.00373891	0.00775607	0.0139857	0.033568	0.0483492	0.0884012	0.180963	0.209004	0.188868	0.225367
a31	0.00261879	0.00469876	0.00822366	0.0199384	0.0320223	0.0630706	0.161131	0.224919	0.217956	0.265421
a43	0.00291847	0.00501467	0.00715365	0.0160957	0.0238753	0.0495453	0.119455	0.209928	0.269822	0.296192
a0	0.0016202	0.00279338	0.00421117	0.00985841	0.0150797	0.0323335	0.0912848	0.194138	0.298604	0.350077
a24	0.00294193	0.00384888	0.00563059	0.0102632	0.0139971	0.0277277	0.0823838	0.199104	0.316688	0.337415
a88	0.00438211	0.00528787	0.00747112	0.0128458	0.0164007	0.0289666	0.079387	0.182256	0.302016	0.360987
a71	0.00120739	0.00163485	0.00245139	0.004872	0.00693415	0.015211	0.0595789	0.17323	0.319755	0.415125
a58	0.0105795	0.00987662	0.0117819	0.0170795	0.0199523	0.0303382	0.0846718	0.190246	0.2727	0.352774
a4	0.0260273	0.020331	0.0223706	0.0286014	0.0300191	0.0395093	0.0845773	0.164706	0.247506	0.336352
a13	0.000768425	0.000994611	0.00175355	0.00370725	0.0055314	0.0139325	0.0567411	0.171563	0.319946	0.425063
a3	0.00428506	0.00479836	0.0059752	0.00956539	0.0112625	0.0190218	0.0574804	0.148779	0.29575	0.443082
a97	0.0613038	0.0322917	0.0274633	0.0282747	0.0291419	0.0363583	0.0586658	0.118422	0.24789	0.360189
a3	0.0923046	0.0442065	0.0354021	0.0322186	0.0362629	0.0437387	0.0661444	0.119514	0.233175	0.297033
a97	0.0781378	0.0431167	0.0363362	0.0359898	0.0471144	0.0653276	0.0951196	0.12837	0.213833	0.256655
a99	0.0669883	0.0376801	0.0346925	0.0433129	0.0628716	0.0795537	0.0977248	0.121604	0.197272	0.2583
a97	0.0316438	0.0153135	0.0137716	0.0181766	0.0265747	0.0423872	0.0663418	0.108035	0.245507	0.432248
a87	0.035004	0.0214914	0.0215341	0.0257455	0.0323789	0.0412152	0.0555924	0.0887423	0.223047	0.455249
a97	0.0665863	0.0400269	0.0351539	0.0357373	0.0420218	0.0471949	0.0588572	0.0833572	0.196177	0.394888
a30	0.072051	0.0445282	0.0380604	0.0328162	0.0366441	0.0436697	0.0544048	0.0833964	0.194804	0.399625
</S>	0.0515642	0.0313771	0.0251687	0.0240577	0.0262272	0.0358647	0.0486481	0.0839398	0.226209	0.446944
