 	la	fraîcheur	de	l'	eau	fait	mal	aux	dents	</S>
a15	0.181695	0.195479	0.150912	0.161161	0.142331	0.0792435	0.0456512	0.0212746	0.0116588	0.0105932
a66	0.200861	0.238288	0.176933	0.172304	0.10199	0.0569381	0.0307622	0.0101583	0.0057989	0.00596527
a87	0.360454	0.263978	0.161813	0.101325	0.0413348	0.0195828	0.0122636	0.00902078	0.0124361	0.017792
a23	0.301987	0.247002	0.172952	0.125401	0.0658254	0.0341027	0.0222952	0.0109913	0.00912881	0.0103149
a99	0.325304	0.233142	0.137465	0.0976403	0.0509751	0.0343884	0.0322024	0.024357	0.0275057	0.0370198
a90	0.320585	0.251388	0.108444	0.0831353	0.0491906	0.0361847	0.0353776	0.0326173	0.0358111	0.0472662
a56	0.296996	0.271831	0.132909	0.108466	0.0780396	0.0514253	0.0309176	0.0158196	0.00770552	0.00589037
a12	0.188586	0.214197	0.146906	0.12901	0.0978097	0.0782851	0.0581502	0.0460968	0.0257667	0.0151928
a61	0.147199	0.174702	0.134348	0.12232	0.10108	0.0974929	0.0717323	0.061485	0.0525714	0.0370682
a98	0.155117	0.18771	0.140757	0.126434	0.0985925	0.0874479	0.0616231	0.0534918	0.0502491	0.0385775
a15	0.0571251	0.0860231	0.107815	0.122861	0.133613	0.172609	0.120131	0.0886132	0.0637769	0.0474335
a98	0.0547959	0.0605541	0.0670178	0.081067	0.105665	0.147362	0.121958	0.115945	0.12869	0.116945
a47	0.0383494	0.0389885	0.0497896	0.066893	0.110223	0.163768	0.134775	0.129723	0.140624	0.126867
a15	0.0445243	0.0412279	0.053309	0.0735873	0.114199	0.135891	0.0954076	0.103173	0.148367	0.190313
a98	0.0254474	0.0193572	0.0238537	0.0387091	0.0819969	0.132058	0.123968	0.133983	0.19868	0.221946
a92	0.0516276	0.0419443	0.0542565	0.0778555	0.126061	0.156216	0.124243	0.110784	0.12142	0.135593
a85	0.0206363	0.0154153	0.018826	0.0281148	0.0593736	0.10019	0.128607	0.167193	0.223735	0.237909
a5	0.0124848	0.00805533	0.00913973	0.0126428	0.0274478	0.0484149	0.080682	0.15895	0.288178	0.354005
a43	0.00871193	0.00602294	0.00618664	0.00709413	0.0116958	0.0232876	0.0628182	0.139774	0.283441	0.450968
a0	0.00460088	0.0022521	0.00190576	0.00168316	0.00236026	0.00499364	0.0209541	0.0806979	0.288107	0.592445
a75	0.00362424	0.00162233	0.00141161	0.00137316	0.00229106	0.0049825	0.0163744	0.0589666	0.261646	0.647708
a6	0.000699793	0.000313057	0.000340911	0.000410031	0.000961126	0.00319159	0.0156502	0.0654998	0.269194	0.64374
a36	0.000305351	0.000128122	0.000137253	0.000154314	0.000373377	0.00135569	0.00788227	0.0450325	0.250353	0.694279
a61	0.00428389	0.00270338	0.00255742	0.00323499	0.00614423	0.0102791	0.0236525	0.063149	0.222579	0.661417
a18	0.00119739	0.000712743	0.000732825	0.00118935	0.00297717	0.00670856	0.017611	0.0561915	0.227308	0.685371
a38	0.0161506	0.00930903	0.00988781	0.0115378	0.0189725	0.0225923	0.0372847	0.080775	0.230243	0.563248
a82	0.0164801	0.0093498	0.0100876	0.0119238	0.0172219	0.0212737	0.0353463	0.0746056	0.222221	0.58149
a87	0.143862	0.077263	0.0707416	0.061076	0.05578	0.0460532	0.0549358	0.0716513	0.140888	0.277749
a23	0.216573	0.171251	0.165598	0.139541	0.109144	0.0681	0.049005	0.0294457	0.0243256	0.0270166
a87	0.0701697	0.0441149	0.039443	0.0275036	0.0194876	0.0219581	0.0460446	0.104045	0.247247	0.379987
</S>	0.00830747	0.00527577	0.00460349	0.00351231	0.00328174	0.00522501	0.0168696	0.0688093	0.298885	0.58523
