 	dans	la	maison	il	fait	chaud	</S>
a66	0.310184	0.189611	0.13276	0.123395	0.121785	0.0672055	0.0550587
a10	0.284349	0.184968	0.162073	0.138101	0.112699	0.0626655	0.055144
a87	0.493823	0.270676	0.124565	0.0516225	0.0268511	0.0174824	0.0149804
a23	0.471224	0.287399	0.137549	0.0519118	0.0255003	0.0142457	0.0121705
a87	0.41685	0.230698	0.123613	0.0797598	0.0646037	0.0483973	0.0360778
a23	0.44725	0.241095	0.124141	0.0746095	0.0509542	0.0348578	0.0270932
a87	0.394105	0.216345	0.12053	0.0895153	0.079171	0.0545582	0.0457765
a23	0.363352	0.201125	0.132869	0.107296	0.0922802	0.0596423	0.0434349
a10	0.351044	0.217777	0.143018	0.104969	0.0876017	0.0508587	0.0447318
a54	0.243538	0.185903	0.150038	0.143102	0.134862	0.0750812	0.0674749
a37	0.395144	0.30723	0.143064	0.0777662	0.0441346	0.0175095	0.0151514
a93	0.295633	0.282069	0.193075	0.112243	0.0699093	0.0259461	0.021124
a70	0.171449	0.205816	0.211646	0.155793	0.132845	0.0731976	0.0492548
a11	0.114646	0.146032	0.186569	0.164547	0.168146	0.126423	0.0936371
a62	0.0727394	0.0927047	0.134221	0.140152	0.175763	0.206634	0.177785
a83	0.0391228	0.049824	0.0978777	0.138795	0.195775	0.251235	0.22737
a50	0.0310157	0.0386532	0.0813419	0.126532	0.188441	0.271017	0.262998
a34	0.00954365	0.0112753	0.0276814	0.0673593	0.171616	0.34778	0.364744
a56	0.0162569	0.0188803	0.039478	0.0922596	0.210634	0.326256	0.296235
a18	0.0143823	0.0172237	0.0357342	0.0801286	0.186935	0.349585	0.316011
a83	0.00594613	0.00587693	0.0113973	0.0297285	0.127882	0.439063	0.380106
a37	0.00545054	0.00539922	0.0101936	0.027677	0.127387	0.44852	0.375373
a26	0.00271187	0.0026425	0.00465331	0.0135214	0.0738858	0.421344	0.481242
a27	0.0058241	0.00540802	0.00716743	0.016605	0.0613102	0.32991	0.573775
a26	0.015846	0.0133867	0.014555	0.027577	0.0732711	0.257093	0.598271
a10	0.125052	0.0805683	0.0593881	0.0703701	0.098644	0.184045	0.381932
a97	0.249528	0.151752	0.0867821	0.0743265	0.0827797	0.144007	0.210825
a87	0.25876	0.172131	0.101036	0.0802946	0.0864817	0.143199	0.158097
a23	0.148194	0.128258	0.108177	0.104092	0.133245	0.188578	0.189455
a87	0.16614	0.112455	0.087276	0.0980596	0.143354	0.201854	0.190862
a97	0.116853	0.0918677	0.0794401	0.107705	0.158999	0.215103	0.230033
a87	0.238647	0.158977	0.114932	0.108105	0.121696	0.130139	0.127503
a23	0.237935	0.179537	0.128948	0.116912	0.124137	0.109263	0.103268
a99	0.207133	0.153963	0.123622	0.135618	0.152319	0.121228	0.106118
a97	0.224888	0.137987	0.109571	0.113883	0.133156	0.148532	0.131983
</S>	0.264809	0.156323	0.110246	0.0993391	0.107516	0.132977	0.12879
