 	beaucoup	de	vieillards	sont	avides	de	viande	</S>
a66	0.404125	0.206766	0.134059	0.0752665	0.0769329	0.0459583	0.0315864	0.0253066
a87	0.252373	0.13841	0.099115	0.1311	0.174101	0.101591	0.0567407	0.04657
a23	0.238406	0.219083	0.250961	0.123588	0.0657088	0.0358671	0.0352873	0.0310994
a50	0.190917	0.23442	0.345813	0.133795	0.0416131	0.0181795	0.0175266	0.0177356
a31	0.294266	0.261445	0.31452	0.0766802	0.0246947	0.00855368	0.00807372	0.0117661
a11	0.25742	0.281377	0.254797	0.124285	0.0495215	0.0144634	0.00832283	0.00981282
a75	0.133389	0.225562	0.308564	0.213456	0.0767579	0.0196797	0.0109104	0.0116806
a21	0.119213	0.198593	0.24255	0.248751	0.110497	0.0369052	0.0214871	0.0220043
a31	0.0968632	0.189289	0.266276	0.256997	0.12021	0.0344207	0.0188728	0.0170714
a21	0.108799	0.157952	0.200272	0.243692	0.155929	0.0588597	0.0356778	0.0388194
a24	0.119494	0.121481	0.128482	0.200523	0.191815	0.0953905	0.0720394	0.0707749
a21	0.0294895	0.0262803	0.0278356	0.0847076	0.140319	0.196631	0.241523	0.253213
a5	0.0324346	0.0239115	0.0248009	0.0593279	0.131747	0.224348	0.26076	0.24267
a94	0.0111206	0.00730928	0.00729908	0.0226244	0.0862313	0.222452	0.31221	0.330754
a98	0.00167544	0.000804493	0.00058453	0.00326036	0.0195691	0.11542	0.353973	0.504713
a73	0.00113823	0.000622032	0.000534037	0.0026207	0.0109085	0.062652	0.31002	0.611505
a94	0.00120339	0.000535074	0.000396101	0.00196498	0.00635934	0.0376958	0.226408	0.725437
a98	0.000270996	9.17148e-05	5.08104e-05	0.000287859	0.00217923	0.0305209	0.238274	0.728324
a47	0.000198769	0.000101129	5.72372e-05	0.000547769	0.00505412	0.046014	0.258342	0.689685
a2	0.000698527	0.000379264	0.000194785	0.00125468	0.0106047	0.0682441	0.250327	0.668297
a57	0.151914	0.0783322	0.030096	0.0323254	0.0399905	0.0945796	0.216938	0.355825
a10	0.243778	0.127408	0.0607401	0.0460829	0.0619757	0.0826175	0.138649	0.238749
a27	0.240937	0.131926	0.0623896	0.0471808	0.0702448	0.104942	0.157568	0.184812
a97	0.155204	0.117017	0.0695191	0.0495258	0.0715119	0.124217	0.208211	0.204795
a38	0.07231	0.0566787	0.0441345	0.0385173	0.0599911	0.139719	0.305537	0.283112
</S>	0.0116078	0.0118752	0.0151777	0.018284	0.0390344	0.124129	0.402797	0.377095
