 	nous	n'	avons	pas	pu	poursuivre	le	lièvre	dans	cette	forêt	parce	qu'	elle	est	touffue	</S>
a84	0.0422365	0.0673838	0.102167	0.174957	0.138333	0.179624	0.163754	0.0908919	0.0175549	0.00606748	0.00477347	0.00338073	0.00233102	0.00162201	0.0015053	0.00168847	0.00172915
a87	0.260232	0.172321	0.0615737	0.0431453	0.02824	0.0843478	0.0838895	0.0752376	0.0273333	0.0110567	0.00855064	0.00817292	0.0107251	0.0127988	0.0197448	0.0475869	0.045044
a97	0.110723	0.0880059	0.0684083	0.049778	0.0386168	0.089227	0.0917423	0.1302	0.0537961	0.0360176	0.0334206	0.0302889	0.0281393	0.0255066	0.0235531	0.0411399	0.0614356
a99	0.139919	0.112254	0.0912486	0.0569917	0.0525639	0.112218	0.0874044	0.0764474	0.0399594	0.0318949	0.0321017	0.0325753	0.0303157	0.026678	0.0186631	0.0256019	0.0331632
a97	0.16217	0.135826	0.0925675	0.0786862	0.0641667	0.113458	0.0893325	0.0560975	0.0316845	0.0269041	0.026074	0.0238236	0.020602	0.0182212	0.0145009	0.020308	0.0255774
a87	0.102308	0.0890081	0.0626714	0.0854415	0.0753519	0.0970171	0.120775	0.0889989	0.0520774	0.041275	0.0418061	0.0357522	0.0286213	0.0232645	0.0169217	0.0189281	0.0197815
a97	0.130916	0.10463	0.0761069	0.0748093	0.0554298	0.0977898	0.101956	0.0752682	0.0498581	0.0414059	0.0400555	0.0356626	0.0302765	0.0252581	0.0177005	0.0212965	0.0215807
a99	0.142334	0.12063	0.0965079	0.0866516	0.0644305	0.112391	0.104685	0.0617015	0.0369325	0.0339794	0.0308753	0.0265879	0.0212791	0.0177727	0.0126673	0.014923	0.0156523
a61	0.183134	0.127045	0.0823992	0.0715731	0.0557691	0.0974976	0.105273	0.0631794	0.0408898	0.0383526	0.0334352	0.0271601	0.0200698	0.0157858	0.0114247	0.0136567	0.0133543
a0	0.220359	0.139792	0.0939042	0.0576827	0.0459384	0.0760759	0.110777	0.0693091	0.0304843	0.0267712	0.0267383	0.0245528	0.0205538	0.0149357	0.012168	0.015786	0.0141708
a61	0.273916	0.166239	0.109469	0.0457428	0.0359524	0.0646154	0.0861308	0.0613662	0.0229623	0.0193305	0.0204405	0.0198005	0.0179904	0.0134483	0.0118034	0.0163181	0.0144738
a75	0.227864	0.153643	0.125168	0.0538705	0.0533752	0.0818881	0.125575	0.104868	0.0166812	0.0102314	0.0106872	0.00917947	0.00761778	0.00535853	0.00423863	0.00469306	0.00506159
a5	0.193494	0.134793	0.117154	0.0503061	0.0422104	0.0932663	0.141704	0.106601	0.0320032	0.0185727	0.0190536	0.0141766	0.00979786	0.00599025	0.00515211	0.00756621	0.00815901
a36	0.135676	0.110516	0.126803	0.0566384	0.0569325	0.0961258	0.168216	0.14017	0.0316943	0.0165462	0.0158464	0.0117245	0.00902537	0.0058902	0.00516527	0.00638202	0.00664753
a25	0.104934	0.0852073	0.112451	0.0756551	0.0921278	0.117253	0.171899	0.131099	0.0307099	0.0167882	0.0147027	0.0109034	0.00839174	0.00612718	0.00579469	0.00712068	0.00883496
a92	0.0839526	0.098045	0.115432	0.077483	0.090492	0.0981292	0.148628	0.111003	0.0320253	0.0185373	0.0198524	0.0191959	0.0175196	0.0143357	0.0151545	0.0185724	0.0216417
a56	0.0781201	0.0792851	0.0934032	0.0851301	0.100015	0.102471	0.147736	0.120913	0.044199	0.0235143	0.0227622	0.019295	0.0154709	0.0121201	0.0135612	0.0184191	0.0235837
a44	0.073189	0.0899177	0.107192	0.0988344	0.109414	0.123261	0.135498	0.108364	0.0350187	0.0189191	0.0178101	0.0151933	0.0122412	0.0102657	0.0114556	0.0145748	0.0188499
a34	0.0296896	0.0519194	0.080637	0.0928915	0.108219	0.125124	0.152339	0.12889	0.0511352	0.0291734	0.0280635	0.0246221	0.0200476	0.0164522	0.0170181	0.0198262	0.0239522
a75	0.0241997	0.0481436	0.0794519	0.0942787	0.105656	0.135928	0.143567	0.119147	0.0505138	0.0310246	0.0310252	0.028405	0.0243723	0.0193749	0.0191325	0.0214524	0.0243272
a5	0.00601046	0.0144612	0.035021	0.062444	0.0708557	0.093127	0.122106	0.0946504	0.0659602	0.0561719	0.0628011	0.0610986	0.0555247	0.0490365	0.0463293	0.0511168	0.0532854
a36	0.0081791	0.0165319	0.0377646	0.0683947	0.0727891	0.107432	0.118974	0.117537	0.0635043	0.0514277	0.055949	0.0561923	0.0501303	0.041825	0.040554	0.0446048	0.0482106
a21	0.00288721	0.00490946	0.00851718	0.0415866	0.0595095	0.0718178	0.102006	0.116817	0.0983738	0.0736386	0.0736909	0.0697201	0.0614244	0.0465579	0.0468062	0.0581604	0.0635761
a5	0.00435188	0.00706986	0.0158175	0.0378902	0.0418709	0.068579	0.0644652	0.0843646	0.0805391	0.0723468	0.0804551	0.0773202	0.0712091	0.0678094	0.0675712	0.0769649	0.0813751
a12	0.00361261	0.00599158	0.0107436	0.0364527	0.0511627	0.080135	0.0884736	0.105391	0.0890351	0.0760899	0.0805759	0.073795	0.0645722	0.0561578	0.0539678	0.0618071	0.0620364
a43	0.00402712	0.006362	0.0121353	0.0358547	0.0499713	0.0845583	0.087426	0.103441	0.0990016	0.0834546	0.0851874	0.0732888	0.0610651	0.0517677	0.0494421	0.0565241	0.0564929
a31	0.00282215	0.00440069	0.00681212	0.0276657	0.0501453	0.0725134	0.101225	0.124647	0.119254	0.0938624	0.0881963	0.0722589	0.0575665	0.0411519	0.0391007	0.049412	0.0489658
a0	0.00352043	0.00539867	0.0104389	0.0281533	0.0437828	0.0837085	0.0995079	0.120183	0.119308	0.101163	0.0906161	0.071596	0.056929	0.0421246	0.0385133	0.0455577	0.0394981
a56	0.00324217	0.00568236	0.00863626	0.028621	0.0463351	0.0734779	0.0943717	0.116232	0.115248	0.099941	0.0882302	0.0695645	0.0561981	0.0429705	0.0419149	0.0569021	0.0524321
a93	0.00176756	0.00251971	0.00429639	0.0114393	0.0184694	0.0338217	0.0402943	0.0682545	0.0947743	0.105637	0.111192	0.0934119	0.0829765	0.0777693	0.0775137	0.0925722	0.0832902
a4	0.00108598	0.00179931	0.00267987	0.0112344	0.0188513	0.0301468	0.0356567	0.0556122	0.0805696	0.097616	0.103829	0.0937042	0.0886933	0.0840481	0.0869897	0.110257	0.0972267
a93	0.000699741	0.000928833	0.00142683	0.00456902	0.00778245	0.0123144	0.0161145	0.0311619	0.064088	0.106018	0.126099	0.106206	0.101412	0.104083	0.10239	0.113576	0.10113
a34	0.000708355	0.000957092	0.00144184	0.00478282	0.00789355	0.0135133	0.0183397	0.0329784	0.059884	0.0935012	0.106183	0.0953205	0.0979937	0.107536	0.1114	0.130967	0.116598
a75	0.000503586	0.000716098	0.0012902	0.00386298	0.0058331	0.0101356	0.0131501	0.0260931	0.0576718	0.0973974	0.113687	0.0962842	0.0913885	0.102917	0.106894	0.136063	0.136113
a56	0.00051758	0.00067926	0.0013923	0.00363935	0.00499969	0.00665753	0.0095311	0.0221666	0.0621104	0.094232	0.104333	0.0878829	0.076826	0.0905237	0.0963982	0.136797	0.201314
a96	0.000329546	0.00045236	0.000759378	0.00211171	0.00298234	0.00448831	0.00593914	0.0125228	0.0354606	0.0708838	0.0859259	0.0794808	0.0776267	0.0997509	0.115937	0.183617	0.221731
a70	0.000379707	0.00053436	0.000908291	0.00255944	0.00325881	0.00511131	0.00678617	0.0140319	0.0335751	0.0632211	0.075078	0.0704903	0.0712738	0.0957482	0.118586	0.196046	0.242411
a13	0.000300157	0.000447401	0.00072285	0.00226208	0.00275187	0.00411612	0.00629183	0.0127454	0.0313112	0.0623622	0.0672331	0.0621919	0.0668042	0.0947839	0.126692	0.209604	0.24938
a3	0.000799428	0.00104737	0.00103783	0.00496496	0.00637535	0.00655865	0.0110388	0.0181387	0.0417129	0.0837887	0.0789679	0.0670144	0.0687404	0.0947081	0.121989	0.183306	0.209811
a97	0.00370023	0.00357191	0.00301508	0.00922654	0.0162778	0.0157773	0.0216837	0.0394882	0.0635241	0.105234	0.0861149	0.0714018	0.0699789	0.0995981	0.109474	0.139986	0.141947
a10	0.00767022	0.0060658	0.0047581	0.00840896	0.0131849	0.0154132	0.019519	0.0345808	0.0617592	0.0853669	0.062977	0.0576509	0.0627952	0.0943972	0.109859	0.16952	0.186073
a24	0.0101871	0.00648534	0.0037276	0.00676013	0.00924921	0.0104973	0.0120314	0.0186675	0.0526405	0.0628349	0.0480629	0.05696	0.0733333	0.09966	0.112837	0.200168	0.215898
a11	0.00191127	0.00160046	0.000740533	0.00179267	0.00272301	0.00252932	0.00513333	0.00807384	0.0186258	0.0304887	0.0315335	0.0438747	0.0691996	0.113695	0.164179	0.246793	0.257107
a75	0.000610357	0.00049421	0.000266547	0.000948931	0.00171363	0.00178679	0.00360098	0.00458286	0.0110604	0.0213036	0.0204958	0.0264542	0.0434773	0.0823769	0.147439	0.287252	0.346136
a92	0.000247173	0.000391904	0.000713691	0.00255669	0.0046299	0.00564563	0.00900619	0.00933414	0.0348364	0.0597927	0.0478064	0.043724	0.0502805	0.0901599	0.130008	0.232747	0.27812
a56	0.000177293	0.000367384	0.0010669	0.00473565	0.00601563	0.00883885	0.00985749	0.0101559	0.0223221	0.0331617	0.0328342	0.031676	0.0351588	0.0687783	0.126409	0.271083	0.337362
a93	0.000290436	0.000535535	0.00112065	0.00552578	0.00767624	0.0140696	0.0153738	0.0138416	0.0244361	0.0345934	0.0328594	0.0333221	0.0379251	0.0723094	0.122377	0.236221	0.347523
a4	0.000282136	0.000456068	0.000869679	0.00429081	0.00687859	0.0127538	0.0142581	0.0148312	0.0246342	0.0350815	0.0345236	0.0343351	0.0386255	0.0721971	0.119762	0.236726	0.349494
a13	0.000255231	0.000349101	0.000558912	0.0021766	0.00350103	0.00624501	0.00768417	0.011324	0.021178	0.0353246	0.0332466	0.0323468	0.0370536	0.0715704	0.121747	0.24592	0.369518
a34	0.000250268	0.000296997	0.000357596	0.00126087	0.00205694	0.00360228	0.00539949	0.00972509	0.018988	0.0365358	0.0303473	0.0271368	0.0333424	0.0638435	0.117501	0.249213	0.400143
