 	elle	a	pris	de	l'	embonpoint	depuis	qu'	elle	s'	est	mariée	</S>
a15	0.213859	0.199613	0.172831	0.105972	0.0988083	0.0598109	0.029258	0.0304272	0.0233836	0.0190906	0.0117245	0.0165982	0.0186235
a66	0.239575	0.158962	0.119068	0.0874143	0.0897851	0.0515275	0.0386844	0.0395992	0.0310326	0.0319868	0.0260391	0.0432777	0.0430483
a87	0.368897	0.21949	0.129442	0.0830095	0.0718387	0.0394311	0.0217579	0.0129276	0.00600862	0.00461381	0.00426738	0.0112789	0.0270377
a23	0.289318	0.218054	0.150465	0.114178	0.109854	0.0473628	0.0193733	0.0130074	0.00695882	0.00604897	0.00458419	0.00783316	0.012962
a30	0.262363	0.229296	0.147034	0.0948231	0.0907663	0.0428623	0.0226177	0.0163204	0.0103203	0.0123624	0.0136988	0.023185	0.0343497
a53	0.180943	0.177407	0.153107	0.0894541	0.0995319	0.0776763	0.0509103	0.0339522	0.0182711	0.0206361	0.0230286	0.0360314	0.0390514
a15	0.124618	0.162596	0.182042	0.103657	0.101961	0.085966	0.0645955	0.041718	0.0230849	0.0268262	0.0240768	0.0327074	0.0261515
a69	0.0843146	0.119543	0.158203	0.126351	0.132812	0.104398	0.0772433	0.0521403	0.0349032	0.0412549	0.0273392	0.0213085	0.020189
a79	0.0476619	0.0632996	0.0890353	0.0956924	0.120255	0.151451	0.119114	0.0746006	0.0524259	0.057488	0.0424609	0.0380874	0.048428
a92	0.0443017	0.0569469	0.0773238	0.0905989	0.105307	0.138241	0.129111	0.0988386	0.0750641	0.0698816	0.0376584	0.0311988	0.0455278
a85	0.0699241	0.0718719	0.0791922	0.0883988	0.098034	0.131126	0.114404	0.0912448	0.0749383	0.0680385	0.0345122	0.0278156	0.0504994
a92	0.0210851	0.0233671	0.0295036	0.041324	0.0487268	0.0624539	0.0911646	0.114887	0.153875	0.180519	0.104483	0.0617724	0.0668391
a37	0.0404634	0.0358283	0.0376613	0.0510337	0.0612063	0.0814686	0.100857	0.130786	0.142298	0.138164	0.0691212	0.0493691	0.0617434
a61	0.0494363	0.0413609	0.0408589	0.0653795	0.087679	0.109191	0.120821	0.144447	0.127834	0.0961598	0.0435073	0.0310088	0.0423172
a21	0.0309279	0.0221189	0.0196798	0.0395294	0.0616907	0.0773038	0.101908	0.152559	0.158217	0.121182	0.0660523	0.0561698	0.0926623
a92	0.0182737	0.013377	0.0119349	0.0226623	0.0364418	0.048269	0.0823395	0.151116	0.188859	0.157703	0.089864	0.0686931	0.110466
a56	0.0113891	0.00878702	0.00758071	0.0129425	0.0195683	0.0248368	0.046941	0.106792	0.176619	0.171506	0.128867	0.118208	0.165964
a96	0.00938434	0.00827716	0.00861287	0.0141954	0.0213232	0.030774	0.0528237	0.111001	0.176535	0.167668	0.123346	0.117817	0.158242
a90	0.00667408	0.00617095	0.00641017	0.00989951	0.0144975	0.0234094	0.035375	0.0673766	0.122435	0.124294	0.135365	0.187206	0.260887
a92	0.00299439	0.00254609	0.00241626	0.00361552	0.00513902	0.00808901	0.0130369	0.0273343	0.0585789	0.0792251	0.156326	0.281349	0.35935
a47	0.00103156	0.000789987	0.000700421	0.0010489	0.00152532	0.0019904	0.00513566	0.0171362	0.0470433	0.0691045	0.177051	0.324582	0.352861
a96	0.000730387	0.000567055	0.000467287	0.000705167	0.00113059	0.00132037	0.00344822	0.0105983	0.0320027	0.0535156	0.166764	0.317254	0.411496
a90	0.000581706	0.000533637	0.000534418	0.000867885	0.00124523	0.00183271	0.00289132	0.00630273	0.0132812	0.0217939	0.0886091	0.338235	0.523291
a25	0.000549226	0.000465106	0.000470226	0.000684963	0.00101196	0.00162714	0.00268248	0.00520621	0.00883454	0.0130282	0.0566629	0.330274	0.578503
a92	0.000359601	0.000316934	0.000330943	0.000466184	0.000674131	0.0010451	0.00144824	0.00250982	0.00474854	0.00879227	0.0488795	0.292698	0.637731
a44	0.000271039	0.000195984	0.000174751	0.000256092	0.00034636	0.000552107	0.00101263	0.00207714	0.00413612	0.0080342	0.039821	0.338393	0.60473
a70	0.000188817	0.000165388	0.000175061	0.000230213	0.000311384	0.000520304	0.000875748	0.001771	0.00382542	0.00770955	0.043916	0.320005	0.620306
a93	0.000732324	0.000757862	0.00105896	0.00140109	0.00193006	0.00333631	0.00526668	0.00837456	0.0136357	0.0229626	0.0705181	0.272283	0.597742
a70	0.000200376	0.000198265	0.00022588	0.000309619	0.000412132	0.000670877	0.00115044	0.00248654	0.00557326	0.010968	0.0533986	0.337414	0.586992
a13	0.000321599	0.000324723	0.000456067	0.000650769	0.000948428	0.00192551	0.00334773	0.005506	0.00952276	0.0169172	0.0648664	0.337652	0.557561
a71	0.0102701	0.0104226	0.0128452	0.0152383	0.0202012	0.0294538	0.0314702	0.037606	0.0510187	0.0614068	0.120069	0.256507	0.343491
a9	0.0450471	0.0389483	0.0353957	0.0397835	0.0468687	0.0520385	0.0549254	0.0605185	0.0681878	0.0661802	0.08567	0.157637	0.248799
a87	0.144877	0.106059	0.0765541	0.0725903	0.0764622	0.0550019	0.0510003	0.0520023	0.0514224	0.0496837	0.0546802	0.0908995	0.118767
a23	0.212777	0.165597	0.120117	0.101125	0.0979812	0.0475549	0.0327307	0.0300887	0.026724	0.0255694	0.0264453	0.0523747	0.0609158
a87	0.141165	0.0826095	0.0476735	0.0444193	0.0402052	0.0289199	0.022354	0.0195377	0.0185427	0.0252613	0.0386583	0.144199	0.346454
</S>	0.0177865	0.0103039	0.00615454	0.00691284	0.00731797	0.00661279	0.00681527	0.00872744	0.0136223	0.0206495	0.0484079	0.227195	0.619494
