 	il	y	a	une	guerre	à	brazaville	</S>
a84	0.272094	0.219636	0.181335	0.138956	0.0951113	0.0512323	0.0262199	0.0154148
a30	0.257308	0.171924	0.122616	0.120988	0.137649	0.0935549	0.0587758	0.0371842
a87	0.31421	0.225971	0.163878	0.106773	0.0661737	0.0471567	0.0392045	0.0366325
a23	0.311868	0.231668	0.163457	0.108008	0.0725893	0.0463707	0.0353421	0.0306968
a79	0.281856	0.218912	0.164107	0.111828	0.068857	0.0573663	0.0472751	0.0497994
a15	0.26701	0.234745	0.180706	0.10454	0.0454011	0.0525217	0.0532275	0.0618482
a79	0.19594	0.210534	0.213253	0.152434	0.0630729	0.0631291	0.0536416	0.0479951
a56	0.201442	0.229663	0.238927	0.169247	0.0594809	0.0418309	0.0326384	0.0267707
a21	0.225976	0.273219	0.254737	0.149015	0.0430012	0.0216095	0.0167148	0.0157266
a5	0.152779	0.173575	0.222307	0.216266	0.108452	0.0522972	0.0392024	0.0351218
a23	0.124315	0.125888	0.167599	0.192076	0.145554	0.0891051	0.0764016	0.0790616
a21	0.0722091	0.0762774	0.109274	0.154809	0.170306	0.120068	0.131729	0.165328
a12	0.0801005	0.0722882	0.0951154	0.134653	0.192944	0.136216	0.134426	0.154257
a47	0.0440427	0.0346077	0.0528977	0.113002	0.217238	0.166919	0.166272	0.205021
a88	0.0381722	0.0307992	0.0420986	0.0938587	0.200024	0.182431	0.195546	0.217071
a96	0.0100893	0.00799625	0.0111242	0.0317281	0.128722	0.203313	0.29333	0.313697
a94	0.010962	0.00843738	0.00973703	0.0209969	0.0782119	0.149058	0.296774	0.425822
a7	0.00647826	0.00478508	0.00531989	0.011822	0.0406423	0.101018	0.265073	0.564861
a26	0.00333006	0.00253047	0.00264338	0.00502507	0.0145566	0.0578963	0.231967	0.682051
a57	0.0180304	0.0129601	0.014129	0.0216046	0.043383	0.113041	0.245263	0.531589
a87	0.111668	0.0648823	0.0550413	0.0539672	0.0739705	0.118491	0.187076	0.334903
a23	0.222846	0.159051	0.127964	0.100498	0.0880489	0.092343	0.0977681	0.111481
a87	0.0804754	0.0500601	0.034518	0.0366642	0.0646564	0.141958	0.236325	0.355343
a97	0.0126713	0.00764812	0.00596451	0.0102557	0.0295237	0.0986251	0.262049	0.573263
</S>	0.0300119	0.0227347	0.0223301	0.0350125	0.0606262	0.112339	0.226621	0.490324
