 	la	viande	est	abîmée	</S>
a23	0.470239	0.208365	0.10844	0.0958566	0.117099
a70	0.537436	0.235968	0.0694614	0.0697173	0.087417
a24	0.473058	0.267592	0.125331	0.0786214	0.0553973
a41	0.337029	0.251717	0.162515	0.157003	0.0917363
a14	0.368461	0.297187	0.164341	0.12522	0.0447914
a35	0.220987	0.262464	0.226394	0.227077	0.0630786
a14	0.163892	0.230596	0.257445	0.264417	0.0836495
a35	0.11824	0.191271	0.268657	0.290691	0.13114
a24	0.0655715	0.123424	0.242767	0.349534	0.218704
a71	0.0525682	0.0942242	0.227759	0.358709	0.266739
a75	0.0421059	0.062545	0.145264	0.260115	0.489969
a41	0.0262487	0.0517666	0.156991	0.249754	0.51524
a98	0.038153	0.0686478	0.169843	0.222757	0.500599
a30	0.0265802	0.0606583	0.181208	0.240744	0.49081
a57	0.0437723	0.0716879	0.172038	0.224382	0.48812
a87	0.0930425	0.0914336	0.193624	0.209649	0.412251
</S>	0.159793	0.153957	0.248777	0.138825	0.298648
