 	nous	devons	aider	les	pauvres	comme	le	recommande	dieu	</S>
a66	0.478501	0.251868	0.100452	0.0598776	0.0311881	0.0199893	0.0175729	0.0138208	0.0130672	0.013663
a87	0.787281	0.0678233	0.0212382	0.00935664	0.00672418	0.00935815	0.017778	0.022155	0.0233959	0.03489
a23	0.568393	0.121084	0.0577899	0.0352292	0.0249127	0.0258858	0.0345661	0.0325639	0.0331295	0.0664463
a97	0.35806	0.0666835	0.0511878	0.0435267	0.0572828	0.0707087	0.0841192	0.0903249	0.0699096	0.108197
a79	0.503288	0.134592	0.0774886	0.0487052	0.0398362	0.0435066	0.0446713	0.0373635	0.0289238	0.0416258
a36	0.552653	0.0935866	0.0430769	0.0343435	0.0299092	0.0446619	0.0601055	0.0548948	0.0367886	0.0499798
a5	0.53528	0.134477	0.0545563	0.047742	0.0311576	0.0423326	0.0454507	0.0443055	0.0315397	0.0331583
a12	0.347052	0.365179	0.108309	0.0656378	0.029664	0.0277973	0.0227311	0.0159742	0.00969767	0.00795772
a18	0.180809	0.497495	0.134799	0.0842015	0.0410505	0.0262317	0.0164106	0.0101187	0.00515179	0.00373295
a0	0.0733278	0.490638	0.173843	0.10896	0.0564078	0.0357966	0.0246274	0.0179167	0.0101519	0.00833051
a62	0.0629627	0.35935	0.16686	0.126846	0.0817423	0.0559451	0.0421041	0.0360903	0.0326727	0.0354271
a88	0.0688741	0.350438	0.166609	0.130693	0.0852059	0.0548347	0.0404966	0.0377562	0.0321846	0.0329073
a0	0.0406684	0.272291	0.198248	0.16229	0.107083	0.0649683	0.0467308	0.0400596	0.0343841	0.0332763
a75	0.0399951	0.18746	0.237128	0.186064	0.121773	0.0706785	0.0554905	0.0408092	0.030727	0.029874
a85	0.00945378	0.102279	0.13974	0.197012	0.145803	0.114141	0.0840904	0.0871369	0.0655657	0.0547775
a47	0.00802443	0.102657	0.165736	0.214352	0.13028	0.0911464	0.0693771	0.0736035	0.072107	0.0727167
a36	0.0120647	0.0685003	0.137263	0.194232	0.124677	0.111021	0.0977874	0.0982958	0.0695285	0.0866306
a75	0.0150854	0.0451337	0.112101	0.163731	0.126047	0.0969086	0.102284	0.114438	0.0882497	0.136021
a6	0.005856	0.0387214	0.0719989	0.101059	0.0831278	0.103976	0.117774	0.156369	0.143997	0.177121
a36	0.00377464	0.0245086	0.0475245	0.0857308	0.0846397	0.117611	0.130917	0.157384	0.150559	0.197351
a37	0.00258206	0.00689188	0.0203973	0.0415161	0.0652539	0.10316	0.148435	0.19575	0.163277	0.252738
a66	0.00101146	0.00166598	0.0053876	0.0134092	0.0349289	0.0853928	0.151282	0.230767	0.198827	0.277328
a9	0.00152438	0.00152161	0.00226806	0.00524944	0.0117279	0.0384779	0.103572	0.185274	0.197118	0.453266
a97	0.00818682	0.012929	0.0183023	0.0309762	0.0414921	0.0618715	0.0942126	0.168894	0.212492	0.350644
a87	0.0298514	0.0261617	0.03848	0.0786275	0.129289	0.140492	0.131759	0.137658	0.150983	0.136699
a23	0.083682	0.0439036	0.0490033	0.092485	0.130473	0.162141	0.14739	0.111761	0.0991397	0.0800212
a97	0.0245288	0.020739	0.0276112	0.0526492	0.0604203	0.0954617	0.138036	0.172998	0.185356	0.222201
a99	0.00321194	0.00908492	0.0107498	0.0245519	0.0338597	0.0584211	0.101665	0.187643	0.246095	0.324717
a54	0.00356123	0.0112457	0.0133423	0.0291017	0.038043	0.0630169	0.105516	0.176362	0.240488	0.319323
a7	0.00350802	0.0253463	0.0203823	0.0417273	0.0547759	0.0697193	0.114029	0.150091	0.180856	0.339564
a54	0.00111733	0.0142799	0.014565	0.0339354	0.053812	0.0820846	0.122881	0.17413	0.198714	0.304481
a6	0.00273103	0.0318382	0.035435	0.0697466	0.0828836	0.116098	0.133821	0.148487	0.148876	0.230084
a36	0.000845795	0.00970165	0.0114186	0.0354067	0.0553322	0.0972444	0.134163	0.174371	0.184104	0.297412
a11	0.000128556	0.000972015	0.00183632	0.00681258	0.0181624	0.0558856	0.115146	0.210156	0.230626	0.360274
a18	0.000309711	0.000991412	0.0020604	0.00557485	0.0128991	0.0348764	0.084293	0.203573	0.246192	0.409229
a71	0.000394354	0.000652255	0.0012466	0.00328219	0.00726254	0.0210474	0.0663209	0.182238	0.241166	0.47639
a25	0.00194768	0.00240379	0.00363093	0.00575003	0.00758652	0.0180123	0.0553291	0.163418	0.233419	0.508502
a87	0.0052347	0.00539331	0.00725945	0.00982288	0.0128301	0.0227111	0.0467118	0.152543	0.262619	0.474875
a23	0.0492416	0.035495	0.0500909	0.0625229	0.0485425	0.061752	0.0827738	0.15332	0.200439	0.255822
a87	0.0107371	0.0143222	0.0205657	0.0420781	0.0475285	0.0852605	0.120571	0.182432	0.233747	0.242758
</S>	0.00348359	0.00632818	0.0118964	0.0304555	0.0492607	0.0965774	0.129704	0.174287	0.215698	0.282309
