 	ce	safoutier	a	donné	des	fruits	</S>
a79	0.312123	0.188576	0.155391	0.126618	0.0916014	0.0717176	0.0539735
a20	0.310863	0.124866	0.127506	0.139669	0.106216	0.0971323	0.0937473
a56	0.293073	0.15701	0.118351	0.0923046	0.0793848	0.109338	0.150538
a32	0.445624	0.224794	0.135913	0.0858296	0.0458116	0.0337839	0.0282431
a75	0.408563	0.261014	0.165183	0.0931259	0.0366103	0.0199141	0.0155906
a98	0.303578	0.2142	0.162703	0.124234	0.0852348	0.0604263	0.0496241
a44	0.270592	0.198553	0.148928	0.122694	0.0979221	0.0846664	0.0766452
a26	0.220982	0.217091	0.162288	0.137087	0.106459	0.0825932	0.0734997
a90	0.147365	0.180656	0.144782	0.137096	0.149793	0.131512	0.108795
a96	0.0953819	0.123658	0.121791	0.145509	0.166345	0.175146	0.172169
a61	0.0580781	0.0892467	0.102649	0.146809	0.218766	0.216671	0.167781
a96	0.0366033	0.0531606	0.0672448	0.108634	0.212518	0.283331	0.238508
a66	0.0154635	0.0218578	0.0278784	0.0470987	0.148181	0.336946	0.402575
a38	0.00322576	0.00354084	0.00625147	0.0159571	0.0693645	0.284588	0.617073
a93	0.00187289	0.00199944	0.00383415	0.0110566	0.0511918	0.256215	0.67383
a70	0.00194048	0.00274558	0.004792	0.0109962	0.0559853	0.253268	0.670272
a75	0.00374856	0.00425991	0.00774206	0.0189689	0.0654333	0.259638	0.640209
a36	0.00435123	0.00572245	0.0105309	0.0230628	0.0752359	0.258621	0.622476
a2	0.00265186	0.00324462	0.00567124	0.0134961	0.050913	0.222036	0.701987
a57	0.0430419	0.0370746	0.0387672	0.0502407	0.083652	0.21374	0.533484
a87	0.130278	0.104336	0.0895244	0.097462	0.111833	0.176588	0.289979
a23	0.220925	0.15764	0.113624	0.0967476	0.0971313	0.140385	0.173547
a87	0.128606	0.106612	0.0922412	0.106667	0.139247	0.210476	0.21615
a23	0.0306909	0.0359234	0.0390638	0.0649767	0.139296	0.279348	0.410702
a87	0.0446266	0.0469053	0.0423872	0.0614548	0.133147	0.280291	0.391188
</S>	0.03799	0.0516548	0.0548422	0.080296	0.149516	0.264473	0.361229
