 	cet	homme	avait	éprouvé	une	grande	honte	le	jour	où	on	l'	avait	pris	en	adultère	</S>
a87	0.147646	0.0986061	0.0914393	0.0907885	0.105085	0.148993	0.0919666	0.0546654	0.0473991	0.0409422	0.0278244	0.0181658	0.0108579	0.00569308	0.00571468	0.00691747	0.00729553
a23	0.124629	0.193186	0.14186	0.113212	0.0671965	0.0806187	0.0529353	0.0348183	0.0277806	0.0228667	0.0234447	0.0232019	0.021942	0.0173101	0.0181408	0.0196327	0.0172237
a83	0.0743681	0.129961	0.116504	0.117128	0.0762678	0.0612806	0.06217	0.0490995	0.0568625	0.0427252	0.0399323	0.0304928	0.0205296	0.0143324	0.0159461	0.0278928	0.0645073
a99	0.163223	0.215893	0.151877	0.121519	0.105222	0.0994876	0.0342344	0.0253266	0.0143685	0.00814594	0.00668521	0.00668457	0.00664898	0.00720132	0.00865348	0.0105941	0.0142353
a54	0.166155	0.215568	0.15556	0.148624	0.0932307	0.0593485	0.0332457	0.0305195	0.0202785	0.0128641	0.0106288	0.00904092	0.0063859	0.0059032	0.00663577	0.0103984	0.0156131
a47	0.0934547	0.147107	0.152115	0.153556	0.120805	0.0892003	0.0427638	0.0449377	0.0322097	0.0246666	0.0182018	0.0152682	0.0107504	0.00965231	0.0100114	0.0140362	0.0212644
a41	0.0902888	0.155848	0.179205	0.161976	0.10742	0.0721728	0.0408065	0.0517662	0.0399098	0.031016	0.0196764	0.0134548	0.00646142	0.00471627	0.00510448	0.00780953	0.0123684
a66	0.0665766	0.111431	0.14554	0.176114	0.0956457	0.0611955	0.0497693	0.0589006	0.058595	0.0533759	0.0384388	0.025853	0.0127991	0.00908095	0.00886249	0.0114272	0.0163963
a75	0.0597038	0.0918067	0.142487	0.190248	0.0926426	0.0590079	0.0600082	0.0692956	0.0757377	0.0559366	0.0312531	0.0186847	0.0113051	0.00854502	0.0083163	0.0110481	0.0139741
a85	0.0644692	0.0856916	0.114773	0.126894	0.081395	0.0658892	0.067357	0.0902375	0.0871235	0.0725993	0.0572893	0.0352935	0.0150379	0.00746697	0.00691094	0.00983947	0.0117331
a47	0.0331792	0.0421244	0.0629538	0.078239	0.0640446	0.0612753	0.0749216	0.0960515	0.109769	0.12174	0.107367	0.0670075	0.0289946	0.0132233	0.0111084	0.0144015	0.013599
a44	0.0273428	0.0350708	0.05387	0.0998711	0.104402	0.0936605	0.0797863	0.0746529	0.0811991	0.0921883	0.0902685	0.0464674	0.0205787	0.0116287	0.0141661	0.0285184	0.0463286
a13	0.023924	0.0352176	0.0467368	0.0985245	0.112236	0.10977	0.0696809	0.0546343	0.0651592	0.0627177	0.0642946	0.0392679	0.0263353	0.0190285	0.026856	0.0610978	0.0845182
a53	0.0147439	0.0283239	0.0386947	0.0902678	0.111678	0.115219	0.0633623	0.0504666	0.0620554	0.0487255	0.0600653	0.0429466	0.0324186	0.0266921	0.038026	0.0797614	0.0965529
a76	0.0308669	0.0364958	0.0355057	0.0482249	0.0647616	0.0835603	0.0465649	0.0464694	0.048849	0.0526977	0.0894146	0.066498	0.0547138	0.0429345	0.0533909	0.0947191	0.104333
a20	0.0282582	0.028089	0.0287689	0.0352426	0.0390775	0.0494556	0.0426401	0.048363	0.0521462	0.0624423	0.0926517	0.0585959	0.0514156	0.0453789	0.0681414	0.140168	0.129166
a84	0.0250269	0.024765	0.0236441	0.0300732	0.0298317	0.0341002	0.0284236	0.0289107	0.0285154	0.0351401	0.0611562	0.0399496	0.0396377	0.0412367	0.0772739	0.20422	0.248095
a87	0.0152186	0.0246271	0.0248756	0.0389561	0.034232	0.0309946	0.0387299	0.0311483	0.0369078	0.0458544	0.0960932	0.0830692	0.084156	0.0550928	0.0633387	0.105707	0.190998
a99	0.0282256	0.0258394	0.0211239	0.0298992	0.0293574	0.0221302	0.0239025	0.0147625	0.0163932	0.031193	0.0820558	0.103137	0.110993	0.0795293	0.0707448	0.0969988	0.213715
a38	0.0399127	0.033248	0.0292779	0.0482988	0.0309066	0.0202853	0.0262413	0.0155441	0.019138	0.0362495	0.0807771	0.0833618	0.0675837	0.0522078	0.0595184	0.116693	0.240756
a9	0.0164507	0.0279179	0.0265554	0.0538925	0.0716062	0.0538139	0.0375835	0.036895	0.0355738	0.0277654	0.0489189	0.0572548	0.0545867	0.0551908	0.0717602	0.13859	0.185644
a10	0.00734823	0.0132635	0.0149531	0.0359647	0.0624102	0.0597065	0.0300455	0.0246856	0.0264149	0.0238039	0.0466244	0.056393	0.080019	0.0891958	0.100109	0.159818	0.169245
a75	0.0048931	0.00931426	0.0102412	0.0232593	0.0309302	0.0301621	0.0241054	0.0168889	0.0199778	0.0207623	0.0488255	0.0639658	0.0793152	0.101008	0.119574	0.191186	0.205591
a44	0.0123021	0.0173599	0.0160417	0.024988	0.0333875	0.0275043	0.0205024	0.0236606	0.0222435	0.0228172	0.0554462	0.0698332	0.0782349	0.0748451	0.08971	0.184331	0.226792
a98	0.00904797	0.0114419	0.0116229	0.0201178	0.0291549	0.0292035	0.018426	0.0195156	0.0190398	0.0192478	0.0410214	0.046367	0.0652555	0.0920275	0.124506	0.236808	0.207197
a47	0.0116755	0.0128236	0.0150431	0.0221583	0.0279231	0.0288756	0.0276055	0.03354	0.0324482	0.0387898	0.0582604	0.0487721	0.0517667	0.0602775	0.0903544	0.204427	0.23526
a44	0.0188174	0.0162806	0.0180656	0.0233376	0.0276444	0.0289986	0.024243	0.0277632	0.0247567	0.0310391	0.0494797	0.0378377	0.041587	0.051585	0.0895466	0.218232	0.270786
a57	0.00892192	0.0112521	0.010646	0.0156188	0.0189367	0.0210975	0.0157355	0.0159606	0.0163989	0.0194431	0.0325517	0.0301725	0.0441913	0.0678939	0.122581	0.281581	0.267017
a38	0.00504791	0.00763872	0.00769587	0.0125381	0.0144611	0.0141547	0.0106308	0.010096	0.0119448	0.0131848	0.0220956	0.0210282	0.0315219	0.0537606	0.110448	0.303863	0.349889
a21	0.00690435	0.00833565	0.00808822	0.0108305	0.0122245	0.0123743	0.00809038	0.00828319	0.00902087	0.0100865	0.0182218	0.0188319	0.0310123	0.056409	0.120449	0.326414	0.334424
a85	0.0314459	0.0216699	0.0210342	0.0211689	0.0290961	0.0368809	0.0273196	0.0351369	0.0303164	0.0275311	0.0346304	0.0281832	0.0377004	0.0541196	0.0919327	0.201494	0.27034
a44	0.0126661	0.00948018	0.0101145	0.0133943	0.015723	0.0181439	0.0132209	0.0160389	0.0146488	0.0151537	0.0210849	0.0170277	0.0251554	0.0446473	0.0987049	0.276896	0.377899
a57	0.00335035	0.00301505	0.00307942	0.00408974	0.00455116	0.00455409	0.00368998	0.00383519	0.00377714	0.00431901	0.00888781	0.0100562	0.0206515	0.0414818	0.100868	0.341248	0.438545
a54	0.000897059	0.00164378	0.00128971	0.00174998	0.00252116	0.00274033	0.00180457	0.00177854	0.00195731	0.00201541	0.00341067	0.00341284	0.00637918	0.0194669	0.0649063	0.315075	0.568951
a47	0.0019442	0.00169154	0.00142073	0.00177084	0.00204987	0.00194293	0.00166645	0.00195025	0.00191995	0.0025889	0.00723459	0.00887473	0.0151249	0.0295453	0.0751293	0.308169	0.536976
a41	0.00198067	0.00162415	0.00177939	0.00250595	0.00322798	0.00316364	0.00327483	0.00446653	0.00408752	0.0049099	0.0108434	0.0116469	0.0225991	0.0453882	0.105723	0.32542	0.447359
a66	0.000449382	0.000485221	0.00047892	0.000596778	0.000809082	0.000774012	0.000516203	0.000620254	0.0006011	0.000806427	0.00238098	0.00285577	0.00599402	0.0148071	0.0484646	0.260503	0.658857
a62	0.000468353	0.000624065	0.000434393	0.000495019	0.000673614	0.000623286	0.000336686	0.000393328	0.000364595	0.00036933	0.00079802	0.000968945	0.00249042	0.0105308	0.0496738	0.311586	0.619169
a21	0.000376453	0.000423199	0.000287009	0.000363115	0.000549255	0.000502504	0.000316096	0.000381632	0.000329909	0.000377999	0.00103545	0.00140323	0.00392148	0.0144981	0.0536557	0.301342	0.620237
a6	0.00230399	0.00222789	0.00185348	0.00203232	0.00266062	0.00234673	0.00200283	0.00218221	0.00192324	0.00212468	0.00400898	0.00508067	0.0106693	0.0249471	0.0662813	0.266478	0.600877
a37	0.000700427	0.000877458	0.000781319	0.00111584	0.00150477	0.00115503	0.00126969	0.00149142	0.00124231	0.00146606	0.00385073	0.00447092	0.00853854	0.0193616	0.0555979	0.252253	0.644323
a90	0.00033294	0.000359773	0.000313604	0.000481987	0.000766214	0.000637309	0.000413398	0.000499758	0.0004243	0.000541985	0.00155297	0.00184969	0.00441796	0.013508	0.0574371	0.315745	0.600718
a13	0.000159593	0.000239311	0.000255795	0.000464879	0.000719384	0.000579512	0.000499411	0.000602214	0.00059929	0.000800606	0.00216688	0.00250769	0.00565829	0.0148521	0.0490329	0.271894	0.648968
a90	0.000140155	0.000215125	0.000193357	0.000371098	0.000595383	0.000460413	0.000251795	0.000260592	0.000232235	0.000302111	0.00105045	0.00146096	0.00405711	0.0131438	0.0583931	0.336945	0.581927
a56	0.000313467	0.00047771	0.000418094	0.000618849	0.000921356	0.000775953	0.000616851	0.000660362	0.00057881	0.000686992	0.00177237	0.00220378	0.00561962	0.0144876	0.0494438	0.268357	0.652048
a11	0.00117838	0.00165885	0.00140367	0.00178463	0.00233985	0.00177457	0.00181515	0.00194091	0.00152171	0.00150851	0.00320001	0.00375423	0.00972999	0.0206881	0.0643303	0.28528	0.596092
a10	0.00119335	0.00145152	0.00122922	0.00177899	0.00221809	0.00175152	0.0011438	0.00106526	0.000854572	0.000825127	0.00257135	0.00302447	0.00793285	0.0194351	0.0691355	0.296771	0.587618
a87	0.00535822	0.00454942	0.00386951	0.00447652	0.00499694	0.00452267	0.00183528	0.00162589	0.00141845	0.00166036	0.00453335	0.00614341	0.0138144	0.0342353	0.0997574	0.301014	0.506189
a23	0.0986094	0.0890724	0.0683842	0.0568717	0.0439865	0.0308259	0.0216831	0.0199173	0.0140206	0.0147789	0.0268146	0.0223417	0.0294546	0.0412057	0.0745139	0.141217	0.206303
a87	0.0152449	0.0262523	0.0191499	0.0225427	0.0160155	0.0107895	0.0123975	0.00882439	0.00930603	0.0144814	0.0320571	0.035722	0.0623273	0.0891418	0.132992	0.223515	0.269241
a23	0.00733882	0.0176508	0.014441	0.0189271	0.019286	0.0152406	0.0182029	0.0132879	0.0130127	0.0166841	0.0352739	0.0299301	0.0442629	0.054902	0.0940832	0.20763	0.379846
a87	0.00385806	0.0079209	0.00629298	0.00916819	0.00726026	0.00479321	0.00733998	0.00521577	0.00505755	0.00821928	0.0297839	0.0329045	0.0617965	0.0791297	0.124519	0.250277	0.356463
</S>	0.0040934	0.010612	0.00875286	0.0128817	0.0135557	0.00980557	0.0124612	0.00819603	0.00835294	0.0140513	0.0465054	0.0424902	0.0612714	0.0724095	0.112286	0.211799	0.350476
