 	le	hanneton	s'	est	déjà	transformé	en	engáángaa	</S>
a87	0.309503	0.233898	0.122912	0.116831	0.0945221	0.0648281	0.0313507	0.0164421	0.00971263
a10	0.211401	0.129745	0.0900373	0.095017	0.122249	0.0994728	0.0948603	0.0860766	0.0711402
a61	0.174602	0.17544	0.142771	0.146487	0.16219	0.0727842	0.0404577	0.0382604	0.0470082
a21	0.318771	0.237697	0.151052	0.119859	0.0862435	0.0333878	0.0151569	0.0155686	0.0222633
a18	0.377556	0.27074	0.165498	0.0994165	0.050373	0.020706	0.00792879	0.00413175	0.00364993
a90	0.232087	0.224818	0.216798	0.162199	0.104688	0.0377521	0.00986988	0.00573203	0.00605516
a98	0.198583	0.198031	0.209838	0.171437	0.118941	0.0485066	0.0198139	0.0158482	0.0190011
a92	0.1817	0.199491	0.197231	0.168392	0.112665	0.0637618	0.0282058	0.022657	0.0258958
a43	0.201942	0.201242	0.177323	0.150207	0.110658	0.0663116	0.037584	0.0281164	0.0266151
a24	0.119283	0.13782	0.150743	0.16296	0.138854	0.113604	0.0582878	0.0575861	0.0608627
a61	0.0973957	0.111948	0.125013	0.143765	0.147848	0.152311	0.0846935	0.0712517	0.0657737
a47	0.0811758	0.0909173	0.101767	0.123396	0.136742	0.177754	0.118861	0.0951879	0.0741984
a0	0.0643066	0.0676629	0.0758952	0.105191	0.150396	0.213516	0.143801	0.107252	0.0719796
a75	0.0287397	0.0290901	0.0339566	0.0529878	0.0923447	0.178767	0.186782	0.227823	0.169509
a73	0.0340562	0.0270747	0.0254261	0.033126	0.0422623	0.0954819	0.165029	0.308996	0.268547
a58	0.00644434	0.00490923	0.00530955	0.00730729	0.0125402	0.0431234	0.135292	0.381726	0.403348
a40	0.00574266	0.00478411	0.00580105	0.00723042	0.0120462	0.0270229	0.0870376	0.23732	0.613015
a85	0.00518676	0.00390858	0.00422931	0.00493852	0.00867246	0.0261781	0.0875294	0.283446	0.575911
a5	0.00258772	0.00224078	0.00253194	0.00284853	0.00404706	0.0131099	0.0706184	0.352444	0.549572
a96	0.00247856	0.00169854	0.00163037	0.00178877	0.00254919	0.0100095	0.0691693	0.327158	0.583518
a75	0.000627171	0.000508467	0.000713406	0.00101278	0.00223616	0.0118368	0.0749473	0.296531	0.611587
a85	0.000558962	0.000470533	0.000629819	0.000747117	0.00142381	0.00872464	0.0871085	0.363228	0.537108
a6	0.000666347	0.000549226	0.000795973	0.00107105	0.00207924	0.00924957	0.0727666	0.336563	0.576259
a37	0.000884309	0.000814453	0.00131127	0.00187524	0.00439636	0.0212106	0.112242	0.335515	0.521751
a66	0.00163454	0.00146683	0.00253191	0.00380339	0.00940045	0.03069	0.119752	0.31088	0.519841
a54	0.0559602	0.0321013	0.0271842	0.0241479	0.0255037	0.0418812	0.110532	0.221662	0.461028
a36	0.00208568	0.00187086	0.00319284	0.00431558	0.00980261	0.0170931	0.0589859	0.241811	0.660843
a2	0.0105867	0.00759303	0.0081841	0.00887392	0.0113429	0.0156323	0.0602648	0.196809	0.680713
a57	0.0716818	0.0421352	0.0369794	0.0324473	0.0362306	0.0425522	0.0753915	0.172812	0.48977
a10	0.113963	0.0807991	0.0751701	0.0727517	0.0819051	0.108688	0.144644	0.149024	0.173055
a87	0.0891994	0.056723	0.0516282	0.0533514	0.0707273	0.128569	0.183718	0.193603	0.17248
a23	0.0586945	0.0386324	0.0485828	0.0650895	0.0865438	0.11475	0.172635	0.211431	0.203641
a38	0.00453025	0.0032802	0.0049976	0.00755505	0.0174513	0.0432349	0.109834	0.347786	0.461331
</S>	0.00539527	0.00472219	0.00674654	0.00894065	0.019483	0.0327669	0.0889991	0.304771	0.528175
