 	le	berger	fait	reposer	les	boeufs	car	ceux-ci	ont	beaucoup	marché	</S>
a66	0.245668	0.159121	0.179806	0.0999026	0.0630954	0.0515869	0.0679226	0.0513955	0.0305106	0.0225284	0.0159581	0.0125052
a87	0.263235	0.0794718	0.13224	0.0936285	0.0586145	0.0700082	0.0863996	0.0606899	0.0443879	0.0390978	0.0365699	0.0356562
a97	0.276128	0.143312	0.153917	0.103032	0.0324433	0.0314317	0.0453575	0.0436191	0.0448335	0.0453495	0.0432513	0.0373258
a87	0.36539	0.195925	0.118211	0.0744658	0.0271134	0.0285998	0.0364717	0.0374835	0.0323063	0.029642	0.0290984	0.0252935
a79	0.290911	0.167461	0.100477	0.0746344	0.0333486	0.0397701	0.0486862	0.0532931	0.0519233	0.0481733	0.0484552	0.0428668
a44	0.223638	0.213133	0.137423	0.04302	0.0314207	0.0296094	0.0423441	0.0431802	0.0546072	0.0626739	0.0656395	0.0533112
a57	0.28135	0.288322	0.112162	0.0333773	0.0260778	0.0230076	0.0313468	0.0248864	0.0319453	0.0442519	0.0532526	0.0500203
a11	0.191711	0.286458	0.1123	0.0529161	0.0457175	0.0420398	0.0439453	0.0352703	0.0399964	0.0488878	0.0489997	0.0517588
a41	0.15591	0.280924	0.111841	0.0555216	0.0476511	0.0464239	0.0457083	0.037215	0.0428734	0.0557146	0.0534501	0.0667677
a56	0.144416	0.243842	0.133413	0.0684375	0.0530722	0.0490608	0.0462735	0.0370882	0.038605	0.0521507	0.0542353	0.0794053
a54	0.140236	0.250408	0.162708	0.096529	0.0633344	0.0519549	0.0453786	0.0361122	0.0276714	0.0342645	0.0368449	0.0545583
a44	0.11445	0.19455	0.149366	0.109296	0.074421	0.0573776	0.0469824	0.0368362	0.0314078	0.0435952	0.0570821	0.0846361
a70	0.115612	0.181526	0.150062	0.131111	0.0766285	0.062859	0.0469422	0.0403876	0.0318332	0.0395145	0.0456219	0.0779017
a53	0.105196	0.143893	0.151276	0.160691	0.0925955	0.0732406	0.054938	0.0439008	0.0333346	0.0388352	0.0412182	0.06088
a79	0.0938335	0.126057	0.136256	0.152235	0.100797	0.0892829	0.0671293	0.0477502	0.0324794	0.0390129	0.0445756	0.0705909
a44	0.0785778	0.114216	0.11029	0.118181	0.0886833	0.0902129	0.0728081	0.0584418	0.0395725	0.0496429	0.0623874	0.116987
a4	0.0585755	0.0893717	0.142768	0.176722	0.116787	0.102673	0.0800076	0.0490201	0.0315728	0.0347087	0.0430466	0.0747463
a90	0.0539587	0.075204	0.116729	0.142756	0.0978238	0.0976897	0.0811671	0.0616286	0.0469405	0.0561859	0.0661894	0.103727
a4	0.027206	0.0417177	0.0896559	0.132815	0.092041	0.100987	0.0887233	0.0732296	0.0587412	0.0712418	0.0833554	0.140286
a53	0.0305996	0.0418356	0.113093	0.170392	0.121821	0.118675	0.0991828	0.0682166	0.0466091	0.0476192	0.0556934	0.0862626
a44	0.0226429	0.027933	0.0872703	0.144657	0.109518	0.114894	0.100993	0.0761948	0.0626287	0.0689184	0.0739428	0.110407
a54	0.0128398	0.0173666	0.0724024	0.145066	0.114874	0.119222	0.105652	0.0737035	0.0585377	0.0661268	0.0792589	0.13495
a56	0.0101615	0.0118866	0.042395	0.0783574	0.0809792	0.0946273	0.0754652	0.0741869	0.0790992	0.101696	0.127427	0.223719
a44	0.0111637	0.0129067	0.055952	0.133456	0.114612	0.118812	0.102162	0.07662	0.0638108	0.0717206	0.0882047	0.150579
a53	0.00751412	0.0103841	0.0461453	0.124168	0.120971	0.127166	0.108486	0.0733062	0.0653558	0.0741787	0.0909097	0.151415
a44	0.00469682	0.00683355	0.0321922	0.0936391	0.0997218	0.113551	0.0939604	0.073338	0.0748392	0.0913629	0.113203	0.202662
a11	0.00287077	0.00431221	0.0209841	0.0812758	0.1037	0.128776	0.108096	0.080926	0.082051	0.095027	0.108576	0.183404
a53	0.00322996	0.0040819	0.0157902	0.0693615	0.0924728	0.122076	0.101689	0.0730723	0.069404	0.0856209	0.123208	0.239993
a4	0.00186188	0.00248148	0.0103771	0.0515115	0.0806751	0.112747	0.0868759	0.069258	0.0818237	0.107616	0.138716	0.256056
a13	0.00127653	0.0017542	0.0071805	0.0356711	0.0612869	0.0948115	0.0741034	0.0658423	0.0819167	0.112286	0.153513	0.310358
a40	0.00191045	0.00252246	0.00855435	0.0389668	0.0699643	0.108698	0.0820242	0.0752987	0.0821854	0.102099	0.139062	0.288715
a7	0.000798561	0.00121651	0.00470263	0.0225446	0.0488178	0.0762252	0.0562862	0.0592986	0.092313	0.160413	0.187068	0.290316
a11	0.000412638	0.000692477	0.00245412	0.0125941	0.0272498	0.0504888	0.0403182	0.0436617	0.0861856	0.155263	0.197094	0.383586
a70	0.00089417	0.0013339	0.00444248	0.0196686	0.0404411	0.0678013	0.0498579	0.0497079	0.0777788	0.131229	0.18528	0.371566
a37	0.000385666	0.000541355	0.00171024	0.00848841	0.0193098	0.0365783	0.0268403	0.0311586	0.0661681	0.150056	0.233238	0.425525
a70	0.000721225	0.00100417	0.00279901	0.0109285	0.0254704	0.0460868	0.0299491	0.0336574	0.0718922	0.147294	0.209764	0.420434
a83	0.000385078	0.000585283	0.00175184	0.00696129	0.0164836	0.0298686	0.0204053	0.0258077	0.0645486	0.158226	0.241085	0.433892
a13	0.000643222	0.00102324	0.00269245	0.00845008	0.0183281	0.0315558	0.0211824	0.0254341	0.0570932	0.134472	0.226844	0.472281
a83	0.00128207	0.00191645	0.00409525	0.012836	0.026795	0.0434369	0.0262189	0.0287912	0.058494	0.126924	0.215037	0.454173
a70	0.000323924	0.000536907	0.00159147	0.0058162	0.0138455	0.0241027	0.0157795	0.020536	0.0550285	0.142851	0.251822	0.467766
a99	0.000350102	0.00060108	0.00149437	0.00545562	0.0116615	0.0197894	0.0132516	0.0167837	0.0466894	0.127502	0.254626	0.501795
a70	0.000773252	0.00123802	0.00295007	0.00762165	0.0155118	0.0265075	0.01743	0.0240938	0.0613588	0.140941	0.224947	0.476627
a4	0.000248136	0.000482796	0.00122955	0.00407364	0.00891213	0.0167188	0.011155	0.016542	0.0485012	0.13275	0.252107	0.50728
a13	0.000253282	0.000482909	0.00136603	0.00466725	0.0109768	0.0203371	0.0133352	0.0196383	0.0608382	0.151312	0.25094	0.465852
a70	0.000252404	0.000490163	0.0014065	0.00493549	0.0104966	0.0196951	0.0135624	0.020726	0.0600394	0.147485	0.246348	0.474562
a96	0.000178172	0.000359573	0.00107276	0.00399224	0.0089441	0.0171048	0.0113736	0.0167525	0.0507896	0.137929	0.246778	0.504725
