 	le	petit	grillon	a	chanté	toute	la	nuit	</S>
a66	0.373392	0.238231	0.100301	0.0912925	0.0744426	0.049042	0.0298548	0.0216908	0.0217531
a87	0.425184	0.193544	0.0822939	0.0845231	0.0812744	0.0540997	0.0338889	0.0237672	0.0214254
a23	0.372486	0.223906	0.138195	0.0778402	0.0571403	0.0421614	0.0330428	0.0273442	0.0278837
a50	0.255501	0.179119	0.185405	0.102986	0.0713342	0.0506037	0.046478	0.0506302	0.0579426
a88	0.281255	0.23807	0.190306	0.0805513	0.0515171	0.0370708	0.0354855	0.0398791	0.0458658
a71	0.43312	0.320838	0.125895	0.0442934	0.0221361	0.0148759	0.0138063	0.0123913	0.0126438
a62	0.275674	0.267495	0.184359	0.105554	0.0616043	0.034653	0.0272713	0.0212127	0.0221759
a12	0.247461	0.267526	0.220654	0.111358	0.0642725	0.0328006	0.0233603	0.0163623	0.0162057
a21	0.193389	0.211368	0.219454	0.134239	0.0924006	0.0534606	0.0399603	0.0279088	0.0278203
a24	0.0968863	0.133323	0.225424	0.204043	0.140696	0.0712977	0.0492302	0.0377171	0.0413834
a21	0.0536692	0.0860237	0.187653	0.204471	0.167971	0.103582	0.0737712	0.0592513	0.0636076
a12	0.0400504	0.0726402	0.175429	0.213822	0.165157	0.0964217	0.0747242	0.0719948	0.0897612
a61	0.037769	0.0624014	0.125062	0.179386	0.174385	0.135501	0.0983864	0.0866366	0.100473
a88	0.0170865	0.0319411	0.0803912	0.177295	0.21843	0.181593	0.113909	0.0873394	0.0920153
a38	0.0132726	0.0196922	0.0496594	0.140551	0.210673	0.208971	0.143266	0.106679	0.107235
a90	0.0153549	0.0214735	0.0408736	0.1039	0.181465	0.219775	0.161583	0.12723	0.128346
a56	0.00625468	0.0114299	0.0220833	0.0563157	0.13086	0.221894	0.209153	0.162722	0.179286
a75	0.00337738	0.00645716	0.012531	0.0354121	0.093893	0.215665	0.254602	0.189556	0.188507
a47	0.00244175	0.00407175	0.0088114	0.0320102	0.0822265	0.183337	0.231406	0.221333	0.234363
a96	0.0016992	0.00254696	0.00522055	0.0222878	0.060283	0.162523	0.229516	0.235628	0.280296
a31	0.0010302	0.00158314	0.00422543	0.0164953	0.0387167	0.107116	0.201189	0.261944	0.3677
a62	0.0011231	0.00154338	0.00368645	0.0127824	0.0307134	0.0798695	0.154601	0.277167	0.438514
a61	0.000598321	0.000839096	0.00186726	0.00756826	0.0193782	0.0562086	0.137488	0.29507	0.480982
a75	0.00054982	0.000802547	0.00224901	0.00812958	0.0196381	0.0482046	0.120227	0.295327	0.504873
a36	0.000254111	0.000305152	0.000766547	0.00422269	0.0129888	0.0408562	0.123613	0.32154	0.495453
a26	0.000509896	0.000643471	0.00120827	0.00474623	0.012007	0.0338963	0.109164	0.296383	0.541442
a82	0.034197	0.0278846	0.0213325	0.0446792	0.0607339	0.086819	0.127424	0.217301	0.379629
a3	0.129345	0.0770064	0.0486002	0.0676754	0.0663323	0.0852756	0.121204	0.165617	0.238944
a99	0.189874	0.11399	0.0628118	0.0694671	0.0654063	0.0826548	0.12663	0.142146	0.14702
a97	0.137516	0.0744464	0.0337925	0.0454518	0.0632448	0.098278	0.156723	0.191528	0.199019
a99	0.107159	0.059902	0.0421327	0.0857069	0.110009	0.103513	0.132497	0.161791	0.19729
a97	0.0258303	0.0185687	0.0158181	0.0310416	0.060894	0.0940883	0.169373	0.257115	0.327271
</S>	0.0292459	0.0156125	0.0131127	0.0298791	0.0538313	0.0775654	0.14287	0.254351	0.383532
